[0.6404, 0.6869],[0.5633, 0.7757],[0.4938, 0.927],[0.4599, 1.0],[0.4105, 1.0],[0.3699, 1.0],[0.3164, 1.0],[0.2855, 1.0],[0.2619, 1.0],[0.4599, 1.0],[0.519, 1.0],[0.6039, 1.0],[0.6733, 1.0],[0.5494, 1.0],[0.6265, 1.0],[0.6625, 0.9906],[0.6563, 0.9119],[0.6193, 0.9851],[0.6851, 1.0],[0.7109, 0.9597],[0.699, 0.8897]
[0.643, 0.6713],[0.5581, 0.776],[0.4825, 0.9316],[0.4398, 1.0],[0.4018, 1.0],[0.3514, 1.0],[0.3102, 1.0],[0.2809, 1.0],[0.2531, 1.0],[0.4378, 1.0],[0.5149, 1.0],[0.6044, 1.0],[0.6774, 1.0],[0.5262, 1.0],[0.6203, 1.0],[0.6594, 0.9767],[0.6486, 0.896],[0.5951, 0.9872],[0.6779, 1.0],[0.7114, 0.9484],[0.6918, 0.8795]
[0.6368, 0.6692],[0.554, 0.7844],[0.4779, 0.9397],[0.4347, 1.0],[0.3956, 1.0],[0.3467, 1.0],[0.3082, 1.0],[0.2804, 1.0],[0.2506, 1.0],[0.4301, 1.0],[0.5098, 1.0],[0.5982, 1.0],[0.6687, 1.0],[0.5175, 1.0],[0.6162, 1.0],[0.663, 0.9788],[0.6538, 0.8981],[0.5838, 0.9883],[0.6723, 1.0],[0.7078, 0.951],[0.6862, 0.881]
[0.6332, 0.6687],[0.5468, 0.7818],[0.4753, 0.9362],[0.4352, 1.0],[0.3935, 1.0],[0.3467, 1.0],[0.3087, 1.0],[0.2794, 1.0],[0.2495, 1.0],[0.4326, 1.0],[0.5118, 1.0],[0.5982, 1.0],[0.6661, 1.0],[0.5211, 0.9979],[0.6142, 1.0],[0.6574, 0.9802],[0.6481, 0.8949],[0.59, 0.9811],[0.6733, 1.0],[0.7083, 0.9495],[0.6867, 0.8781]
[0.6363, 0.6658],[0.5514, 0.7786],[0.4763, 0.9357],[0.4347, 1.0],[0.3951, 1.0],[0.3452, 1.0],[0.3056, 1.0],[0.2758, 1.0],[0.2465, 1.0],[0.4306, 1.0],[0.5154, 1.0],[0.6018, 1.0],[0.6702, 1.0],[0.5195, 0.9964],[0.6214, 1.0],[0.6574, 0.975],[0.6399, 0.8946],[0.589, 0.9793],[0.6774, 1.0],[0.7093, 0.9429],[0.6826, 0.8752]
[0.6394, 0.6646],[0.5545, 0.7844],[0.4779, 0.9432],[0.4357, 1.0],[0.392, 1.0],[0.3473, 1.0],[0.3097, 1.0],[0.2804, 1.0],[0.2501, 1.0],[0.4301, 1.0],[0.5093, 1.0],[0.5946, 1.0],[0.6656, 1.0],[0.518, 1.0],[0.6142, 1.0],[0.6579, 0.9869],[0.6512, 0.9027],[0.5874, 0.9863],[0.6687, 1.0],[0.7057, 0.9579],[0.6872, 0.8876]
[0.6425, 0.6597],[0.554, 0.7829],[0.4769, 0.9435],[0.4316, 1.0],[0.3899, 1.0],[0.3462, 1.0],[0.3041, 1.0],[0.2747, 1.0],[0.2444, 1.0],[0.4306, 1.0],[0.5036, 1.0],[0.5885, 1.0],[0.6594, 1.0],[0.519, 0.9967],[0.6054, 1.0],[0.6512, 0.988],[0.6466, 0.9067],[0.5879, 0.9796],[0.6635, 1.0],[0.7006, 0.9582],[0.6836, 0.8876]
[0.6394, 0.66],[0.5519, 0.7864],[0.4738, 0.9472],[0.428, 1.0],[0.3894, 1.0],[0.3416, 1.0],[0.3015, 1.0],[0.2747, 1.0],[0.2465, 1.0],[0.4254, 1.0],[0.5077, 1.0],[0.5941, 1.0],[0.6646, 1.0],[0.5118, 1.0],[0.6106, 1.0],[0.6527, 0.984],[0.6419, 0.9033],[0.5777, 0.9889],[0.6656, 1.0],[0.7016, 0.953],[0.681, 0.8836]
[0.6337, 0.6646],[0.5473, 0.7887],[0.4722, 0.9467],[0.4301, 1.0],[0.3889, 1.0],[0.3406, 1.0],[0.301, 1.0],[0.2727, 1.0],[0.2418, 1.0],[0.4244, 1.0],[0.5051, 1.0],[0.5905, 1.0],[0.6605, 1.0],[0.5098, 1.0],[0.6101, 1.0],[0.6548, 0.9831],[0.6466, 0.9009],[0.5756, 0.9921],[0.6651, 1.0],[0.7031, 0.9548],[0.6836, 0.8845]
[0.6306, 0.6669],[0.5483, 0.7858],[0.4743, 0.9403],[0.4311, 1.0],[0.3869, 1.0],[0.3411, 1.0],[0.301, 1.0],[0.2717, 1.0],[0.2423, 1.0],[0.4249, 1.0],[0.5062, 1.0],[0.5936, 1.0],[0.6641, 1.0],[0.5118, 0.999],[0.6085, 1.0],[0.6512, 0.9776],[0.6394, 0.8981],[0.5797, 0.9857],[0.6656, 1.0],[0.7001, 0.9484],[0.6779, 0.879]
[0.6342, 0.6649],[0.5494, 0.7849],[0.4748, 0.9377],[0.4295, 1.0],[0.3838, 1.0],[0.3437, 1.0],[0.302, 1.0],[0.2732, 1.0],[0.2439, 1.0],[0.4295, 1.0],[0.5077, 1.0],[0.5951, 1.0],[0.6651, 1.0],[0.5185, 0.995],[0.6131, 1.0],[0.6553, 0.977],[0.6419, 0.8981],[0.5879, 0.9799],[0.6743, 1.0],[0.7078, 0.9429],[0.6821, 0.8764]
[0.643, 0.6585],[0.5555, 0.7797],[0.4779, 0.9357],[0.4301, 1.0],[0.3899, 1.0],[0.3488, 1.0],[0.3082, 1.0],[0.2799, 1.0],[0.2501, 1.0],[0.4342, 1.0],[0.5103, 1.0],[0.5951, 1.0],[0.6625, 1.0],[0.5226, 0.9941],[0.6147, 1.0],[0.6599, 0.9811],[0.6507, 0.9015],[0.591, 0.977],[0.6759, 1.0],[0.7119, 0.9458],[0.6887, 0.8793]
[0.6517, 0.6559],[0.5591, 0.7771],[0.4815, 0.9331],[0.4388, 1.0],[0.3966, 1.0],[0.3498, 1.0],[0.3097, 1.0],[0.2809, 1.0],[0.2511, 1.0],[0.4337, 1.0],[0.5154, 1.0],[0.6008, 1.0],[0.6707, 1.0],[0.5206, 0.9935],[0.6178, 1.0],[0.6605, 0.9701],[0.6481, 0.8891],[0.5895, 0.9808],[0.6764, 1.0],[0.7124, 0.9432],[0.6898, 0.8735]
[0.6507, 0.651],[0.5597, 0.7757],[0.4789, 0.9345],[0.4357, 1.0],[0.3956, 1.0],[0.3519, 1.0],[0.3092, 1.0],[0.2809, 1.0],[0.2501, 1.0],[0.4347, 1.0],[0.5123, 1.0],[0.5972, 1.0],[0.6666, 1.0],[0.5206, 0.9901],[0.6178, 1.0],[0.6651, 0.9788],[0.6579, 0.8972],[0.5864, 0.9744],[0.6754, 1.0],[0.7134, 0.9464],[0.6944, 0.8755]
[0.6491, 0.6527],[0.5555, 0.78],[0.4784, 0.9371],[0.4378, 1.0],[0.3997, 1.0],[0.3509, 1.0],[0.3092, 1.0],[0.2809, 1.0],[0.249, 1.0],[0.4342, 1.0],[0.5134, 1.0],[0.5977, 1.0],[0.6656, 1.0],[0.5195, 0.9921],[0.6162, 1.0],[0.6651, 0.9776],[0.6579, 0.8955],[0.5843, 0.9796],[0.6723, 1.0],[0.7119, 0.9472],[0.6929, 0.8755]
[0.6435, 0.6617],[0.555, 0.7864],[0.4779, 0.9441],[0.4373, 1.0],[0.3987, 1.0],[0.3509, 1.0],[0.3082, 1.0],[0.2809, 1.0],[0.2511, 1.0],[0.4337, 1.0],[0.5098, 1.0],[0.5946, 1.0],[0.6641, 1.0],[0.5195, 0.9976],[0.6147, 1.0],[0.6615, 0.9808],[0.6522, 0.9007],[0.5864, 0.9828],[0.6718, 1.0],[0.7103, 0.9516],[0.6918, 0.8813]
[0.644, 0.6629],[0.555, 0.7881],[0.4789, 0.942],[0.4373, 1.0],[0.3961, 1.0],[0.3514, 1.0],[0.3097, 1.0],[0.2799, 1.0],[0.249, 1.0],[0.4342, 1.0],[0.5108, 1.0],[0.5951, 1.0],[0.663, 1.0],[0.5195, 1.0],[0.6188, 1.0],[0.6651, 0.9817],[0.6558, 0.8998],[0.5864, 0.9866],[0.6743, 1.0],[0.7119, 0.9522],[0.6913, 0.881]
[0.6497, 0.6588],[0.5581, 0.7838],[0.4825, 0.9374],[0.4388, 1.0],[0.3977, 1.0],[0.3509, 1.0],[0.3113, 1.0],[0.2825, 1.0],[0.2521, 1.0],[0.4357, 1.0],[0.5134, 1.0],[0.5993, 1.0],[0.6671, 1.0],[0.5226, 0.9947],[0.6198, 1.0],[0.6646, 0.9738],[0.6553, 0.8937],[0.5915, 0.9796],[0.68, 1.0],[0.716, 0.9435],[0.6929, 0.8758]
[0.6404, 0.658],[0.5555, 0.7832],[0.4815, 0.9412],[0.4398, 1.0],[0.3987, 1.0],[0.3509, 1.0],[0.3071, 1.0],[0.2773, 1.0],[0.247, 1.0],[0.4347, 1.0],[0.5134, 1.0],[0.5977, 1.0],[0.6671, 1.0],[0.5211, 0.9901],[0.6157, 1.0],[0.6605, 0.9762],[0.6497, 0.8957],[0.5874, 0.9747],[0.6749, 1.0],[0.7119, 0.9417],[0.6903, 0.8749]
[0.6476, 0.6571],[0.5586, 0.7783],[0.483, 0.9354],[0.4419, 1.0],[0.3971, 1.0],[0.3519, 1.0],[0.3107, 1.0],[0.2799, 1.0],[0.2485, 1.0],[0.4362, 1.0],[0.5144, 1.0],[0.5998, 1.0],[0.6682, 1.0],[0.5226, 0.9938],[0.6203, 1.0],[0.663, 0.9724],[0.6517, 0.8917],[0.59, 0.9779],[0.6774, 1.0],[0.7119, 0.94],[0.6887, 0.872]
[0.6466, 0.6574],[0.5617, 0.7748],[0.4856, 0.9331],[0.4429, 1.0],[0.4002, 1.0],[0.3529, 1.0],[0.3113, 1.0],[0.2804, 1.0],[0.249, 1.0],[0.4367, 1.0],[0.5154, 1.0],[0.6003, 1.0],[0.6687, 1.0],[0.5242, 0.9932],[0.6229, 1.0],[0.6651, 0.9701],[0.6517, 0.8926],[0.5921, 0.9776],[0.68, 1.0],[0.7145, 0.9374],[0.6898, 0.8694]
[0.6409, 0.6594],[0.5586, 0.7783],[0.483, 0.9368],[0.4414, 1.0],[0.3977, 1.0],[0.3519, 1.0],[0.3102, 1.0],[0.2799, 1.0],[0.2485, 1.0],[0.4357, 1.0],[0.5144, 1.0],[0.5993, 1.0],[0.6671, 1.0],[0.5226, 0.995],[0.6209, 1.0],[0.6661, 0.9707],[0.6548, 0.8902],[0.589, 0.9805],[0.6795, 1.0],[0.7145, 0.9388],[0.6923, 0.8703]
[0.6394, 0.6617],[0.5555, 0.7818],[0.4789, 0.936],[0.4393, 1.0],[0.3992, 1.0],[0.3498, 1.0],[0.3102, 1.0],[0.2799, 1.0],[0.247, 1.0],[0.4342, 1.0],[0.5154, 1.0],[0.5998, 1.0],[0.6682, 1.0],[0.5201, 0.9953],[0.6209, 1.0],[0.6656, 0.9747],[0.6553, 0.8931],[0.5854, 0.9822],[0.6779, 1.0],[0.7145, 0.9441],[0.6934, 0.8764]
