[0.6378, 0.9808],[0.6959, 1.0],[0.7705, 1.0],[0.8209, 1.0],[0.8939, 1.0],[0.9433, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8518, 1.0],[0.806, 1.0],[0.7201, 1.0],[0.6512, 1.0],[0.7535, 1.0],[0.625, 1.0],[0.5504, 1.0],[0.5257, 1.0],[0.6702, 1.0],[0.5941, 1.0],[0.5437, 1.0],[0.5329, 1.0]
[0.6209, 0.9594],[0.6944, 1.0],[0.7726, 1.0],[0.824, 1.0],[0.9006, 1.0],[0.9546, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8543, 1.0],[0.7865, 1.0],[0.7078, 1.0],[0.6466, 1.0],[0.7494, 1.0],[0.6317, 1.0],[0.571, 1.0],[0.5566, 1.0],[0.6656, 1.0],[0.5895, 1.0],[0.5509, 1.0],[0.5519, 1.0]
[0.607, 0.9478],[0.6887, 1.0],[0.7679, 1.0],[0.8235, 1.0],[0.895, 1.0],[0.9387, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8302, 1.0],[0.7685, 1.0],[0.6975, 1.0],[0.6399, 1.0],[0.7222, 1.0],[0.6044, 1.0],[0.5499, 1.0],[0.5345, 1.0],[0.6353, 1.0],[0.5576, 1.0],[0.5201, 1.0],[0.5165, 1.0]
[0.5885, 0.9527],[0.6671, 1.0],[0.7541, 1.0],[0.8132, 1.0],[0.8924, 1.0],[0.932, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8327, 1.0],[0.7643, 1.0],[0.6908, 1.0],[0.6265, 1.0],[0.7325, 1.0],[0.6059, 1.0],[0.5489, 1.0],[0.5324, 1.0],[0.6553, 1.0],[0.5658, 1.0],[0.5242, 1.0],[0.5195, 1.0]
[0.5921, 0.9432],[0.6651, 1.0],[0.7515, 1.0],[0.8163, 1.0],[0.8991, 1.0],[0.9346, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8399, 1.0],[0.7787, 1.0],[0.7052, 1.0],[0.6419, 1.0],[0.7427, 1.0],[0.6137, 1.0],[0.5489, 1.0],[0.5288, 1.0],[0.6656, 1.0],[0.5761, 1.0],[0.5298, 1.0],[0.5206, 1.0]
[0.5972, 0.9443],[0.6723, 1.0],[0.7546, 1.0],[0.8173, 1.0],[0.9053, 1.0],[0.9356, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8394, 1.0],[0.7777, 1.0],[0.7052, 1.0],[0.6399, 1.0],[0.7417, 1.0],[0.6167, 1.0],[0.555, 1.0],[0.537, 1.0],[0.6702, 1.0],[0.5771, 1.0],[0.5319, 1.0],[0.5257, 1.0]
[0.5972, 0.9449],[0.6743, 1.0],[0.7582, 1.0],[0.8199, 1.0],[0.9068, 1.0],[0.9377, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8405, 1.0],[0.7777, 1.0],[0.7021, 1.0],[0.6358, 1.0],[0.7417, 1.0],[0.6157, 1.0],[0.5561, 1.0],[0.5401, 1.0],[0.6661, 1.0],[0.5746, 1.0],[0.5324, 1.0],[0.5293, 1.0]
[0.5941, 0.9374],[0.6702, 1.0],[0.7541, 1.0],[0.8168, 1.0],[0.9037, 1.0],[0.9341, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8358, 1.0],[0.7767, 1.0],[0.7021, 1.0],[0.6389, 1.0],[0.735, 1.0],[0.6137, 1.0],[0.553, 1.0],[0.5355, 1.0],[0.6563, 1.0],[0.5699, 1.0],[0.5278, 1.0],[0.5231, 1.0]
[0.5987, 0.9426],[0.6826, 1.0],[0.7633, 1.0],[0.8204, 1.0],[0.8975, 1.0],[0.931, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8307, 1.0],[0.7685, 1.0],[0.699, 1.0],[0.6373, 1.0],[0.7289, 1.0],[0.6065, 1.0],[0.5483, 1.0],[0.5324, 1.0],[0.6538, 1.0],[0.5679, 1.0],[0.5267, 1.0],[0.5221, 1.0]
[0.5972, 0.9414],[0.679, 1.0],[0.7592, 1.0],[0.8142, 1.0],[0.8939, 1.0],[0.9335, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8343, 1.0],[0.769, 1.0],[0.6965, 1.0],[0.6327, 1.0],[0.7319, 1.0],[0.6095, 1.0],[0.555, 1.0],[0.5453, 1.0],[0.6599, 1.0],[0.5715, 1.0],[0.5329, 1.0],[0.536, 1.0]
[0.5993, 0.942],[0.6774, 1.0],[0.7582, 1.0],[0.8178, 1.0],[0.9017, 1.0],[0.9361, 1.0],[1.0, 1.0],[1.0, 1.0],[1.0, 1.0],[0.8379, 1.0],[0.7767, 1.0],[0.7052, 1.0],[0.6409, 1.0],[0.7366, 1.0],[0.6137, 1.0],[0.554, 1.0],[0.5375, 1.0],[0.662, 1.0],[0.5777, 1.0],[0.536, 1.0],[0.5324, 1.0]
