"[0.5824, 0.1585]","[0.5139, 0.2039]","[0.4514, 0.347]","[0.4245, 0.5039]","[0.3932, 0.6275]","[0.3203, 0.4319]","[0.2899, 0.6528]","[0.2788, 0.786]","[0.2635, 0.8947]","[0.4187, 0.4578]","[0.4817, 0.6456]","[0.5502, 0.7695]","[0.5925, 0.8669]","[0.5088, 0.4583]","[0.5776, 0.5079]","[0.6196, 0.4035]","[0.6387, 0.3346]","[0.5814, 0.4386]","[0.6387, 0.468]","[0.6695, 0.3822]","[0.6802, 0.3261]"
"[0.5735, 0.1201]","[0.5199, 0.1873]","[0.4687, 0.3483]","[0.4339, 0.5041]","[0.3927, 0.6337]","[0.3324, 0.4025]","[0.2817, 0.6405]","[0.2589, 0.7746]","[0.2414, 0.8937]","[0.4285, 0.4331]","[0.482, 0.6452]","[0.5539, 0.7761]","[0.6098, 0.88]","[0.5216, 0.4329]","[0.5799, 0.5355]","[0.5961, 0.4243]","[0.5845, 0.348]","[0.5889, 0.4114]","[0.6388, 0.4843]","[0.6547, 0.3997]","[0.6439, 0.3375]"
"[0.5691, 0.1046]","[0.5454, 0.1869]","[0.4827, 0.3439]","[0.4276, 0.4924]","[0.3802, 0.6204]","[0.3275, 0.4166]","[0.2815, 0.6432]","[0.2533, 0.7757]","[0.2275, 0.8923]","[0.4044, 0.4403]","[0.4721, 0.6391]","[0.55, 0.7687]","[0.6089, 0.8709]","[0.4849, 0.4368]","[0.5708, 0.5216]","[0.6124, 0.4082]","[0.6149, 0.3345]","[0.5459, 0.4206]","[0.6236, 0.4728]","[0.6581, 0.3814]","[0.6544, 0.32]"
"[0.565, 0.114]","[0.5419, 0.2062]","[0.4777, 0.3642]","[0.4291, 0.5065]","[0.3836, 0.6366]","[0.3245, 0.4312]","[0.286, 0.6542]","[0.262, 0.7839]","[0.2372, 0.8999]","[0.3974, 0.4485]","[0.4742, 0.6475]","[0.5534, 0.7795]","[0.6137, 0.8817]","[0.4736, 0.4447]","[0.573, 0.5258]","[0.6151, 0.4147]","[0.6134, 0.3434]","[0.5313, 0.4347]","[0.6222, 0.4775]","[0.6597, 0.3864]","[0.6538, 0.3259]"
"[0.5647, 0.1142]","[0.5424, 0.2095]","[0.4771, 0.3676]","[0.4256, 0.51]","[0.3853, 0.6428]","[0.3271, 0.4333]","[0.2874, 0.6575]","[0.2619, 0.787]","[0.2348, 0.9016]","[0.3996, 0.4479]","[0.4772, 0.6456]","[0.5562, 0.7787]","[0.6155, 0.88]","[0.4744, 0.444]","[0.5727, 0.5246]","[0.6166, 0.416]","[0.6153, 0.3452]","[0.5314, 0.4352]","[0.6221, 0.4802]","[0.6637, 0.3887]","[0.6598, 0.3266]"
"[0.565, 0.1142]","[0.5442, 0.2096]","[0.4815, 0.3676]","[0.4296, 0.5089]","[0.3871, 0.6418]","[0.3263, 0.4362]","[0.2868, 0.6569]","[0.2613, 0.7875]","[0.2346, 0.9038]","[0.3983, 0.4497]","[0.4754, 0.6432]","[0.5571, 0.7742]","[0.6187, 0.8741]","[0.4729, 0.4459]","[0.571, 0.5237]","[0.6153, 0.4136]","[0.6136, 0.3429]","[0.5298, 0.438]","[0.6227, 0.4785]","[0.6636, 0.3865]","[0.6588, 0.3244]"
"[0.5645, 0.1172]","[0.5435, 0.2074]","[0.4841, 0.3664]","[0.4332, 0.5116]","[0.3884, 0.6452]","[0.3263, 0.4269]","[0.286, 0.6567]","[0.2597, 0.7884]","[0.2344, 0.9062]","[0.4025, 0.4415]","[0.473, 0.6397]","[0.5548, 0.7704]","[0.6182, 0.8732]","[0.4802, 0.4413]","[0.5728, 0.526]","[0.6164, 0.4136]","[0.6156, 0.3414]","[0.5382, 0.4365]","[0.6244, 0.4861]","[0.6636, 0.3917]","[0.6598, 0.326]"
"[0.5636, 0.1094]","[0.5425, 0.2011]","[0.4818, 0.3598]","[0.4259, 0.506]","[0.38, 0.6353]","[0.3221, 0.4247]","[0.2814, 0.6513]","[0.2564, 0.7823]","[0.2316, 0.8994]","[0.3976, 0.443]","[0.4683, 0.6401]","[0.5496, 0.7695]","[0.6109, 0.8718]","[0.4757, 0.4414]","[0.5668, 0.5286]","[0.6118, 0.4191]","[0.6152, 0.3443]","[0.5356, 0.4309]","[0.6183, 0.4845]","[0.6582, 0.3932]","[0.6562, 0.3272]"
"[0.5613, 0.1157]","[0.5399, 0.2055]","[0.4759, 0.3644]","[0.4237, 0.5111]","[0.3776, 0.6467]","[0.3188, 0.4286]","[0.2792, 0.655]","[0.253, 0.7844]","[0.2266, 0.9015]","[0.3916, 0.4453]","[0.467, 0.641]","[0.5472, 0.7736]","[0.6083, 0.8789]","[0.4686, 0.4429]","[0.5666, 0.5233]","[0.612, 0.412]","[0.6127, 0.3391]","[0.5266, 0.4357]","[0.6167, 0.4794]","[0.6571, 0.3864]","[0.6518, 0.3225]"
"[0.5617, 0.1165]","[0.5409, 0.2047]","[0.4767, 0.3659]","[0.4246, 0.5162]","[0.3797, 0.6541]","[0.3187, 0.4239]","[0.2771, 0.6558]","[0.2515, 0.7869]","[0.2251, 0.9058]","[0.3925, 0.441]","[0.4656, 0.6394]","[0.5458, 0.7736]","[0.6069, 0.8814]","[0.4703, 0.4413]","[0.566, 0.5263]","[0.6084, 0.414]","[0.6057, 0.3411]","[0.5277, 0.4371]","[0.617, 0.4848]","[0.656, 0.3917]","[0.6492, 0.3275]"
"[0.5526, 0.1252]","[0.5313, 0.2137]","[0.4684, 0.3734]","[0.419, 0.5197]","[0.3778, 0.658]","[0.3148, 0.4379]","[0.2753, 0.6617]","[0.2488, 0.791]","[0.2206, 0.9093]","[0.3879, 0.4516]","[0.4646, 0.6453]","[0.5438, 0.7769]","[0.6028, 0.8829]","[0.4637, 0.4512]","[0.563, 0.5306]","[0.6061, 0.4179]","[0.6028, 0.3471]","[0.5184, 0.4464]","[0.61, 0.4887]","[0.6486, 0.3953]","[0.6431, 0.3322]"
