[0.3985, 0.1598],[0.5073, 0.2018],[0.5904, 0.3402],[0.6066, 0.4983],[0.6391, 0.6266],[0.6957, 0.4467],[0.7318, 0.6613],[0.7462, 0.7883],[0.7564, 0.9037],[0.5831, 0.4669],[0.5192, 0.6549],[0.4671, 0.7711],[0.4317, 0.8677],[0.4743, 0.4557],[0.3988, 0.5211],[0.3773, 0.3941],[0.3739, 0.2965],[0.3788, 0.4279],[0.3314, 0.4771],[0.3152, 0.3779],[0.3112, 0.2969]
[0.4001, 0.1117],[0.5011, 0.1882],[0.5755, 0.3293],[0.5933, 0.4824],[0.6336, 0.6157],[0.7044, 0.4333],[0.7334, 0.6531],[0.7461, 0.7845],[0.7562, 0.9039],[0.5908, 0.4557],[0.5248, 0.6447],[0.465, 0.7723],[0.4214, 0.8797],[0.4825, 0.4494],[0.3873, 0.5122],[0.3632, 0.3741],[0.3714, 0.2778],[0.3921, 0.4321],[0.3315, 0.4757],[0.3198, 0.3673],[0.3364, 0.2904]
[0.3897, 0.0971],[0.4892, 0.1918],[0.5681, 0.3337],[0.6005, 0.4832],[0.6451, 0.6164],[0.7095, 0.4229],[0.7435, 0.64],[0.7577, 0.7721],[0.77, 0.8912],[0.5993, 0.4456],[0.5412, 0.6397],[0.4849, 0.7685],[0.4435, 0.8716],[0.4923, 0.4408],[0.3907, 0.4982],[0.3653, 0.3669],[0.3727, 0.2733],[0.4038, 0.4267],[0.3374, 0.4636],[0.323, 0.3632],[0.336, 0.2933]
[0.3912, 0.0916],[0.4906, 0.1839],[0.5685, 0.3226],[0.6013, 0.4683],[0.6515, 0.5972],[0.7161, 0.4132],[0.7516, 0.6308],[0.7654, 0.7595],[0.7779, 0.8755],[0.6053, 0.4373],[0.5491, 0.6307],[0.4913, 0.7579],[0.4477, 0.8576],[0.4983, 0.4332],[0.3945, 0.4886],[0.3658, 0.3561],[0.3725, 0.261],[0.411, 0.4198],[0.3415, 0.4533],[0.3245, 0.3507],[0.3361, 0.2792]
[0.3998, 0.0875],[0.5032, 0.182],[0.5796, 0.3214],[0.6103, 0.4663],[0.6604, 0.5943],[0.7214, 0.4096],[0.753, 0.6284],[0.7673, 0.7568],[0.7805, 0.8743],[0.6083, 0.4331],[0.5489, 0.6253],[0.4909, 0.7526],[0.4464, 0.8545],[0.499, 0.4281],[0.398, 0.4871],[0.3745, 0.3512],[0.3831, 0.2541],[0.4104, 0.4137],[0.3455, 0.4479],[0.3316, 0.3461],[0.3445, 0.2763]
[0.4014, 0.0847],[0.5011, 0.1787],[0.5769, 0.3137],[0.6084, 0.4562],[0.6602, 0.5859],[0.7206, 0.4044],[0.7514, 0.6242],[0.767, 0.7526],[0.7799, 0.8714],[0.6071, 0.4297],[0.5475, 0.6178],[0.4879, 0.746],[0.4418, 0.851],[0.4969, 0.427],[0.3951, 0.4836],[0.3709, 0.3469],[0.3799, 0.2507],[0.4084, 0.4149],[0.3426, 0.4452],[0.3281, 0.3437],[0.3433, 0.2758]
[0.4017, 0.0809],[0.5046, 0.1757],[0.5812, 0.313],[0.6114, 0.4566],[0.6621, 0.585],[0.7233, 0.4023],[0.7528, 0.6196],[0.769, 0.7477],[0.7829, 0.8663],[0.6095, 0.4272],[0.5507, 0.6168],[0.4932, 0.7433],[0.4493, 0.8475],[0.4987, 0.4228],[0.3964, 0.4795],[0.3734, 0.3407],[0.3825, 0.244],[0.4091, 0.4073],[0.3448, 0.439],[0.3311, 0.3359],[0.3459, 0.2675]
[0.4012, 0.0711],[0.5026, 0.1661],[0.5798, 0.3049],[0.6123, 0.4497],[0.6608, 0.578],[0.7227, 0.3907],[0.7547, 0.6115],[0.7712, 0.7423],[0.7857, 0.8617],[0.609, 0.4179],[0.5511, 0.6125],[0.4931, 0.7405],[0.4493, 0.8447],[0.4983, 0.4158],[0.3956, 0.473],[0.3726, 0.3387],[0.3816, 0.2418],[0.4094, 0.401],[0.3437, 0.4309],[0.3304, 0.331],[0.3456, 0.2616]
[0.402, 0.0733],[0.5028, 0.1604],[0.5816, 0.2954],[0.6142, 0.443],[0.6617, 0.5728],[0.7212, 0.39],[0.755, 0.6106],[0.7719, 0.7409],[0.7865, 0.861],[0.6077, 0.4189],[0.5517, 0.6126],[0.4927, 0.7396],[0.4482, 0.8428],[0.4966, 0.4186],[0.3956, 0.4694],[0.3738, 0.3357],[0.3831, 0.2383],[0.4063, 0.4059],[0.3393, 0.4297],[0.3262, 0.3289],[0.3406, 0.2583]
[0.3981, 0.0719],[0.4992, 0.1614],[0.5773, 0.299],[0.6091, 0.445],[0.6573, 0.5714],[0.7211, 0.3864],[0.7532, 0.6051],[0.7714, 0.7354],[0.7872, 0.8551],[0.6076, 0.4155],[0.5506, 0.6086],[0.4903, 0.7356],[0.445, 0.84],[0.4959, 0.4159],[0.3918, 0.4685],[0.3681, 0.3338],[0.3767, 0.2358],[0.4044, 0.4017],[0.3358, 0.4257],[0.3227, 0.3251],[0.3379, 0.2542]
[0.4023, 0.0761],[0.5017, 0.1637],[0.5794, 0.2996],[0.6102, 0.4443],[0.6555, 0.571],[0.7194, 0.3906],[0.7539, 0.6085],[0.7728, 0.7371],[0.7895, 0.8556],[0.6075, 0.4189],[0.5475, 0.6099],[0.4853, 0.7346],[0.4389, 0.8374],[0.4972, 0.4188],[0.3933, 0.4682],[0.3731, 0.3331],[0.385, 0.2368],[0.406, 0.4052],[0.3363, 0.4258],[0.3246, 0.3252],[0.3419, 0.257]
[0.4001, 0.0691],[0.5025, 0.1583],[0.5799, 0.294],[0.6055, 0.4397],[0.6465, 0.5693],[0.7196, 0.3866],[0.7529, 0.6058],[0.7715, 0.7355],[0.7882, 0.8549],[0.6046, 0.4127],[0.5432, 0.6042],[0.4801, 0.7301],[0.4341, 0.835],[0.4915, 0.4101],[0.3913, 0.4666],[0.3723, 0.3293],[0.3852, 0.2323],[0.3983, 0.3943],[0.3332, 0.4248],[0.3236, 0.3232],[0.3425, 0.254]
[0.3973, 0.0652],[0.4914, 0.1536],[0.566, 0.2902],[0.5993, 0.4366],[0.6515, 0.5656],[0.7167, 0.379],[0.7539, 0.6002],[0.7733, 0.7323],[0.7906, 0.8526],[0.6055, 0.4065],[0.5505, 0.6032],[0.4877, 0.7302],[0.4403, 0.8301],[0.4958, 0.4054],[0.3958, 0.4649],[0.3693, 0.3321],[0.3792, 0.2348],[0.4064, 0.3948],[0.336, 0.425],[0.3213, 0.3231],[0.3381, 0.2513]
[0.3928, 0.0667],[0.4829, 0.1533],[0.5572, 0.2884],[0.5939, 0.4339],[0.6477, 0.5619],[0.7116, 0.3796],[0.7487, 0.6018],[0.7672, 0.7331],[0.7843, 0.8515],[0.6006, 0.4067],[0.5471, 0.602],[0.484, 0.7269],[0.4388, 0.8267],[0.4906, 0.4053],[0.3976, 0.465],[0.3734, 0.3336],[0.3857, 0.2394],[0.3998, 0.3928],[0.3367, 0.4275],[0.323, 0.3267],[0.341, 0.2565]
[0.3941, 0.0689],[0.4834, 0.1581],[0.5561, 0.2896],[0.5921, 0.4346],[0.6446, 0.5645],[0.7092, 0.3855],[0.7471, 0.6036],[0.7654, 0.7335],[0.7816, 0.8511],[0.5971, 0.4132],[0.544, 0.6044],[0.4822, 0.7284],[0.4369, 0.8265],[0.4867, 0.4102],[0.3925, 0.4598],[0.3719, 0.3291],[0.386, 0.2359],[0.3974, 0.3953],[0.3335, 0.4234],[0.3214, 0.323],[0.3401, 0.2538]
[0.3883, 0.0662],[0.4828, 0.1569],[0.5579, 0.2899],[0.5914, 0.4358],[0.6409, 0.564],[0.7057, 0.3835],[0.7448, 0.5987],[0.7633, 0.7286],[0.7793, 0.8463],[0.5954, 0.41],[0.5435, 0.6012],[0.483, 0.727],[0.438, 0.8268],[0.4863, 0.406],[0.3888, 0.4612],[0.3667, 0.331],[0.3786, 0.2357],[0.3966, 0.3897],[0.3294, 0.4233],[0.3173, 0.3247],[0.3351, 0.2538]
[0.386, 0.0673],[0.4831, 0.1569],[0.5599, 0.2946],[0.5945, 0.4397],[0.6431, 0.5654],[0.7045, 0.3819],[0.7435, 0.5988],[0.762, 0.7289],[0.7773, 0.8482],[0.5954, 0.4111],[0.5399, 0.6012],[0.4819, 0.7263],[0.438, 0.8269],[0.488, 0.4114],[0.3829, 0.4597],[0.3597, 0.3288],[0.3698, 0.2327],[0.3992, 0.3992],[0.3254, 0.4212],[0.3119, 0.3217],[0.3285, 0.2523]
[0.3856, 0.0662],[0.4839, 0.1618],[0.5627, 0.3009],[0.5999, 0.4441],[0.6492, 0.5678],[0.7085, 0.3804],[0.7474, 0.5985],[0.7655, 0.7284],[0.7822, 0.8454],[0.6001, 0.4063],[0.5466, 0.6026],[0.4855, 0.7277],[0.4393, 0.8246],[0.4939, 0.4047],[0.3871, 0.4601],[0.359, 0.3288],[0.3667, 0.2312],[0.4064, 0.3905],[0.3307, 0.4188],[0.314, 0.318],[0.3274, 0.2452]
[0.3942, 0.0594],[0.4926, 0.1555],[0.5667, 0.2944],[0.5988, 0.4373],[0.6513, 0.5616],[0.7138, 0.3837],[0.7498, 0.5999],[0.7681, 0.731],[0.7836, 0.8501],[0.6014, 0.4076],[0.5437, 0.5961],[0.4813, 0.7236],[0.4327, 0.8234],[0.4907, 0.4013],[0.3878, 0.4604],[0.3621, 0.3237],[0.3715, 0.2226],[0.4007, 0.3825],[0.3281, 0.4158],[0.3145, 0.313],[0.3306, 0.2391]
[0.3907, 0.0578],[0.4879, 0.1518],[0.5648, 0.2875],[0.5993, 0.4319],[0.6526, 0.5602],[0.7158, 0.3786],[0.7521, 0.5951],[0.77, 0.7246],[0.7853, 0.8432],[0.6034, 0.4034],[0.5473, 0.5918],[0.4872, 0.7186],[0.4417, 0.8193],[0.4928, 0.3974],[0.3897, 0.4541],[0.3638, 0.3178],[0.3732, 0.2191],[0.4021, 0.3792],[0.332, 0.4126],[0.3185, 0.3096],[0.3349, 0.2372]
[0.3949, 0.0535],[0.49, 0.1504],[0.5639, 0.2837],[0.5979, 0.4261],[0.651, 0.5543],[0.7163, 0.3757],[0.7507, 0.5932],[0.769, 0.7238],[0.7846, 0.8434],[0.6025, 0.4006],[0.5467, 0.589],[0.484, 0.716],[0.4358, 0.8171],[0.4889, 0.3944],[0.3929, 0.4544],[0.3685, 0.3184],[0.3777, 0.2203],[0.3967, 0.3763],[0.3334, 0.4109],[0.3203, 0.3082],[0.3361, 0.2372]
