[0.6687, 0.8874],[0.6985, 1.0],[0.6584, 1.0],[0.6507, 1.0],[0.6692, 1.0],[0.374, 1.0],[0.3575, 1.0],[0.3637, 1.0],[0.3529, 1.0],[0.3462, 1.0],[0.427, 1.0],[0.5231, 1.0],[0.5458, 1.0],[0.3488, 1.0],[0.4326, 1.0],[0.5154, 1.0],[0.5195, 1.0],[0.3565, 1.0],[0.411, 1.0],[0.4707, 1.0],[0.4969, 1.0]
[0.6749, 0.8891],[0.6913, 1.0],[0.6579, 1.0],[0.6548, 1.0],[0.6702, 1.0],[0.3627, 1.0],[0.3622, 1.0],[0.375, 1.0],[0.3622, 1.0],[0.3375, 1.0],[0.4439, 1.0],[0.5396, 1.0],[0.5463, 1.0],[0.3431, 1.0],[0.4429, 1.0],[0.5242, 1.0],[0.5134, 1.0],[0.3519, 1.0],[0.4208, 1.0],[0.483, 1.0],[0.5, 1.0]
[0.6738, 0.8908],[0.6913, 1.0],[0.6594, 1.0],[0.6605, 1.0],[0.6769, 1.0],[0.3683, 1.0],[0.3668, 1.0],[0.3791, 1.0],[0.3637, 1.0],[0.3509, 1.0],[0.4455, 1.0],[0.5458, 1.0],[0.5561, 1.0],[0.3555, 1.0],[0.4445, 1.0],[0.5319, 1.0],[0.5231, 1.0],[0.3596, 1.0],[0.4182, 1.0],[0.482, 1.0],[0.501, 1.0]
[0.6779, 0.8853],[0.6954, 1.0],[0.6589, 1.0],[0.6522, 1.0],[0.6743, 1.0],[0.3699, 1.0],[0.3658, 1.0],[0.3761, 1.0],[0.3611, 1.0],[0.3375, 1.0],[0.4419, 1.0],[0.5386, 1.0],[0.5468, 1.0],[0.339, 1.0],[0.4362, 1.0],[0.5175, 1.0],[0.5108, 1.0],[0.3467, 1.0],[0.41, 1.0],[0.4748, 1.0],[0.4949, 1.0]
[0.6754, 0.8882],[0.6913, 1.0],[0.6589, 1.0],[0.6615, 1.0],[0.6779, 1.0],[0.3663, 1.0],[0.3678, 1.0],[0.3833, 1.0],[0.3699, 1.0],[0.3534, 1.0],[0.4465, 1.0],[0.5453, 1.0],[0.5555, 1.0],[0.3601, 1.0],[0.4496, 1.0],[0.535, 1.0],[0.5231, 1.0],[0.3658, 1.0],[0.4265, 1.0],[0.4902, 1.0],[0.5072, 1.0]
[0.6759, 0.8891],[0.6913, 1.0],[0.6589, 1.0],[0.6584, 1.0],[0.6764, 1.0],[0.3632, 1.0],[0.3694, 1.0],[0.3853, 1.0],[0.3714, 1.0],[0.3457, 1.0],[0.4475, 1.0],[0.5489, 1.0],[0.5581, 1.0],[0.3519, 1.0],[0.4481, 1.0],[0.535, 1.0],[0.5231, 1.0],[0.3581, 1.0],[0.4208, 1.0],[0.4866, 1.0],[0.5041, 1.0]
[0.6769, 0.885],[0.6949, 1.0],[0.6625, 1.0],[0.662, 1.0],[0.6785, 1.0],[0.3678, 1.0],[0.3704, 1.0],[0.3863, 1.0],[0.3709, 1.0],[0.3483, 1.0],[0.4465, 1.0],[0.5458, 1.0],[0.5525, 1.0],[0.3529, 1.0],[0.446, 1.0],[0.5303, 1.0],[0.5175, 1.0],[0.3591, 1.0],[0.4208, 1.0],[0.4841, 1.0],[0.5021, 1.0]
[0.6769, 0.8914],[0.6913, 1.0],[0.6589, 1.0],[0.662, 1.0],[0.6764, 1.0],[0.3606, 1.0],[0.3755, 1.0],[0.3946, 1.0],[0.3781, 1.0],[0.3493, 1.0],[0.4553, 1.0],[0.5509, 1.0],[0.5519, 1.0],[0.3581, 1.0],[0.4553, 1.0],[0.536, 1.0],[0.517, 1.0],[0.3658, 1.0],[0.4244, 1.0],[0.4841, 1.0],[0.4985, 1.0]
[0.6713, 0.8888],[0.6893, 1.0],[0.6584, 1.0],[0.661, 1.0],[0.6769, 1.0],[0.3627, 1.0],[0.374, 1.0],[0.3915, 1.0],[0.3776, 1.0],[0.3519, 1.0],[0.4475, 1.0],[0.5468, 1.0],[0.5555, 1.0],[0.3601, 1.0],[0.4491, 1.0],[0.536, 1.0],[0.5231, 1.0],[0.3658, 1.0],[0.4265, 1.0],[0.4907, 1.0],[0.5072, 1.0]
[0.6718, 0.8943],[0.6898, 1.0],[0.6579, 1.0],[0.6594, 1.0],[0.6764, 1.0],[0.3622, 1.0],[0.3719, 1.0],[0.3894, 1.0],[0.3745, 1.0],[0.3483, 1.0],[0.4563, 1.0],[0.5535, 1.0],[0.5535, 1.0],[0.3565, 1.0],[0.4537, 1.0],[0.536, 1.0],[0.5154, 1.0],[0.3627, 1.0],[0.4229, 1.0],[0.4835, 1.0],[0.4964, 1.0]
[0.6687, 0.8955],[0.6882, 1.0],[0.6569, 1.0],[0.661, 1.0],[0.679, 1.0],[0.3699, 1.0],[0.3704, 1.0],[0.3863, 1.0],[0.374, 1.0],[0.355, 1.0],[0.4517, 1.0],[0.5494, 1.0],[0.555, 1.0],[0.3601, 1.0],[0.4496, 1.0],[0.536, 1.0],[0.5206, 1.0],[0.3622, 1.0],[0.4234, 1.0],[0.4877, 1.0],[0.5051, 1.0]
