"[0.6771, 0.1185]","[0.7316, 0.2535]","[0.7081, 0.461]","[0.711, 0.6447]","[0.7198, 0.7746]","[0.3475, 0.347]","[0.3945, 0.5931]","[0.5189, 0.5488]","[0.566, 0.495]","[0.3269, 0.368]","[0.3191, 0.6308]","[0.35, 0.751]","[0.3277, 0.8524]","[0.3432, 0.3801]","[0.4339, 0.5839]","[0.5289, 0.5182]","[0.5422, 0.4413]","[0.3707, 0.396]","[0.4313, 0.5434]","[0.5043, 0.5019]","[0.5218, 0.4262]"
"[0.7136, 0.0863]","[0.7355, 0.2382]","[0.7032, 0.4473]","[0.705, 0.632]","[0.7116, 0.7756]","[0.3299, 0.3437]","[0.3281, 0.627]","[0.3436, 0.7778]","[0.3189, 0.896]","[0.332, 0.3421]","[0.4526, 0.5965]","[0.5696, 0.5219]","[0.556, 0.4246]","[0.3449, 0.3716]","[0.4675, 0.5675]","[0.5587, 0.4943]","[0.5191, 0.4289]","[0.3521, 0.3971]","[0.4021, 0.5339]","[0.4645, 0.4968]","[0.4801, 0.4443]"
"[0.7169, 0.0851]","[0.735, 0.2483]","[0.7068, 0.4592]","[0.7115, 0.6387]","[0.7102, 0.7821]","[0.3314, 0.3461]","[0.3304, 0.6381]","[0.3462, 0.7851]","[0.3192, 0.8996]","[0.323, 0.3359]","[0.452, 0.5958]","[0.5686, 0.528]","[0.552, 0.4317]","[0.3308, 0.3627]","[0.4543, 0.5749]","[0.5503, 0.5076]","[0.5114, 0.441]","[0.3347, 0.3893]","[0.39, 0.5378]","[0.461, 0.5029]","[0.4767, 0.4472]"
"[0.7188, 0.0899]","[0.7346, 0.2634]","[0.7027, 0.4741]","[0.7041, 0.6477]","[0.7076, 0.7845]","[0.3353, 0.3562]","[0.3285, 0.643]","[0.3423, 0.794]","[0.317, 0.9082]","[0.3245, 0.3418]","[0.4497, 0.5991]","[0.5663, 0.5392]","[0.5568, 0.444]","[0.3284, 0.3627]","[0.4529, 0.573]","[0.5486, 0.515]","[0.5174, 0.449]","[0.3289, 0.3848]","[0.3814, 0.5336]","[0.4493, 0.5128]","[0.4693, 0.4676]"
"[0.7206, 0.091]","[0.7352, 0.2628]","[0.7022, 0.4742]","[0.7045, 0.6482]","[0.7055, 0.7846]","[0.3325, 0.3528]","[0.3263, 0.6436]","[0.3411, 0.7958]","[0.3153, 0.9104]","[0.3246, 0.3405]","[0.4497, 0.6029]","[0.569, 0.5416]","[0.5616, 0.4439]","[0.3294, 0.3645]","[0.4539, 0.5774]","[0.5526, 0.5161]","[0.523, 0.4468]","[0.3298, 0.3882]","[0.3835, 0.5351]","[0.4552, 0.5089]","[0.4779, 0.458]"
"[0.7231, 0.0875]","[0.7376, 0.257]","[0.7049, 0.4653]","[0.7067, 0.6392]","[0.7058, 0.778]","[0.3314, 0.3557]","[0.3283, 0.6437]","[0.3455, 0.7958]","[0.3208, 0.9082]","[0.3263, 0.3378]","[0.4461, 0.6005]","[0.5672, 0.5442]","[0.5722, 0.4482]","[0.3353, 0.3586]","[0.4602, 0.571]","[0.5628, 0.5141]","[0.545, 0.4444]","[0.3393, 0.3829]","[0.3991, 0.5254]","[0.4743, 0.501]","[0.5011, 0.4502]"
"[0.7243, 0.0859]","[0.7376, 0.2533]","[0.7067, 0.4615]","[0.7099, 0.6365]","[0.7043, 0.779]","[0.3351, 0.3556]","[0.3268, 0.6412]","[0.3394, 0.796]","[0.3151, 0.9127]","[0.3336, 0.3412]","[0.4504, 0.6045]","[0.5708, 0.5472]","[0.5762, 0.4508]","[0.3437, 0.3637]","[0.4645, 0.5736]","[0.5653, 0.5125]","[0.5448, 0.4439]","[0.3477, 0.3879]","[0.4, 0.5273]","[0.4702, 0.5052]","[0.495, 0.4608]"
"[0.726, 0.0829]","[0.7375, 0.2523]","[0.7084, 0.462]","[0.7144, 0.6363]","[0.7106, 0.7767]","[0.3335, 0.349]","[0.3287, 0.64]","[0.342, 0.7945]","[0.3183, 0.9096]","[0.3307, 0.3363]","[0.4472, 0.6024]","[0.5647, 0.5458]","[0.5703, 0.4475]","[0.3405, 0.3604]","[0.4561, 0.5764]","[0.5553, 0.5174]","[0.5361, 0.4463]","[0.3435, 0.3864]","[0.3999, 0.5283]","[0.4726, 0.5001]","[0.4951, 0.4457]"
"[0.7226, 0.0896]","[0.7366, 0.2553]","[0.7065, 0.4624]","[0.7128, 0.6319]","[0.7092, 0.7744]","[0.3323, 0.3488]","[0.3323, 0.6395]","[0.3495, 0.7893]","[0.3223, 0.9052]","[0.336, 0.3362]","[0.4549, 0.5999]","[0.5733, 0.5349]","[0.5731, 0.4371]","[0.3467, 0.363]","[0.4679, 0.5738]","[0.5671, 0.5056]","[0.5392, 0.4354]","[0.3467, 0.3936]","[0.3975, 0.5351]","[0.4645, 0.5044]","[0.4815, 0.4514]"
"[0.7295, 0.0755]","[0.7491, 0.2551]","[0.7144, 0.4664]","[0.7112, 0.6341]","[0.7131, 0.7662]","[0.3384, 0.3389]","[0.335, 0.6296]","[0.3496, 0.7803]","[0.3221, 0.893]","[0.3342, 0.3214]","[0.4609, 0.5905]","[0.5817, 0.5296]","[0.5789, 0.4327]","[0.3396, 0.3438]","[0.4729, 0.5621]","[0.5757, 0.4988]","[0.5509, 0.4262]","[0.3391, 0.371]","[0.3972, 0.5238]","[0.4708, 0.5001]","[0.4937, 0.45]"
"[0.7304, 0.0799]","[0.7448, 0.2524]","[0.711, 0.4604]","[0.7145, 0.6217]","[0.7139, 0.7586]","[0.3384, 0.3411]","[0.3399, 0.6295]","[0.3625, 0.776]","[0.3323, 0.8919]","[0.352, 0.324]","[0.4732, 0.5878]","[0.5947, 0.5162]","[0.5903, 0.417]","[0.3645, 0.3521]","[0.4926, 0.5606]","[0.5935, 0.4842]","[0.5609, 0.4095]","[0.3632, 0.3858]","[0.41, 0.5257]","[0.4723, 0.4982]","[0.4866, 0.4507]"
"[0.7321, 0.077]","[0.7536, 0.2474]","[0.7208, 0.453]","[0.7195, 0.6214]","[0.7182, 0.7637]","[0.3416, 0.3334]","[0.3413, 0.6231]","[0.361, 0.7693]","[0.3318, 0.8826]","[0.3478, 0.3202]","[0.4717, 0.5871]","[0.5923, 0.5168]","[0.586, 0.4202]","[0.3576, 0.3473]","[0.4897, 0.5591]","[0.5908, 0.486]","[0.5578, 0.4141]","[0.3556, 0.3814]","[0.3988, 0.5324]","[0.4585, 0.5191]","[0.4705, 0.4833]"
"[0.7291, 0.0642]","[0.7543, 0.2419]","[0.7245, 0.4501]","[0.7189, 0.6262]","[0.7234, 0.7614]","[0.3605, 0.3319]","[0.3431, 0.6235]","[0.3498, 0.7751]","[0.3241, 0.8809]","[0.3325, 0.3141]","[0.4489, 0.5758]","[0.5642, 0.5298]","[0.5711, 0.4392]","[0.3277, 0.3305]","[0.4441, 0.553]","[0.5434, 0.5092]","[0.5348, 0.443]","[0.3255, 0.3526]","[0.3786, 0.5148]","[0.4557, 0.5031]","[0.4825, 0.4602]"
