"[0.5441, 0.9513]","[0.3889, 0.8852]","[0.3224, 0.7283]","[0.413, 0.594]","[0.5403, 0.5443]","[0.3645, 0.5276]","[0.383, 0.336]","[0.4203, 0.2069]","[0.4626, 0.0965]","[0.4663, 0.518]","[0.4183, 0.2987]","[0.3972, 0.158]","[0.3938, 0.0214]","[0.5689, 0.5511]","[0.6218, 0.3787]","[0.6146, 0.5069]","[0.5949, 0.6115]","[0.6774, 0.6207]","[0.7127, 0.5101]","[0.6957, 0.5831]","[0.6641, 0.6461]"
"[0.5443, 0.9942]","[0.3902, 0.8981]","[0.3286, 0.74]","[0.4266, 0.6004]","[0.5518, 0.5351]","[0.3555, 0.5325]","[0.3779, 0.3378]","[0.4164, 0.2135]","[0.455, 0.1049]","[0.4586, 0.5277]","[0.4219, 0.3009]","[0.4134, 0.1628]","[0.4138, 0.0331]","[0.5622, 0.5654]","[0.6199, 0.3909]","[0.6115, 0.5163]","[0.584, 0.6214]","[0.6688, 0.6334]","[0.7102, 0.5187]","[0.6909, 0.5853]","[0.6523, 0.6445]"
"[0.5406, 1.0071]","[0.3881, 0.9108]","[0.3259, 0.7498]","[0.4178, 0.6133]","[0.5278, 0.5462]","[0.35, 0.5352]","[0.3765, 0.3421]","[0.4192, 0.2171]","[0.464, 0.1081]","[0.4533, 0.5286]","[0.4147, 0.3024]","[0.4096, 0.1632]","[0.4164, 0.0319]","[0.5568, 0.5658]","[0.6192, 0.3931]","[0.6136, 0.5225]","[0.5874, 0.6292]","[0.6622, 0.6356]","[0.7049, 0.5205]","[0.6911, 0.5871]","[0.6579, 0.6443]"
"[0.5389, 1.0106]","[0.3901, 0.9126]","[0.325, 0.7565]","[0.4087, 0.6146]","[0.5286, 0.5381]","[0.3463, 0.5299]","[0.3723, 0.342]","[0.4184, 0.2201]","[0.4678, 0.1131]","[0.4514, 0.5236]","[0.4148, 0.3012]","[0.4106, 0.1632]","[0.4197, 0.032]","[0.5572, 0.5638]","[0.6171, 0.3911]","[0.607, 0.5207]","[0.5819, 0.6321]","[0.6652, 0.6374]","[0.7021, 0.5222]","[0.689, 0.5791]","[0.661, 0.6322]"
"[0.5347, 1.0123]","[0.3832, 0.9107]","[0.3186, 0.7531]","[0.4098, 0.6117]","[0.5347, 0.5413]","[0.3461, 0.5285]","[0.3723, 0.3424]","[0.42, 0.2209]","[0.4716, 0.116]","[0.4511, 0.5238]","[0.4114, 0.3023]","[0.4065, 0.1648]","[0.4164, 0.0366]","[0.5566, 0.5657]","[0.6163, 0.392]","[0.6049, 0.5165]","[0.5783, 0.6271]","[0.6643, 0.642]","[0.701, 0.523]","[0.687, 0.5776]","[0.6573, 0.6316]"
"[0.5298, 1.0135]","[0.3806, 0.9121]","[0.3174, 0.7547]","[0.413, 0.6164]","[0.5401, 0.5481]","[0.3485, 0.5306]","[0.3757, 0.3388]","[0.4216, 0.2155]","[0.47, 0.1086]","[0.4541, 0.5283]","[0.4175, 0.3065]","[0.4163, 0.1751]","[0.4299, 0.055]","[0.5597, 0.5716]","[0.6188, 0.4037]","[0.6065, 0.526]","[0.5795, 0.6321]","[0.6672, 0.6468]","[0.7031, 0.5219]","[0.6879, 0.5798]","[0.6577, 0.6368]"
"[0.5401, 1.008]","[0.3853, 0.9039]","[0.3193, 0.7583]","[0.4083, 0.6211]","[0.5318, 0.552]","[0.3547, 0.5307]","[0.382, 0.3395]","[0.4243, 0.2169]","[0.4708, 0.1097]","[0.4602, 0.5291]","[0.4249, 0.3051]","[0.4242, 0.1647]","[0.4365, 0.0378]","[0.5649, 0.5728]","[0.6251, 0.3986]","[0.6205, 0.5143]","[0.5991, 0.6239]","[0.6716, 0.6474]","[0.7088, 0.527]","[0.6962, 0.5788]","[0.6672, 0.6355]"
"[0.538, 1.012]","[0.3853, 0.9179]","[0.3161, 0.7682]","[0.4054, 0.6275]","[0.5312, 0.5595]","[0.3514, 0.5319]","[0.3798, 0.3393]","[0.4235, 0.2156]","[0.4701, 0.1072]","[0.4586, 0.5293]","[0.425, 0.3089]","[0.4242, 0.1758]","[0.4341, 0.0514]","[0.5641, 0.5726]","[0.6262, 0.3987]","[0.6187, 0.52]","[0.5923, 0.6301]","[0.6708, 0.6499]","[0.7116, 0.5258]","[0.698, 0.5802]","[0.6644, 0.6376]"
"[0.537, 1.0136]","[0.3864, 0.9199]","[0.3182, 0.7701]","[0.4063, 0.6308]","[0.5302, 0.564]","[0.3532, 0.5367]","[0.3803, 0.3416]","[0.4211, 0.2163]","[0.4656, 0.1086]","[0.4591, 0.5349]","[0.4246, 0.3124]","[0.424, 0.1787]","[0.436, 0.0582]","[0.5645, 0.5774]","[0.6234, 0.4056]","[0.6164, 0.5189]","[0.5921, 0.622]","[0.6718, 0.6528]","[0.7092, 0.5304]","[0.6962, 0.581]","[0.6661, 0.6332]"
"[0.5371, 1.0132]","[0.3869, 0.9229]","[0.3171, 0.7734]","[0.4022, 0.6327]","[0.5241, 0.5583]","[0.3525, 0.5351]","[0.3782, 0.3403]","[0.4206, 0.2138]","[0.4673, 0.1046]","[0.4584, 0.5318]","[0.4205, 0.301]","[0.413, 0.1563]","[0.4181, 0.0218]","[0.5633, 0.575]","[0.6212, 0.4016]","[0.6127, 0.5238]","[0.5868, 0.6311]","[0.6693, 0.6533]","[0.7051, 0.5275]","[0.691, 0.5829]","[0.6585, 0.6397]"
"[0.5337, 1.0157]","[0.3818, 0.9175]","[0.3162, 0.7655]","[0.4065, 0.6259]","[0.5275, 0.5575]","[0.35, 0.5341]","[0.3776, 0.3414]","[0.4201, 0.2164]","[0.4672, 0.1068]","[0.457, 0.5293]","[0.4179, 0.3039]","[0.4128, 0.1676]","[0.4225, 0.0395]","[0.5636, 0.5721]","[0.6202, 0.3961]","[0.612, 0.5191]","[0.5896, 0.6298]","[0.6708, 0.6525]","[0.707, 0.5285]","[0.692, 0.5844]","[0.6623, 0.6435]"
