"[0.4582, 0.9014]","[0.5797, 0.8256]","[0.6363, 0.6913]","[0.6054, 0.5701]","[0.536, 0.4891]","[0.5609, 0.5346]","[0.5562, 0.3732]","[0.544, 0.2745]","[0.5305, 0.1862]","[0.4877, 0.5306]","[0.505, 0.3426]","[0.5313, 0.229]","[0.5508, 0.1439]","[0.4127, 0.5594]","[0.4263, 0.4264]","[0.4758, 0.5032]","[0.5044, 0.5857]","[0.3392, 0.6103]","[0.3767, 0.5256]","[0.4322, 0.5739]","[0.4635, 0.6355]"
"[0.449, 0.9119]","[0.5771, 0.8281]","[0.634, 0.6936]","[0.5984, 0.5747]","[0.5282, 0.4947]","[0.5658, 0.5396]","[0.5594, 0.381]","[0.544, 0.2782]","[0.5263, 0.1895]","[0.4922, 0.5325]","[0.5096, 0.3452]","[0.5333, 0.2274]","[0.5518, 0.1364]","[0.4151, 0.5585]","[0.4307, 0.4282]","[0.4775, 0.5106]","[0.505, 0.5937]","[0.3397, 0.6063]","[0.3757, 0.5208]","[0.4275, 0.5708]","[0.4559, 0.6318]"
"[0.4477, 0.9129]","[0.5777, 0.8268]","[0.6354, 0.6942]","[0.5985, 0.5762]","[0.5296, 0.4986]","[0.5633, 0.5378]","[0.5593, 0.3785]","[0.5461, 0.2746]","[0.5309, 0.1859]","[0.4892, 0.5327]","[0.507, 0.3447]","[0.5311, 0.2267]","[0.5498, 0.1355]","[0.4128, 0.5599]","[0.4283, 0.4272]","[0.477, 0.5094]","[0.5053, 0.594]","[0.3376, 0.6095]","[0.3733, 0.5203]","[0.4267, 0.5709]","[0.4561, 0.6338]"
"[0.4464, 0.9129]","[0.5763, 0.8258]","[0.6344, 0.6916]","[0.5984, 0.5727]","[0.5254, 0.4966]","[0.5618, 0.5362]","[0.5587, 0.3774]","[0.5455, 0.2735]","[0.5307, 0.1841]","[0.4877, 0.5315]","[0.5056, 0.3456]","[0.5308, 0.2281]","[0.5501, 0.1367]","[0.4114, 0.5593]","[0.4283, 0.4291]","[0.4778, 0.5131]","[0.5055, 0.5976]","[0.3365, 0.6092]","[0.3744, 0.5191]","[0.4283, 0.5718]","[0.4565, 0.6361]"
"[0.4462, 0.9119]","[0.577, 0.8257]","[0.6347, 0.6913]","[0.5987, 0.5738]","[0.5262, 0.4992]","[0.5619, 0.5348]","[0.5572, 0.3757]","[0.5432, 0.2721]","[0.5277, 0.1836]","[0.4883, 0.5304]","[0.507, 0.3449]","[0.531, 0.2267]","[0.5495, 0.1354]","[0.4122, 0.5579]","[0.4279, 0.4292]","[0.4766, 0.5118]","[0.5052, 0.5958]","[0.3376, 0.608]","[0.3733, 0.5211]","[0.4271, 0.5724]","[0.4573, 0.6352]"
"[0.4474, 0.9119]","[0.5769, 0.8246]","[0.6343, 0.6913]","[0.5992, 0.574]","[0.5278, 0.4984]","[0.5615, 0.5364]","[0.5573, 0.3779]","[0.5438, 0.2749]","[0.5287, 0.1869]","[0.488, 0.5321]","[0.5074, 0.3461]","[0.5316, 0.2279]","[0.55, 0.1366]","[0.4118, 0.5595]","[0.4273, 0.4311]","[0.478, 0.5121]","[0.5081, 0.5964]","[0.3364, 0.6096]","[0.3708, 0.5202]","[0.4258, 0.5697]","[0.4576, 0.6325]"
"[0.4454, 0.915]","[0.5744, 0.8275]","[0.6334, 0.6926]","[0.5982, 0.5749]","[0.5281, 0.4974]","[0.5606, 0.5363]","[0.5564, 0.3742]","[0.5434, 0.2696]","[0.5288, 0.1813]","[0.4867, 0.5327]","[0.5058, 0.346]","[0.529, 0.2269]","[0.5467, 0.1355]","[0.4107, 0.56]","[0.4275, 0.4323]","[0.4773, 0.5143]","[0.5068, 0.5993]","[0.3356, 0.6091]","[0.3702, 0.5198]","[0.4259, 0.568]","[0.4588, 0.6301]"
"[0.4449, 0.9121]","[0.5746, 0.8237]","[0.6332, 0.6914]","[0.5964, 0.5749]","[0.526, 0.4969]","[0.5601, 0.5341]","[0.5552, 0.3729]","[0.5414, 0.2692]","[0.5263, 0.1806]","[0.4863, 0.5305]","[0.505, 0.3455]","[0.529, 0.2275]","[0.5476, 0.1374]","[0.4101, 0.5577]","[0.4275, 0.4311]","[0.4763, 0.5161]","[0.5048, 0.602]","[0.335, 0.6064]","[0.3716, 0.5201]","[0.4247, 0.5717]","[0.4544, 0.6346]"
"[0.4449, 0.9108]","[0.575, 0.823]","[0.6331, 0.691]","[0.5954, 0.5744]","[0.5251, 0.4966]","[0.5608, 0.5341]","[0.556, 0.3752]","[0.5418, 0.2719]","[0.5267, 0.1837]","[0.4866, 0.5296]","[0.505, 0.3454]","[0.5285, 0.2277]","[0.5475, 0.1374]","[0.4105, 0.557]","[0.4269, 0.4301]","[0.4749, 0.5132]","[0.5038, 0.5979]","[0.3354, 0.6062]","[0.37, 0.5192]","[0.4241, 0.5669]","[0.4559, 0.6272]"
"[0.4438, 0.9085]","[0.5746, 0.8219]","[0.6332, 0.6893]","[0.5957, 0.5725]","[0.5236, 0.4963]","[0.5613, 0.533]","[0.5566, 0.3753]","[0.5419, 0.2721]","[0.526, 0.1838]","[0.4873, 0.5287]","[0.5058, 0.3456]","[0.5294, 0.2288]","[0.5477, 0.1389]","[0.4112, 0.5562]","[0.4269, 0.4302]","[0.4752, 0.5137]","[0.5037, 0.5978]","[0.3361, 0.6055]","[0.3707, 0.5198]","[0.4239, 0.5702]","[0.4543, 0.6315]"
