[0.5441, 0.8649],[0.4394, 0.7989],[0.3848, 0.685],[0.4369, 0.5794],[0.5128, 0.5172],[0.4035, 0.528],[0.4175, 0.386],[0.4428, 0.2865],[0.4687, 0.1992],[0.4725, 0.5185],[0.439, 0.363],[0.4262, 0.2633],[0.4225, 0.1745],[0.5447, 0.5413],[0.5769, 0.4229],[0.5658, 0.5015],[0.5473, 0.5766],[0.6193, 0.5869],[0.6373, 0.5023],[0.6149, 0.5559],[0.587, 0.6155]
[0.5349, 0.8872],[0.4379, 0.8001],[0.3951, 0.6783],[0.4478, 0.5643],[0.5203, 0.4919],[0.3971, 0.532],[0.4074, 0.384],[0.428, 0.2876],[0.4523, 0.2009],[0.4681, 0.5267],[0.4399, 0.3685],[0.4315, 0.275],[0.4336, 0.188],[0.5417, 0.5519],[0.5821, 0.4348],[0.5592, 0.5242],[0.5322, 0.5988],[0.6164, 0.5992],[0.6354, 0.5123],[0.612, 0.5694],[0.5863, 0.6246]
[0.537, 0.8915],[0.4416, 0.8],[0.3993, 0.6736],[0.4604, 0.558],[0.5433, 0.4831],[0.3935, 0.5346],[0.4057, 0.385],[0.4306, 0.2868],[0.4573, 0.1992],[0.4676, 0.5315],[0.4393, 0.3701],[0.4311, 0.2757],[0.4337, 0.1873],[0.5432, 0.5581],[0.5875, 0.4448],[0.5637, 0.5368],[0.5342, 0.6073],[0.6195, 0.6028],[0.6428, 0.5174],[0.6194, 0.5767],[0.5929, 0.6273]
[0.5389, 0.8925],[0.4414, 0.8035],[0.3949, 0.6819],[0.4505, 0.5703],[0.5262, 0.4949],[0.3906, 0.5327],[0.4034, 0.3849],[0.4272, 0.2871],[0.4541, 0.2017],[0.4619, 0.5287],[0.4329, 0.3646],[0.4272, 0.2678],[0.4311, 0.1808],[0.5371, 0.5557],[0.58, 0.4443],[0.5656, 0.5364],[0.5421, 0.6075],[0.6136, 0.6008],[0.6367, 0.5184],[0.6189, 0.5796],[0.5973, 0.6305]
[0.535, 0.8967],[0.4415, 0.8051],[0.3974, 0.6762],[0.4582, 0.5586],[0.5404, 0.4818],[0.3862, 0.5417],[0.4008, 0.3893],[0.4252, 0.2897],[0.4507, 0.202],[0.4596, 0.5336],[0.432, 0.3676],[0.427, 0.274],[0.4304, 0.1876],[0.5362, 0.5575],[0.5784, 0.4443],[0.5624, 0.5387],[0.5384, 0.6117],[0.6125, 0.6021],[0.6337, 0.5173],[0.6168, 0.5773],[0.5963, 0.6295]
[0.5358, 0.8978],[0.4433, 0.803],[0.3997, 0.6695],[0.4635, 0.5515],[0.5488, 0.474],[0.3849, 0.5381],[0.3976, 0.386],[0.4238, 0.2863],[0.45, 0.1998],[0.4595, 0.5337],[0.4315, 0.3679],[0.427, 0.2745],[0.4311, 0.1889],[0.5363, 0.561],[0.5774, 0.4513],[0.5622, 0.5455],[0.5393, 0.6134],[0.6129, 0.6059],[0.6356, 0.5203],[0.6188, 0.5794],[0.5984, 0.6266]
[0.5396, 0.8975],[0.4462, 0.8039],[0.4009, 0.6703],[0.4657, 0.5513],[0.5521, 0.4755],[0.3843, 0.5419],[0.3983, 0.3884],[0.4254, 0.2881],[0.4519, 0.2013],[0.4592, 0.5355],[0.4322, 0.3693],[0.4283, 0.2736],[0.4324, 0.1872],[0.5355, 0.561],[0.5788, 0.452],[0.5644, 0.5451],[0.541, 0.6144],[0.6114, 0.6043],[0.6359, 0.5205],[0.6195, 0.5783],[0.5981, 0.6264]
[0.5391, 0.8943],[0.4472, 0.7996],[0.404, 0.6711],[0.4648, 0.5531],[0.5495, 0.4755],[0.3847, 0.5377],[0.3983, 0.3845],[0.4244, 0.2851],[0.4513, 0.1996],[0.4594, 0.5335],[0.4313, 0.3677],[0.427, 0.272],[0.4313, 0.1864],[0.5366, 0.5603],[0.5788, 0.4492],[0.5651, 0.5403],[0.5428, 0.6108],[0.6132, 0.6038],[0.6355, 0.5202],[0.6201, 0.5775],[0.6002, 0.6268]
[0.539, 0.8982],[0.4486, 0.8053],[0.4058, 0.6734],[0.4658, 0.5536],[0.5467, 0.4736],[0.3856, 0.5439],[0.4001, 0.388],[0.4264, 0.2878],[0.4533, 0.2011],[0.4587, 0.5365],[0.4321, 0.3698],[0.4294, 0.2744],[0.4343, 0.1876],[0.5346, 0.5612],[0.5786, 0.4457],[0.5661, 0.5369],[0.5435, 0.6075],[0.6106, 0.6045],[0.6364, 0.5191],[0.6205, 0.5757],[0.5987, 0.6254]
[0.5413, 0.8963],[0.4482, 0.8075],[0.4019, 0.6799],[0.4568, 0.563],[0.5331, 0.4878],[0.3867, 0.5406],[0.4009, 0.3867],[0.4256, 0.2878],[0.4512, 0.202],[0.4595, 0.5352],[0.4322, 0.369],[0.4294, 0.2732],[0.4342, 0.1879],[0.536, 0.5608],[0.5796, 0.445],[0.5697, 0.5342],[0.5486, 0.6062],[0.6124, 0.6043],[0.6361, 0.5197],[0.6237, 0.5754],[0.6059, 0.6256]
