[0.2306, 0.8951],[0.3751, 0.8578],[0.4547, 0.6992],[0.3981, 0.5588],[0.3094, 0.4715],[0.4422, 0.4893],[0.4363, 0.2904],[0.4225, 0.1496],[0.4041, 0.0346],[0.3423, 0.4667],[0.387, 0.2693],[0.3949, 0.1274],[0.4054, 0.0136],[0.2398, 0.486],[0.2194, 0.3126],[0.1977, 0.3854],[0.1951, 0.476],[0.134, 0.5344],[0.1011, 0.391],[0.1129, 0.4072],[0.1333, 0.4667]
[0.2391, 0.9432],[0.3797, 0.873],[0.456, 0.7015],[0.3811, 0.5595],[0.2792, 0.4623],[0.4481, 0.4933],[0.4409, 0.2882],[0.4198, 0.1481],[0.3949, 0.0309],[0.3456, 0.4712],[0.3981, 0.2645],[0.4113, 0.1215],[0.4238, 0.0043],[0.2398, 0.4922],[0.2115, 0.3037],[0.1905, 0.3706],[0.1925, 0.4675],[0.1346, 0.5384],[0.1051, 0.3947],[0.1116, 0.4006],[0.13, 0.4468]
[0.2345, 0.9591],[0.3765, 0.8693],[0.4501, 0.6941],[0.364, 0.5492],[0.2588, 0.4568],[0.4435, 0.4904],[0.4382, 0.2838],[0.4139, 0.1474],[0.387, 0.0309],[0.3423, 0.4701],[0.3949, 0.256],[0.4093, 0.1137],[0.4264, 0.0],[0.2391, 0.4945],[0.2076, 0.3019],[0.1905, 0.3632],[0.1971, 0.4586],[0.1333, 0.5436],[0.1031, 0.3983],[0.1097, 0.402],[0.1267, 0.4483]
[0.2332, 0.9672],[0.3732, 0.8744],[0.4428, 0.7007],[0.3633, 0.5595],[0.2595, 0.4571],[0.4428, 0.4811],[0.4343, 0.2786],[0.408, 0.1414],[0.3771, 0.0272],[0.3416, 0.4653],[0.3922, 0.2523],[0.4041, 0.1137],[0.4179, 0.0],[0.2352, 0.4926],[0.203, 0.3011],[0.1839, 0.3732],[0.1905, 0.4697],[0.13, 0.5403],[0.0965, 0.3961],[0.0985, 0.4098],[0.1103, 0.459]
[0.2352, 0.9672],[0.3765, 0.8667],[0.4415, 0.6974],[0.3587, 0.5588],[0.2503, 0.4593],[0.4441, 0.4786],[0.433, 0.2778],[0.4027, 0.1396],[0.3699, 0.0265],[0.3423, 0.4641],[0.3909, 0.2498],[0.4008, 0.11],[0.4152, 0.0],[0.2358, 0.4915],[0.201, 0.3],[0.1806, 0.3725],[0.1885, 0.4693],[0.1333, 0.5359],[0.0959, 0.3969],[0.0945, 0.4113],[0.109, 0.4593]
[0.2339, 0.9654],[0.3778, 0.8626],[0.4395, 0.6948],[0.36, 0.5588],[0.2503, 0.4586],[0.4428, 0.4741],[0.431, 0.2738],[0.4008, 0.1344],[0.3692, 0.0232],[0.3416, 0.4638],[0.3883, 0.2475],[0.3968, 0.1082],[0.4126, 0.0],[0.2345, 0.4908],[0.201, 0.2989],[0.1787, 0.3743],[0.1852, 0.4719],[0.132, 0.5311],[0.0932, 0.3924],[0.0906, 0.4091],[0.1031, 0.4604]
[0.2339, 0.9624],[0.3765, 0.8597],[0.4369, 0.697],[0.3613, 0.5614],[0.2529, 0.4545],[0.4415, 0.4741],[0.4303, 0.2716],[0.4008, 0.1304],[0.3699, 0.0184],[0.3397, 0.4671],[0.387, 0.2498],[0.3975, 0.1074],[0.4152, 0.0],[0.2325, 0.4945],[0.2023, 0.3015],[0.1806, 0.3695],[0.1879, 0.4645],[0.1294, 0.5336],[0.0926, 0.3947],[0.0906, 0.4069],[0.1037, 0.4553]
[0.2332, 0.9628],[0.3765, 0.8597],[0.4389, 0.6933],[0.3607, 0.5554],[0.2516, 0.4523],[0.4395, 0.4752],[0.429, 0.2716],[0.4014, 0.1307],[0.3758, 0.0158],[0.339, 0.4649],[0.3843, 0.2475],[0.3955, 0.1056],[0.4152, 0.0],[0.2325, 0.4919],[0.2043, 0.2989],[0.1819, 0.3691],[0.1872, 0.4664],[0.13, 0.534],[0.0939, 0.3969],[0.0919, 0.412],[0.1037, 0.463]
[0.2332, 0.958],[0.3778, 0.8549],[0.4363, 0.6944],[0.3653, 0.5588],[0.2569, 0.4486],[0.4382, 0.4745],[0.429, 0.2697],[0.4021, 0.1241],[0.3745, 0.0121],[0.3364, 0.4701],[0.387, 0.249],[0.3968, 0.106],[0.4146, 0.0],[0.2306, 0.4952],[0.2017, 0.3015],[0.18, 0.3714],[0.1879, 0.4697],[0.1281, 0.5299],[0.0906, 0.3961],[0.0913, 0.4131],[0.107, 0.4664]
[0.2312, 0.9632],[0.3719, 0.8634],[0.4251, 0.7092],[0.3581, 0.5758],[0.2549, 0.459],[0.4501, 0.4775],[0.4317, 0.2771],[0.4014, 0.1304],[0.3705, 0.0206],[0.3456, 0.4734],[0.3929, 0.2538],[0.4008, 0.1078],[0.4198, 0.0],[0.2358, 0.4996],[0.2082, 0.3022],[0.1806, 0.3599],[0.1865, 0.4549],[0.13, 0.5325],[0.0952, 0.3943],[0.0926, 0.4087],[0.1103, 0.4619]
[0.2279, 0.9639],[0.3719, 0.8667],[0.4349, 0.7],[0.3521, 0.5662],[0.2411, 0.469],[0.4441, 0.4808],[0.4336, 0.2786],[0.4054, 0.1389],[0.3758, 0.0257],[0.341, 0.4701],[0.3889, 0.2575],[0.3981, 0.1134],[0.4119, 0.0],[0.2306, 0.4963],[0.2003, 0.3059],[0.1787, 0.374],[0.1846, 0.466],[0.1261, 0.5381],[0.0919, 0.3991],[0.0919, 0.4154],[0.1051, 0.4645]
