"[0.4518, 0.9441]","[0.5906, 0.9008]","[0.6581, 0.7636]","[0.5846, 0.6329]","[0.4827, 0.5563]","[0.6362, 0.5456]","[0.6199, 0.35]","[0.6043, 0.2182]","[0.5841, 0.1067]","[0.5342, 0.5295]","[0.5833, 0.3298]","[0.5976, 0.1949]","[0.6058, 0.0733]","[0.4346, 0.5578]","[0.3965, 0.3933]","[0.3899, 0.5043]","[0.3996, 0.6019]","[0.3307, 0.6194]","[0.3018, 0.4982]","[0.321, 0.5546]","[0.3448, 0.6222]"
"[0.4556, 0.97]","[0.6065, 0.8763]","[0.6686, 0.7313]","[0.5766, 0.6158]","[0.4681, 0.5515]","[0.635, 0.5399]","[0.6268, 0.3393]","[0.6109, 0.2101]","[0.5912, 0.0962]","[0.5318, 0.5264]","[0.5801, 0.3284]","[0.5927, 0.1987]","[0.5987, 0.0822]","[0.4325, 0.5571]","[0.3914, 0.3922]","[0.3859, 0.4985]","[0.3978, 0.6025]","[0.3359, 0.6176]","[0.3062, 0.5007]","[0.3166, 0.5486]","[0.3341, 0.6169]"
"[0.4508, 0.9845]","[0.6029, 0.8839]","[0.6671, 0.7394]","[0.5751, 0.6174]","[0.4648, 0.5443]","[0.6374, 0.5442]","[0.6281, 0.3479]","[0.6081, 0.2192]","[0.5821, 0.1048]","[0.5352, 0.5309]","[0.583, 0.331]","[0.5977, 0.2004]","[0.605, 0.0797]","[0.4367, 0.5584]","[0.3946, 0.3922]","[0.3923, 0.5027]","[0.4066, 0.6081]","[0.339, 0.6124]","[0.3035, 0.4971]","[0.3132, 0.5459]","[0.3312, 0.6124]"
"[0.4541, 0.9922]","[0.607, 0.887]","[0.6673, 0.7468]","[0.5769, 0.6228]","[0.4624, 0.5409]","[0.648, 0.5462]","[0.6331, 0.3539]","[0.607, 0.2204]","[0.5784, 0.1091]","[0.5454, 0.537]","[0.589, 0.3343]","[0.5996, 0.2015]","[0.6089, 0.0802]","[0.4431, 0.5634]","[0.4038, 0.3958]","[0.3932, 0.4946]","[0.4031, 0.5985]","[0.3425, 0.6083]","[0.3051, 0.4969]","[0.3107, 0.5401]","[0.3278, 0.6044]"
"[0.4537, 0.9934]","[0.6075, 0.8916]","[0.6694, 0.7453]","[0.5748, 0.6248]","[0.4579, 0.5502]","[0.6461, 0.5505]","[0.6353, 0.3518]","[0.6107, 0.2205]","[0.582, 0.1064]","[0.5438, 0.5392]","[0.5912, 0.3319]","[0.6046, 0.1953]","[0.6122, 0.0728]","[0.442, 0.5652]","[0.4037, 0.3968]","[0.3971, 0.4981]","[0.4074, 0.6028]","[0.3429, 0.6114]","[0.3057, 0.4982]","[0.3127, 0.5415]","[0.3294, 0.6054]"
"[0.4535, 0.9972]","[0.6026, 0.9028]","[0.6713, 0.7514]","[0.5743, 0.6271]","[0.4589, 0.5513]","[0.6464, 0.5501]","[0.6387, 0.348]","[0.616, 0.2173]","[0.5882, 0.102]","[0.5428, 0.5355]","[0.5912, 0.3302]","[0.6046, 0.1953]","[0.6108, 0.0768]","[0.442, 0.5617]","[0.4037, 0.3966]","[0.3974, 0.4992]","[0.4074, 0.6037]","[0.3441, 0.6131]","[0.3062, 0.4969]","[0.3155, 0.5421]","[0.3328, 0.6089]"
"[0.452, 1.0015]","[0.5996, 0.9084]","[0.6688, 0.7545]","[0.5733, 0.6283]","[0.4594, 0.5494]","[0.645, 0.5503]","[0.6379, 0.3485]","[0.6153, 0.2179]","[0.586, 0.1027]","[0.542, 0.5363]","[0.5923, 0.3316]","[0.6065, 0.1989]","[0.6119, 0.0808]","[0.4412, 0.5636]","[0.4022, 0.3958]","[0.3961, 0.4993]","[0.4055, 0.6029]","[0.3428, 0.6168]","[0.3054, 0.4971]","[0.316, 0.5416]","[0.334, 0.6067]"
"[0.4526, 0.9999]","[0.6022, 0.9019]","[0.668, 0.7512]","[0.5731, 0.626]","[0.4593, 0.5463]","[0.6476, 0.5502]","[0.6399, 0.347]","[0.6176, 0.2133]","[0.5891, 0.0968]","[0.5447, 0.5386]","[0.5942, 0.3322]","[0.6063, 0.1995]","[0.6097, 0.0816]","[0.4425, 0.5657]","[0.4033, 0.3958]","[0.3962, 0.4964]","[0.4048, 0.6001]","[0.3411, 0.6164]","[0.3036, 0.4961]","[0.3154, 0.5416]","[0.3359, 0.6078]"
"[0.4532, 0.9973]","[0.6028, 0.8947]","[0.6682, 0.7463]","[0.5748, 0.6221]","[0.4572, 0.5452]","[0.6464, 0.5449]","[0.6363, 0.3438]","[0.6131, 0.2122]","[0.5846, 0.0959]","[0.5426, 0.535]","[0.5899, 0.3306]","[0.6052, 0.1985]","[0.6126, 0.0804]","[0.4396, 0.5624]","[0.3978, 0.3965]","[0.3958, 0.503]","[0.4098, 0.6075]","[0.3389, 0.6102]","[0.3003, 0.4949]","[0.3135, 0.5472]","[0.337, 0.6156]"
"[0.4514, 0.9968]","[0.6028, 0.895]","[0.6661, 0.7502]","[0.5768, 0.6279]","[0.4641, 0.5444]","[0.6462, 0.5474]","[0.6332, 0.3491]","[0.6074, 0.2169]","[0.5771, 0.1017]","[0.5433, 0.5372]","[0.589, 0.3316]","[0.605, 0.1978]","[0.6152, 0.0778]","[0.44, 0.5647]","[0.3997, 0.3943]","[0.3961, 0.4978]","[0.4088, 0.6028]","[0.3376, 0.6136]","[0.3011, 0.4936]","[0.3129, 0.5419]","[0.3341, 0.61]"
"[0.4487, 0.9936]","[0.6018, 0.8921]","[0.6659, 0.7509]","[0.5791, 0.6268]","[0.4696, 0.5415]","[0.6473, 0.5503]","[0.635, 0.3522]","[0.6082, 0.2199]","[0.5759, 0.1038]","[0.5449, 0.5389]","[0.593, 0.3329]","[0.6067, 0.1986]","[0.6144, 0.078]","[0.4422, 0.5652]","[0.4003, 0.3941]","[0.3939, 0.4943]","[0.4065, 0.5976]","[0.3388, 0.6141]","[0.3002, 0.4953]","[0.3111, 0.5427]","[0.3337, 0.609]"
"[0.4498, 0.9933]","[0.5961, 0.898]","[0.6625, 0.7518]","[0.5706, 0.6238]","[0.462, 0.5396]","[0.6439, 0.5509]","[0.635, 0.3498]","[0.6119, 0.2187]","[0.5837, 0.1015]","[0.5415, 0.537]","[0.5914, 0.3315]","[0.6062, 0.1982]","[0.6147, 0.0763]","[0.4399, 0.5623]","[0.3987, 0.394]","[0.3934, 0.4995]","[0.4063, 0.6027]","[0.3385, 0.6132]","[0.3, 0.4957]","[0.3113, 0.5461]","[0.3325, 0.6133]"
"[0.4495, 0.9877]","[0.5955, 0.8951]","[0.664, 0.7461]","[0.5667, 0.6212]","[0.4516, 0.5492]","[0.6445, 0.5469]","[0.6329, 0.3504]","[0.6051, 0.2232]","[0.5719, 0.1075]","[0.5414, 0.53]","[0.592, 0.3295]","[0.6079, 0.1977]","[0.6163, 0.0789]","[0.4395, 0.5554]","[0.3986, 0.3942]","[0.3962, 0.5062]","[0.4114, 0.6123]","[0.3396, 0.6075]","[0.3005, 0.4971]","[0.3134, 0.5506]","[0.3364, 0.6184]"
"[0.4486, 0.9848]","[0.5963, 0.8935]","[0.6637, 0.7438]","[0.5645, 0.6198]","[0.4515, 0.5447]","[0.643, 0.5432]","[0.6311, 0.3481]","[0.6037, 0.2203]","[0.5697, 0.1059]","[0.5402, 0.5296]","[0.5909, 0.3297]","[0.6063, 0.1977]","[0.6146, 0.0785]","[0.4387, 0.556]","[0.397, 0.3941]","[0.3939, 0.5041]","[0.4094, 0.609]","[0.3385, 0.6074]","[0.2997, 0.4969]","[0.312, 0.5492]","[0.3348, 0.6151]"
"[0.4462, 0.9958]","[0.5914, 0.9088]","[0.6611, 0.7513]","[0.5676, 0.623]","[0.4555, 0.5464]","[0.6406, 0.5486]","[0.6302, 0.3471]","[0.605, 0.2176]","[0.5745, 0.1036]","[0.537, 0.533]","[0.5863, 0.3309]","[0.6025, 0.1993]","[0.6117, 0.0827]","[0.435, 0.561]","[0.3984, 0.3916]","[0.3936, 0.4971]","[0.4045, 0.6026]","[0.337, 0.6163]","[0.3011, 0.5007]","[0.3116, 0.5436]","[0.3295, 0.6056]"
"[0.4447, 0.999]","[0.5913, 0.9063]","[0.6611, 0.7509]","[0.5646, 0.6286]","[0.454, 0.5555]","[0.6408, 0.5496]","[0.6295, 0.352]","[0.6029, 0.2243]","[0.57, 0.1092]","[0.5379, 0.5327]","[0.5882, 0.3306]","[0.6053, 0.199]","[0.6141, 0.0812]","[0.4365, 0.5596]","[0.3957, 0.3925]","[0.3922, 0.502]","[0.4049, 0.6069]","[0.338, 0.6154]","[0.2988, 0.4976]","[0.3112, 0.5485]","[0.3312, 0.6161]"
