[0.0914, 0.2143],[0.2567, 0.1181],[0.3925, 0.0],[0.3139, 0.0],[0.17, 0.0],[0.3309, 0.0],[0.3359, 0.0],[0.3089, 0.0],[0.3127, 0.0],[0.2165, 0.0],[0.214, 0.0],[0.1958, 0.0],[0.2071, 0.0],[0.1147, 0.0],[0.0965, 0.0],[0.1015, 0.0],[0.1172, 0.0],[0.0085, 0.0],[0.011, 0.0],[0.0173, 0.0],[0.0242, 0.0]
[0.0914, 0.2072],[0.2599, 0.133],[0.4001, 0.0],[0.3165, 0.0],[0.1738, 0.0],[0.3366, 0.0],[0.3429, 0.0],[0.3083, 0.0],[0.3089, 0.0],[0.2278, 0.0],[0.2247, 0.0],[0.2065, 0.0],[0.2178, 0.0],[0.1241, 0.0],[0.1071, 0.0],[0.1084, 0.0],[0.1304, 0.0],[0.0116, 0.0],[0.0147, 0.0],[0.0254, 0.0],[0.0305, 0.0]
[0.0965, 0.2034],[0.2649, 0.1348],[0.4038, 0.0],[0.3196, 0.0],[0.1801, 0.0],[0.341, 0.0],[0.3504, 0.0],[0.3158, 0.0],[0.3133, 0.0],[0.231, 0.0],[0.2322, 0.0],[0.2134, 0.0],[0.2215, 0.0],[0.126, 0.0],[0.1159, 0.0],[0.1159, 0.0],[0.1329, 0.0],[0.0116, 0.0],[0.0191, 0.0],[0.0298, 0.0],[0.0323, 0.0]
[0.0921, 0.1998],[0.263, 0.1358],[0.4045, 0.0],[0.3209, 0.0],[0.1801, 0.0],[0.3403, 0.0],[0.3517, 0.0],[0.3165, 0.0],[0.3158, 0.0],[0.2322, 0.0],[0.2341, 0.0],[0.2146, 0.0],[0.2241, 0.0],[0.1279, 0.0],[0.1191, 0.0],[0.1166, 0.0],[0.1361, 0.0],[0.0154, 0.0],[0.0229, 0.0],[0.0317, 0.0],[0.0336, 0.0]
[0.0921, 0.2023],[0.2599, 0.1341],[0.3982, 0.0],[0.3171, 0.0],[0.1775, 0.0],[0.341, 0.0],[0.3491, 0.0],[0.3146, 0.0],[0.3177, 0.0],[0.2322, 0.0],[0.2291, 0.0],[0.209, 0.0],[0.2241, 0.0],[0.1285, 0.0],[0.1153, 0.0],[0.1109, 0.0],[0.1335, 0.0],[0.0166, 0.0],[0.0198, 0.0],[0.0267, 0.0],[0.0323, 0.0]
[0.0939, 0.2009],[0.2618, 0.133],[0.4001, 0.0],[0.3196, 0.0],[0.1813, 0.0],[0.341, 0.0],[0.3523, 0.0],[0.3152, 0.0],[0.3165, 0.0],[0.2329, 0.0],[0.2335, 0.0],[0.2121, 0.0],[0.2241, 0.0],[0.1285, 0.0],[0.1185, 0.0],[0.1141, 0.0],[0.1329, 0.0],[0.016, 0.0],[0.0223, 0.0],[0.0298, 0.0],[0.033, 0.0]
[0.0933, 0.1973],[0.2618, 0.1351],[0.4026, 0.0],[0.3183, 0.0],[0.1794, 0.0],[0.3422, 0.0],[0.3529, 0.0],[0.3158, 0.0],[0.3177, 0.0],[0.2341, 0.0],[0.2354, 0.0],[0.2134, 0.0],[0.2259, 0.0],[0.1291, 0.0],[0.1203, 0.0],[0.1159, 0.0],[0.1367, 0.0],[0.016, 0.0],[0.0223, 0.0],[0.0317, 0.0],[0.0355, 0.0]
[0.0952, 0.1959],[0.2649, 0.1333],[0.4032, 0.0],[0.3165, 0.0],[0.1769, 0.0],[0.3429, 0.0],[0.3542, 0.0],[0.3165, 0.0],[0.319, 0.0],[0.2341, 0.0],[0.236, 0.0],[0.2146, 0.0],[0.2278, 0.0],[0.1298, 0.0],[0.1203, 0.0],[0.1166, 0.0],[0.1367, 0.0],[0.0154, 0.0],[0.021, 0.0],[0.0317, 0.0],[0.0361, 0.0]
[0.0977, 0.1924],[0.2655, 0.1298],[0.4032, 0.0],[0.3183, 0.0],[0.1788, 0.0],[0.3429, 0.0],[0.3517, 0.0],[0.3152, 0.0],[0.3177, 0.0],[0.2354, 0.0],[0.2341, 0.0],[0.2146, 0.0],[0.2291, 0.0],[0.1317, 0.0],[0.1197, 0.0],[0.1172, 0.0],[0.1392, 0.0],[0.0191, 0.0],[0.0223, 0.0],[0.033, 0.0],[0.038, 0.0]
[0.0965, 0.1945],[0.2649, 0.1309],[0.4019, 0.0],[0.3183, 0.0],[0.1794, 0.0],[0.3435, 0.0],[0.3517, 0.0],[0.3152, 0.0],[0.3152, 0.0],[0.2354, 0.0],[0.2341, 0.0],[0.214, 0.0],[0.2266, 0.0],[0.1317, 0.0],[0.1203, 0.0],[0.1178, 0.0],[0.1373, 0.0],[0.0191, 0.0],[0.0235, 0.0],[0.0342, 0.0],[0.038, 0.0]
[0.0958, 0.198],[0.2624, 0.1365],[0.4013, 0.0],[0.319, 0.0],[0.1807, 0.0],[0.3441, 0.0],[0.3535, 0.0],[0.3196, 0.0],[0.3202, 0.0],[0.2354, 0.0],[0.2366, 0.0],[0.219, 0.0],[0.2285, 0.0],[0.131, 0.0],[0.1222, 0.0],[0.1203, 0.0],[0.1367, 0.0],[0.0185, 0.0],[0.0248, 0.0],[0.0355, 0.0],[0.0361, 0.0]
[0.0971, 0.1959],[0.2655, 0.1309],[0.4032, 0.0],[0.3209, 0.0],[0.1882, 0.0],[0.3435, 0.0],[0.3542, 0.0],[0.3183, 0.0],[0.3209, 0.0],[0.2354, 0.0],[0.236, 0.0],[0.2153, 0.0],[0.2285, 0.0],[0.1317, 0.0],[0.1229, 0.0],[0.1185, 0.0],[0.1379, 0.0],[0.0198, 0.0],[0.0254, 0.0],[0.0342, 0.0],[0.0367, 0.0]
[0.0971, 0.2005],[0.2668, 0.1355],[0.4045, 0.0],[0.3221, 0.0],[0.1882, 0.0],[0.3435, 0.0],[0.3523, 0.0],[0.319, 0.0],[0.3215, 0.0],[0.2347, 0.0],[0.2354, 0.0],[0.2171, 0.0],[0.2285, 0.0],[0.131, 0.0],[0.1222, 0.0],[0.1191, 0.0],[0.1361, 0.0],[0.0191, 0.0],[0.0248, 0.0],[0.0336, 0.0],[0.0355, 0.0]
[0.0952, 0.2016],[0.2668, 0.1312],[0.4045, 0.0],[0.3215, 0.0],[0.1838, 0.0],[0.3454, 0.0],[0.351, 0.0],[0.3158, 0.0],[0.3177, 0.0],[0.2366, 0.0],[0.2335, 0.0],[0.2153, 0.0],[0.2266, 0.0],[0.1329, 0.0],[0.1197, 0.0],[0.1185, 0.0],[0.1386, 0.0],[0.0204, 0.0],[0.0235, 0.0],[0.0349, 0.0],[0.0411, 0.0]
[0.0971, 0.2019],[0.2699, 0.1302],[0.4051, 0.0],[0.3215, 0.0],[0.1863, 0.0],[0.3454, 0.0],[0.3554, 0.0],[0.319, 0.0],[0.3196, 0.0],[0.2373, 0.0],[0.2373, 0.0],[0.2159, 0.0],[0.2278, 0.0],[0.1335, 0.0],[0.1229, 0.0],[0.1191, 0.0],[0.1392, 0.0],[0.0204, 0.0],[0.0248, 0.0],[0.0342, 0.0],[0.0399, 0.0]
[0.1021, 0.2005],[0.2725, 0.1333],[0.4101, 0.0],[0.3303, 0.0],[0.1983, 0.0],[0.3504, 0.0],[0.3598, 0.0],[0.3221, 0.0],[0.3227, 0.0],[0.2429, 0.0],[0.2429, 0.0],[0.2215, 0.0],[0.2341, 0.0],[0.1405, 0.0],[0.1285, 0.0],[0.1235, 0.0],[0.1442, 0.0],[0.0286, 0.0],[0.0317, 0.0],[0.0399, 0.0],[0.0455, 0.0]
[0.1027, 0.1977],[0.2712, 0.1316],[0.4101, 0.0],[0.3303, 0.0],[0.1989, 0.0],[0.3517, 0.0],[0.3605, 0.0],[0.3253, 0.0],[0.3278, 0.0],[0.2448, 0.0],[0.2429, 0.0],[0.2234, 0.0],[0.2391, 0.0],[0.1423, 0.0],[0.1285, 0.0],[0.1254, 0.0],[0.148, 0.0],[0.0311, 0.0],[0.0317, 0.0],[0.0405, 0.0],[0.0462, 0.0]
[0.0996, 0.1963],[0.2655, 0.1323],[0.4063, 0.0],[0.329, 0.0],[0.1983, 0.0],[0.3517, 0.0],[0.3617, 0.0],[0.3265, 0.0],[0.3297, 0.0],[0.2442, 0.0],[0.2454, 0.0],[0.2253, 0.0],[0.2398, 0.0],[0.1411, 0.0],[0.1317, 0.0],[0.1266, 0.0],[0.1486, 0.0],[0.0292, 0.0],[0.0336, 0.0],[0.0405, 0.0],[0.0449, 0.0]
[0.1015, 0.1942],[0.2725, 0.1277],[0.4101, 0.0],[0.329, 0.0],[0.1964, 0.0],[0.3542, 0.0],[0.3642, 0.0],[0.3271, 0.0],[0.329, 0.0],[0.2467, 0.0],[0.2492, 0.0],[0.2259, 0.0],[0.2385, 0.0],[0.1442, 0.0],[0.1348, 0.0],[0.1285, 0.0],[0.1493, 0.0],[0.0323, 0.0],[0.0361, 0.0],[0.0449, 0.0],[0.0499, 0.0]
