[0.7762, 0.2017],[0.6414, 0.1427],[0.5237, 0.0241],[0.555, 0.0],[0.6656, 0.0],[0.5982, 0.0],[0.5885, 0.0],[0.5962, 0.0],[0.6121, 0.0],[0.6898, 0.0],[0.6815, 0.0],[0.6841, 0.0],[0.6908, 0.0],[0.7751, 0.0],[0.769, 0.0],[0.7597, 0.0],[0.7664, 0.0],[0.8651, 0.0],[0.8487, 0.0],[0.8358, 0.0],[0.8425, 0.0]
[0.7839, 0.2041],[0.644, 0.1361],[0.5273, 0.0198],[0.5478, 0.0],[0.661, 0.0],[0.6054, 0.0],[0.5869, 0.0],[0.5993, 0.0],[0.6085, 0.0],[0.6959, 0.0],[0.6774, 0.0],[0.681, 0.0],[0.6882, 0.0],[0.7803, 0.0],[0.7664, 0.0],[0.7618, 0.0],[0.771, 0.0],[0.8698, 0.0],[0.8477, 0.0],[0.8353, 0.0],[0.8461, 0.0]
[0.787, 0.202],[0.644, 0.1346],[0.5278, 0.0192],[0.5489, 0.0],[0.6589, 0.0],[0.6023, 0.0],[0.5885, 0.0],[0.6003, 0.0],[0.6054, 0.0],[0.6929, 0.0],[0.6774, 0.0],[0.681, 0.0],[0.6841, 0.0],[0.7777, 0.0],[0.7669, 0.0],[0.7618, 0.0],[0.7674, 0.0],[0.8672, 0.0],[0.8482, 0.0],[0.8353, 0.0],[0.8425, 0.0]
[0.7854, 0.1968],[0.6435, 0.1352],[0.5267, 0.0157],[0.5494, 0.0],[0.6599, 0.0],[0.6023, 0.0],[0.5895, 0.0],[0.6013, 0.0],[0.607, 0.0],[0.6934, 0.0],[0.679, 0.0],[0.6821, 0.0],[0.6846, 0.0],[0.7777, 0.0],[0.7674, 0.0],[0.7633, 0.0],[0.7695, 0.0],[0.8667, 0.0],[0.8482, 0.0],[0.8363, 0.0],[0.8441, 0.0]
[0.7849, 0.1994],[0.6435, 0.1343],[0.5288, 0.0163],[0.5509, 0.0],[0.662, 0.0],[0.6018, 0.0],[0.5926, 0.0],[0.6044, 0.0],[0.6065, 0.0],[0.6929, 0.0],[0.6821, 0.0],[0.6857, 0.0],[0.6841, 0.0],[0.7772, 0.0],[0.7721, 0.0],[0.7679, 0.0],[0.769, 0.0],[0.8657, 0.0],[0.8533, 0.0],[0.8435, 0.0],[0.8487, 0.0]
[0.7854, 0.1939],[0.6425, 0.1346],[0.5273, 0.0154],[0.554, 0.0],[0.6666, 0.0],[0.6065, 0.0],[0.5941, 0.0],[0.6013, 0.0],[0.6065, 0.0],[0.697, 0.0],[0.6826, 0.0],[0.6821, 0.0],[0.6872, 0.0],[0.7813, 0.0],[0.771, 0.0],[0.7643, 0.0],[0.7715, 0.0],[0.8703, 0.0],[0.8523, 0.0],[0.8389, 0.0],[0.8466, 0.0]
[0.7859, 0.1896],[0.6445, 0.1323],[0.5298, 0.0154],[0.5591, 0.0],[0.6733, 0.0],[0.609, 0.0],[0.5967, 0.0],[0.6023, 0.0],[0.6065, 0.0],[0.6995, 0.0],[0.6851, 0.0],[0.6821, 0.0],[0.6867, 0.0],[0.7834, 0.0],[0.7751, 0.0],[0.7654, 0.0],[0.7705, 0.0],[0.8718, 0.0],[0.8564, 0.0],[0.841, 0.0],[0.8466, 0.0]
[0.787, 0.191],[0.6486, 0.1338],[0.5319, 0.016],[0.5602, 0.0],[0.6728, 0.0],[0.609, 0.0],[0.5982, 0.0],[0.6049, 0.0],[0.608, 0.0],[0.7001, 0.0],[0.6882, 0.0],[0.6851, 0.0],[0.6867, 0.0],[0.7849, 0.0],[0.7782, 0.0],[0.7679, 0.0],[0.7705, 0.0],[0.8734, 0.0],[0.859, 0.0],[0.8441, 0.0],[0.8492, 0.0]
[0.788, 0.1954],[0.6486, 0.1358],[0.5334, 0.0157],[0.5638, 0.0],[0.6785, 0.0],[0.6111, 0.0],[0.5972, 0.0],[0.6039, 0.0],[0.6116, 0.0],[0.7011, 0.0],[0.6872, 0.0],[0.6846, 0.0],[0.6913, 0.0],[0.7849, 0.0],[0.7767, 0.0],[0.7659, 0.0],[0.7726, 0.0],[0.8739, 0.0],[0.8559, 0.0],[0.8399, 0.0],[0.8471, 0.0]
[0.7926, 0.1945],[0.6502, 0.1332],[0.5345, 0.018],[0.5622, 0.0],[0.6769, 0.0],[0.6116, 0.0],[0.5962, 0.0],[0.6059, 0.0],[0.6137, 0.0],[0.7011, 0.0],[0.6862, 0.0],[0.6882, 0.0],[0.6944, 0.0],[0.7854, 0.0],[0.7751, 0.0],[0.769, 0.0],[0.7767, 0.0],[0.8739, 0.0],[0.8554, 0.0],[0.8425, 0.0],[0.8513, 0.0]
[0.7911, 0.1965],[0.6497, 0.1355],[0.5329, 0.0163],[0.5591, 0.0],[0.6728, 0.0],[0.6126, 0.0],[0.5982, 0.0],[0.607, 0.0],[0.6126, 0.0],[0.7026, 0.0],[0.6872, 0.0],[0.6872, 0.0],[0.6918, 0.0],[0.7859, 0.0],[0.7757, 0.0],[0.7685, 0.0],[0.7751, 0.0],[0.8734, 0.0],[0.8559, 0.0],[0.8425, 0.0],[0.8507, 0.0]
[0.7942, 0.1983],[0.6527, 0.1393],[0.5339, 0.0166],[0.5591, 0.0],[0.6759, 0.0],[0.6106, 0.0],[0.5972, 0.0],[0.6095, 0.0],[0.6152, 0.0],[0.7011, 0.0],[0.6887, 0.0],[0.6918, 0.0],[0.6934, 0.0],[0.7849, 0.0],[0.7772, 0.0],[0.7726, 0.0],[0.7772, 0.0],[0.8718, 0.0],[0.8564, 0.0],[0.8471, 0.0],[0.8559, 0.0]
[0.7983, 0.2052],[0.6548, 0.1416],[0.536, 0.0172],[0.5627, 0.0],[0.6774, 0.0],[0.6085, 0.0],[0.5977, 0.0],[0.6126, 0.0],[0.6152, 0.0],[0.7006, 0.0],[0.6908, 0.0],[0.6939, 0.0],[0.6898, 0.0],[0.7849, 0.0],[0.7793, 0.0],[0.7757, 0.0],[0.7767, 0.0],[0.8734, 0.0],[0.8595, 0.0],[0.8507, 0.0],[0.8574, 0.0]
[0.7962, 0.2055],[0.6527, 0.1381],[0.5381, 0.0152],[0.5627, 0.0],[0.6754, 0.0],[0.6152, 0.0],[0.6008, 0.0],[0.6142, 0.0],[0.6193, 0.0],[0.7047, 0.0],[0.6903, 0.0],[0.6939, 0.0],[0.6959, 0.0],[0.7885, 0.0],[0.7782, 0.0],[0.7751, 0.0],[0.7808, 0.0],[0.8765, 0.0],[0.8585, 0.0],[0.8482, 0.0],[0.8569, 0.0]
[0.7962, 0.2035],[0.6533, 0.1384],[0.5386, 0.0157],[0.5663, 0.0],[0.679, 0.0],[0.6131, 0.0],[0.6008, 0.0],[0.6106, 0.0],[0.6152, 0.0],[0.7037, 0.0],[0.6898, 0.0],[0.6908, 0.0],[0.6934, 0.0],[0.7885, 0.0],[0.7782, 0.0],[0.7721, 0.0],[0.7777, 0.0],[0.878, 0.0],[0.8585, 0.0],[0.8461, 0.0],[0.8549, 0.0]
[0.7957, 0.2043],[0.6522, 0.1387],[0.5381, 0.0143],[0.5684, 0.0],[0.6836, 0.0],[0.6137, 0.0],[0.6013, 0.0],[0.6085, 0.0],[0.6142, 0.0],[0.7037, 0.0],[0.6893, 0.0],[0.6877, 0.0],[0.6934, 0.0],[0.7885, 0.0],[0.7772, 0.0],[0.7695, 0.0],[0.7787, 0.0],[0.878, 0.0],[0.8574, 0.0],[0.8441, 0.0],[0.8554, 0.0]
[0.7916, 0.2041],[0.6476, 0.1341],[0.5365, 0.0134],[0.5674, 0.0],[0.6831, 0.0],[0.6152, 0.0],[0.6008, 0.0],[0.607, 0.0],[0.6137, 0.0],[0.7047, 0.0],[0.6882, 0.0],[0.6862, 0.0],[0.6944, 0.0],[0.789, 0.0],[0.7772, 0.0],[0.7679, 0.0],[0.7787, 0.0],[0.8795, 0.0],[0.8574, 0.0],[0.842, 0.0],[0.8538, 0.0]
[0.7947, 0.2015],[0.6517, 0.1332],[0.5391, 0.0149],[0.5653, 0.0],[0.6769, 0.0],[0.6137, 0.0],[0.6018, 0.0],[0.6095, 0.0],[0.6147, 0.0],[0.7026, 0.0],[0.6898, 0.0],[0.6908, 0.0],[0.6939, 0.0],[0.7875, 0.0],[0.7777, 0.0],[0.7705, 0.0],[0.7751, 0.0],[0.8759, 0.0],[0.859, 0.0],[0.8451, 0.0],[0.8523, 0.0]
[0.7962, 0.1989],[0.6522, 0.1346],[0.5381, 0.0146],[0.5648, 0.0],[0.6774, 0.0],[0.6131, 0.0],[0.5998, 0.0],[0.609, 0.0],[0.6142, 0.0],[0.7026, 0.0],[0.6882, 0.0],[0.6887, 0.0],[0.6939, 0.0],[0.787, 0.0],[0.7767, 0.0],[0.77, 0.0],[0.7782, 0.0],[0.8754, 0.0],[0.8574, 0.0],[0.8451, 0.0],[0.8559, 0.0]
[0.7962, 0.1991],[0.6507, 0.1349],[0.5365, 0.0131],[0.5638, 0.0],[0.6743, 0.0],[0.6111, 0.0],[0.5987, 0.0],[0.6075, 0.0],[0.6126, 0.0],[0.7011, 0.0],[0.6862, 0.0],[0.6862, 0.0],[0.6918, 0.0],[0.7854, 0.0],[0.7741, 0.0],[0.7679, 0.0],[0.7777, 0.0],[0.8749, 0.0],[0.8549, 0.0],[0.8425, 0.0],[0.8543, 0.0]
[0.7937, 0.1997],[0.6491, 0.1341],[0.536, 0.0114],[0.5648, 0.0],[0.6759, 0.0],[0.6111, 0.0],[0.5977, 0.0],[0.608, 0.0],[0.6142, 0.0],[0.7011, 0.0],[0.6862, 0.0],[0.6877, 0.0],[0.6929, 0.0],[0.7849, 0.0],[0.7736, 0.0],[0.7695, 0.0],[0.7782, 0.0],[0.8739, 0.0],[0.8543, 0.0],[0.8446, 0.0],[0.8569, 0.0]
[0.7931, 0.202],[0.6507, 0.1361],[0.536, 0.0111],[0.5633, 0.0],[0.6749, 0.0],[0.6121, 0.0],[0.5977, 0.0],[0.6085, 0.0],[0.6142, 0.0],[0.7016, 0.0],[0.6862, 0.0],[0.6882, 0.0],[0.6929, 0.0],[0.7854, 0.0],[0.7741, 0.0],[0.769, 0.0],[0.7772, 0.0],[0.8744, 0.0],[0.8543, 0.0],[0.8435, 0.0],[0.8549, 0.0]
