"[0.5799, 0.8512]","[0.4177, 0.7632]","[0.2965, 0.6125]","[0.3464, 0.4584]","[0.4897, 0.4278]","[0.3763, 0.4595]","[0.3564, 0.3123]","[0.3693, 0.4558]","[0.3815, 0.515]","[0.4865, 0.4573]","[0.4703, 0.3207]","[0.4714, 0.4861]","[0.4808, 0.5222]","[0.5928, 0.4697]","[0.5826, 0.3575]","[0.5717, 0.5128]","[0.5802, 0.5526]","[0.707, 0.4988]","[0.6862, 0.3993]","[0.6673, 0.505]","[0.6775, 0.5513]"
"[0.5855, 0.8529]","[0.4194, 0.7639]","[0.2936, 0.6138]","[0.3366, 0.4559]","[0.4752, 0.4233]","[0.3803, 0.4585]","[0.3614, 0.3109]","[0.3741, 0.4532]","[0.3854, 0.5136]","[0.4924, 0.4608]","[0.4769, 0.324]","[0.4771, 0.4863]","[0.4845, 0.5285]","[0.5984, 0.4752]","[0.5906, 0.355]","[0.5793, 0.5091]","[0.5854, 0.5593]","[0.7092, 0.5057]","[0.6931, 0.3998]","[0.6727, 0.5007]","[0.6766, 0.5537]"
"[0.5869, 0.8556]","[0.4222, 0.7657]","[0.2964, 0.6137]","[0.34, 0.454]","[0.478, 0.4224]","[0.381, 0.457]","[0.3647, 0.3095]","[0.3772, 0.453]","[0.3876, 0.5127]","[0.4931, 0.4602]","[0.4804, 0.3254]","[0.4795, 0.4891]","[0.4851, 0.5284]","[0.5988, 0.4754]","[0.5934, 0.3572]","[0.581, 0.5138]","[0.5853, 0.5615]","[0.7089, 0.5064]","[0.6946, 0.4012]","[0.6737, 0.5046]","[0.6766, 0.5564]"
"[0.5906, 0.8542]","[0.4215, 0.7616]","[0.2976, 0.6136]","[0.3421, 0.4556]","[0.4782, 0.4258]","[0.3794, 0.4539]","[0.3689, 0.3111]","[0.38, 0.4529]","[0.3874, 0.5101]","[0.4922, 0.4586]","[0.4862, 0.3263]","[0.4835, 0.4877]","[0.485, 0.5256]","[0.5983, 0.4737]","[0.5986, 0.3592]","[0.5851, 0.5132]","[0.5859, 0.5582]","[0.7075, 0.5046]","[0.6976, 0.4027]","[0.6765, 0.5048]","[0.6776, 0.5537]"
"[0.5922, 0.8577]","[0.4219, 0.7681]","[0.2946, 0.6151]","[0.3396, 0.4559]","[0.4762, 0.4293]","[0.3758, 0.4546]","[0.3638, 0.312]","[0.3785, 0.4559]","[0.3863, 0.51]","[0.4891, 0.4566]","[0.4819, 0.3232]","[0.4816, 0.487]","[0.483, 0.5209]","[0.5946, 0.471]","[0.5942, 0.358]","[0.5819, 0.5136]","[0.5834, 0.5534]","[0.7043, 0.5008]","[0.694, 0.4025]","[0.6736, 0.5057]","[0.6757, 0.5509]"
"[0.5918, 0.8539]","[0.4225, 0.7654]","[0.2965, 0.6159]","[0.3405, 0.4563]","[0.4772, 0.4283]","[0.3767, 0.4544]","[0.3635, 0.3117]","[0.3765, 0.4537]","[0.3851, 0.5099]","[0.4893, 0.4566]","[0.4799, 0.3238]","[0.4795, 0.485]","[0.4821, 0.5208]","[0.5946, 0.4703]","[0.5915, 0.3561]","[0.5801, 0.5096]","[0.5825, 0.5517]","[0.7038, 0.4997]","[0.6906, 0.4006]","[0.6718, 0.503]","[0.6759, 0.5499]"
"[0.5934, 0.8542]","[0.4239, 0.7663]","[0.2955, 0.6179]","[0.3371, 0.4584]","[0.4734, 0.4277]","[0.3742, 0.4562]","[0.3615, 0.311]","[0.378, 0.4532]","[0.385, 0.5095]","[0.4873, 0.4573]","[0.4795, 0.3236]","[0.4826, 0.4855]","[0.4817, 0.5215]","[0.5932, 0.4707]","[0.5916, 0.3558]","[0.5832, 0.5099]","[0.5823, 0.5515]","[0.7026, 0.5]","[0.6921, 0.4024]","[0.6752, 0.5047]","[0.6769, 0.55]"
"[0.5918, 0.8575]","[0.4224, 0.7688]","[0.2932, 0.6162]","[0.337, 0.4563]","[0.475, 0.4306]","[0.376, 0.4571]","[0.3636, 0.3104]","[0.3773, 0.4518]","[0.3843, 0.5113]","[0.4891, 0.4585]","[0.4809, 0.3235]","[0.4814, 0.4854]","[0.4822, 0.5247]","[0.5947, 0.4722]","[0.5925, 0.3575]","[0.5813, 0.5119]","[0.5816, 0.5571]","[0.7034, 0.5015]","[0.6905, 0.4016]","[0.6718, 0.5032]","[0.6749, 0.5503]"
"[0.5921, 0.8546]","[0.4228, 0.7647]","[0.2946, 0.6171]","[0.3359, 0.4577]","[0.4721, 0.4312]","[0.3756, 0.4544]","[0.3636, 0.3102]","[0.3771, 0.4511]","[0.3836, 0.5094]","[0.4886, 0.4565]","[0.4801, 0.324]","[0.4817, 0.4838]","[0.4816, 0.5229]","[0.5947, 0.4705]","[0.5909, 0.3573]","[0.582, 0.5095]","[0.5821, 0.5534]","[0.7044, 0.5003]","[0.6901, 0.4034]","[0.6728, 0.5047]","[0.676, 0.5509]"
"[0.5936, 0.8532]","[0.4222, 0.7683]","[0.2924, 0.6164]","[0.3349, 0.4571]","[0.4704, 0.4303]","[0.3702, 0.4543]","[0.3589, 0.3109]","[0.3739, 0.4553]","[0.3792, 0.5096]","[0.4827, 0.4567]","[0.4751, 0.3254]","[0.4766, 0.4886]","[0.4749, 0.5198]","[0.5885, 0.4695]","[0.5872, 0.3555]","[0.5769, 0.5097]","[0.5754, 0.5456]","[0.6985, 0.4968]","[0.689, 0.4031]","[0.671, 0.506]","[0.6721, 0.547]"
"[0.5922, 0.8513]","[0.4203, 0.7682]","[0.2896, 0.6156]","[0.3356, 0.453]","[0.4738, 0.428]","[0.372, 0.4527]","[0.3611, 0.3098]","[0.3749, 0.4565]","[0.38, 0.5087]","[0.4851, 0.4547]","[0.4787, 0.3227]","[0.4754, 0.4895]","[0.4715, 0.5193]","[0.5897, 0.4674]","[0.5896, 0.3569]","[0.5754, 0.5162]","[0.5726, 0.5508]","[0.698, 0.4948]","[0.6881, 0.402]","[0.6689, 0.5091]","[0.6712, 0.5499]"
"[0.5944, 0.8507]","[0.4224, 0.7713]","[0.2878, 0.6154]","[0.3344, 0.4512]","[0.4737, 0.4272]","[0.372, 0.4531]","[0.361, 0.31]","[0.3762, 0.4575]","[0.381, 0.5094]","[0.4861, 0.4551]","[0.479, 0.324]","[0.4782, 0.4916]","[0.4739, 0.5206]","[0.591, 0.467]","[0.5891, 0.3591]","[0.5775, 0.5194]","[0.5743, 0.553]","[0.6994, 0.4922]","[0.6885, 0.4]","[0.6706, 0.5081]","[0.6723, 0.5486]"
"[0.5936, 0.8591]","[0.4223, 0.7727]","[0.2891, 0.6118]","[0.3374, 0.4453]","[0.4785, 0.4266]","[0.3771, 0.4546]","[0.3617, 0.3101]","[0.3755, 0.4562]","[0.3824, 0.51]","[0.4893, 0.4559]","[0.4778, 0.326]","[0.4765, 0.4906]","[0.4754, 0.5226]","[0.5932, 0.4686]","[0.5866, 0.358]","[0.5761, 0.516]","[0.5775, 0.5554]","[0.7018, 0.4956]","[0.6858, 0.3968]","[0.6682, 0.5046]","[0.6735, 0.5511]"
"[0.5905, 0.8567]","[0.4178, 0.7655]","[0.2906, 0.6143]","[0.3338, 0.4512]","[0.47, 0.4266]","[0.3729, 0.4521]","[0.3579, 0.3096]","[0.3725, 0.453]","[0.381, 0.5091]","[0.4846, 0.4552]","[0.4745, 0.3246]","[0.4754, 0.4875]","[0.4764, 0.5232]","[0.5895, 0.469]","[0.5855, 0.3557]","[0.5752, 0.5117]","[0.5772, 0.5546]","[0.699, 0.4977]","[0.685, 0.399]","[0.667, 0.5032]","[0.6711, 0.5498]"
"[0.5883, 0.858]","[0.4167, 0.7655]","[0.29, 0.6142]","[0.3333, 0.4514]","[0.4697, 0.4268]","[0.3735, 0.4531]","[0.3589, 0.3087]","[0.3725, 0.451]","[0.3793, 0.507]","[0.4848, 0.4559]","[0.4746, 0.3249]","[0.4749, 0.4865]","[0.4743, 0.5229]","[0.5892, 0.4692]","[0.5849, 0.3548]","[0.5743, 0.5104]","[0.575, 0.5551]","[0.6983, 0.4975]","[0.6844, 0.3967]","[0.6655, 0.5005]","[0.6682, 0.5488]"
"[0.59, 0.8591]","[0.4179, 0.7655]","[0.2908, 0.6129]","[0.3343, 0.4495]","[0.4702, 0.4285]","[0.3719, 0.4525]","[0.3576, 0.308]","[0.3733, 0.452]","[0.3796, 0.5065]","[0.4839, 0.455]","[0.4742, 0.3245]","[0.4761, 0.4876]","[0.474, 0.5217]","[0.5891, 0.4691]","[0.5856, 0.3561]","[0.5767, 0.5119]","[0.5766, 0.5536]","[0.6989, 0.4982]","[0.6854, 0.398]","[0.6684, 0.502]","[0.6717, 0.5492]"
"[0.5925, 0.8645]","[0.4197, 0.7717]","[0.2903, 0.6147]","[0.3339, 0.4495]","[0.4722, 0.4275]","[0.3704, 0.4566]","[0.3583, 0.3082]","[0.3745, 0.4513]","[0.3793, 0.5067]","[0.483, 0.458]","[0.4764, 0.3231]","[0.4781, 0.4857]","[0.4735, 0.5216]","[0.5881, 0.4707]","[0.5872, 0.3564]","[0.5785, 0.5122]","[0.5763, 0.5559]","[0.6974, 0.4978]","[0.6874, 0.397]","[0.6708, 0.5021]","[0.6729, 0.5512]"
"[0.5951, 0.8586]","[0.4223, 0.7696]","[0.2924, 0.6133]","[0.3365, 0.4481]","[0.4746, 0.426]","[0.375, 0.4547]","[0.3617, 0.3093]","[0.3762, 0.4529]","[0.3823, 0.5078]","[0.487, 0.4572]","[0.48, 0.3239]","[0.4807, 0.4864]","[0.4774, 0.5205]","[0.5917, 0.4699]","[0.5896, 0.3588]","[0.58, 0.5151]","[0.5776, 0.5554]","[0.7003, 0.4963]","[0.6881, 0.3992]","[0.6713, 0.5051]","[0.6737, 0.5509]"
"[0.5927, 0.8605]","[0.4219, 0.7716]","[0.2933, 0.6136]","[0.338, 0.4485]","[0.4738, 0.4267]","[0.3742, 0.4573]","[0.3614, 0.3116]","[0.3757, 0.4536]","[0.3837, 0.5123]","[0.4863, 0.458]","[0.4792, 0.3231]","[0.4792, 0.4846]","[0.4786, 0.5227]","[0.591, 0.4702]","[0.5898, 0.3577]","[0.5778, 0.5126]","[0.577, 0.5574]","[0.6992, 0.4965]","[0.6877, 0.3983]","[0.6685, 0.5012]","[0.6709, 0.5487]"
"[0.5942, 0.8588]","[0.4244, 0.7726]","[0.2935, 0.6151]","[0.3366, 0.449]","[0.4728, 0.4256]","[0.3735, 0.4567]","[0.36, 0.3123]","[0.3775, 0.4547]","[0.3856, 0.5107]","[0.4857, 0.4566]","[0.4804, 0.325]","[0.4834, 0.4865]","[0.4808, 0.5216]","[0.5904, 0.4685]","[0.5908, 0.3584]","[0.5819, 0.5126]","[0.5798, 0.5538]","[0.6982, 0.4949]","[0.6894, 0.4002]","[0.6732, 0.504]","[0.6748, 0.5493]"
"[0.5965, 0.855]","[0.4256, 0.7704]","[0.2953, 0.6155]","[0.3396, 0.4502]","[0.4759, 0.428]","[0.3748, 0.4563]","[0.362, 0.3123]","[0.3791, 0.4563]","[0.3852, 0.5096]","[0.4869, 0.4564]","[0.4801, 0.3248]","[0.4826, 0.4877]","[0.4781, 0.5202]","[0.5915, 0.4678]","[0.5909, 0.3567]","[0.582, 0.5129]","[0.5795, 0.5526]","[0.6997, 0.4932]","[0.6889, 0.3991]","[0.6736, 0.5039]","[0.6763, 0.5483]"
"[0.5957, 0.8551]","[0.4248, 0.7694]","[0.2957, 0.6135]","[0.3399, 0.4499]","[0.4748, 0.4273]","[0.3753, 0.4554]","[0.363, 0.3126]","[0.38, 0.4548]","[0.386, 0.5106]","[0.4875, 0.4552]","[0.4817, 0.324]","[0.4841, 0.4856]","[0.4799, 0.5215]","[0.5923, 0.4672]","[0.5919, 0.3564]","[0.5835, 0.5108]","[0.5813, 0.5528]","[0.7008, 0.4936]","[0.6901, 0.4]","[0.6749, 0.5034]","[0.6773, 0.548]"
"[0.5969, 0.8547]","[0.4261, 0.7693]","[0.2964, 0.614]","[0.3408, 0.4507]","[0.4758, 0.4288]","[0.3746, 0.4576]","[0.3648, 0.3123]","[0.3822, 0.4546]","[0.3855, 0.5109]","[0.4877, 0.4586]","[0.4827, 0.3245]","[0.486, 0.485]","[0.4788, 0.5217]","[0.5928, 0.4706]","[0.5929, 0.3552]","[0.586, 0.5082]","[0.5807, 0.5505]","[0.7007, 0.4973]","[0.6923, 0.4008]","[0.6774, 0.5037]","[0.6768, 0.5492]"
"[0.5949, 0.855]","[0.4233, 0.7692]","[0.2949, 0.6146]","[0.3403, 0.4521]","[0.4754, 0.4272]","[0.3749, 0.4557]","[0.3659, 0.312]","[0.3804, 0.4549]","[0.3845, 0.5117]","[0.4875, 0.4567]","[0.4843, 0.3233]","[0.4844, 0.4849]","[0.4792, 0.5219]","[0.5928, 0.4697]","[0.5948, 0.3558]","[0.585, 0.5107]","[0.5812, 0.5547]","[0.7004, 0.498]","[0.6936, 0.4006]","[0.6758, 0.5047]","[0.6749, 0.5521]"
"[0.5913, 0.8567]","[0.4158, 0.764]","[0.2941, 0.6112]","[0.346, 0.455]","[0.4811, 0.434]","[0.3747, 0.4578]","[0.3621, 0.3126]","[0.3777, 0.4519]","[0.3839, 0.5104]","[0.4876, 0.4606]","[0.4787, 0.3248]","[0.48, 0.4832]","[0.4787, 0.5271]","[0.593, 0.4736]","[0.5895, 0.3551]","[0.5803, 0.5095]","[0.581, 0.565]","[0.7013, 0.5011]","[0.6872, 0.397]","[0.6719, 0.4975]","[0.676, 0.5521]"
"[0.5919, 0.8551]","[0.4199, 0.7643]","[0.2962, 0.6131]","[0.3453, 0.4563]","[0.4799, 0.4335]","[0.3738, 0.4555]","[0.3605, 0.3119]","[0.3786, 0.4514]","[0.3853, 0.508]","[0.4874, 0.4579]","[0.4784, 0.3241]","[0.4828, 0.4825]","[0.4812, 0.524]","[0.5934, 0.4715]","[0.5901, 0.3563]","[0.5837, 0.5088]","[0.5838, 0.5592]","[0.7021, 0.4996]","[0.6897, 0.3996]","[0.6764, 0.4998]","[0.6805, 0.5499]"
"[0.5919, 0.8566]","[0.4195, 0.7686]","[0.2927, 0.6132]","[0.3439, 0.4533]","[0.4815, 0.4313]","[0.3748, 0.455]","[0.3614, 0.3116]","[0.3771, 0.454]","[0.3835, 0.5075]","[0.4882, 0.4577]","[0.4797, 0.3237]","[0.4798, 0.4862]","[0.4782, 0.5225]","[0.5935, 0.4714]","[0.5915, 0.356]","[0.5804, 0.5133]","[0.5806, 0.5585]","[0.7026, 0.4987]","[0.689, 0.3998]","[0.672, 0.5027]","[0.676, 0.5492]"
