[1.0, 0.3067],[1.0, 0.1803],[1.0, 0.0331],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0413],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.3233],[1.0, 0.1965],[1.0, 0.0442],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0431],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.3274],[1.0, 0.1991],[1.0, 0.0476],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0394],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.3337],[1.0, 0.208],[1.0, 0.0538],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0424],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.3326],[1.0, 0.2032],[1.0, 0.049],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0413],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.3333],[1.0, 0.1984],[1.0, 0.0483],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0032],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0527],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.3533],[1.0, 0.2132],[1.0, 0.0479],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0095],[1.0, 0.018],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0039],[1.0, 0.0775],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.3765],[1.0, 0.2235],[1.0, 0.0442],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.028],[1.0, 0.0468],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0257],[1.0, 0.1104],[1.0, 0.0161],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.3865],[1.0, 0.2202],[1.0, 0.0376],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0195],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0664],[1.0, 0.0768],[1.0, 0.0],[1.0, 0.025],[1.0, 0.0908],[1.0, 0.1466],[1.0, 0.0646],[1.0, 0.0132],[1.0, 0.0]
[1.0, 0.3961],[1.0, 0.2279],[1.0, 0.0339],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0158],[1.0, 0.0328],[1.0, 0.0],[1.0, 0.0243],[1.0, 0.0908],[1.0, 0.1041],[1.0, 0.0243],[1.0, 0.079],[1.0, 0.1292],[1.0, 0.1862],[1.0, 0.123],[1.0, 0.086],[1.0, 0.0402]
[1.0, 0.4072],[1.0, 0.2261],[0.9797, 0.0354],[0.9876, 0.0],[0.9837, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0036],[1.0, 0.0642],[1.0, 0.0184],[1.0, 0.0302],[1.0, 0.0853],[1.0, 0.137],[1.0, 0.1156],[1.0, 0.1163],[1.0, 0.1559],[1.0, 0.1932],[1.0, 0.2242],[1.0, 0.2047],[1.0, 0.1921],[1.0, 0.1751]
