[1.0, 0.0],[0.9881, 0.0],[0.8991, 0.0],[0.8538, 0.0],[0.8415, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.0],[0.9968, 0.0],[0.9053, 0.0],[0.8554, 0.0],[0.8389, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.0],[1.0, 0.0],[0.9114, 0.0],[0.8641, 0.0],[0.8477, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.0],[1.0, 0.0],[0.9135, 0.0],[0.8682, 0.0],[0.8523, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.0],[1.0, 0.0],[0.9166, 0.0],[0.8723, 0.0],[0.8579, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.0],[1.0, 0.0],[0.9253, 0.0],[0.8919, 0.0],[0.8785, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.0441],[1.0, 0.0],[0.9495, 0.0],[0.9166, 0.0],[0.9094, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.0808],[1.0, 0.0],[0.9665, 0.0],[0.9433, 0.0],[0.9397, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.1497],[1.0, 0.0285],[0.9937, 0.0],[0.9845, 0.0],[0.986, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.1789],[1.0, 0.0464],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.2136],[1.0, 0.0664],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0299],[1.0, 0.0571],[1.0, 0.0097],[1.0, 0.0],[1.0, 0.0]
[1.0, 0.268],[1.0, 0.1066],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0152],[1.0, 0.049],[1.0, 0.047],[1.0, 0.0478],[1.0, 0.0747],[1.0, 0.1022],[1.0, 0.1288],[1.0, 0.0904],[1.0, 0.0724],[1.0, 0.0574]
[1.0, 0.3042],[1.0, 0.1555],[1.0, 0.0016],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0331],[1.0, 0.0756],[1.0, 0.0435],[1.0, 0.0351],[1.0, 0.0944],[1.0, 0.1358],[1.0, 0.117],[1.0, 0.1118],[1.0, 0.156],[1.0, 0.1864],[1.0, 0.1942],[1.0, 0.1711],[1.0, 0.1636],[1.0, 0.1514]
[1.0, 0.3311],[1.0, 0.1887],[1.0, 0.0331],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0047],[1.0, 0.0131],[1.0, 0.0719],[1.0, 0.108],[1.0, 0.0768],[1.0, 0.0924],[1.0, 0.1364],[1.0, 0.1685],[1.0, 0.1581],[1.0, 0.1714],[1.0, 0.2026],[1.0, 0.2229],[1.0, 0.2394],[1.0, 0.2327],[1.0, 0.2356],[1.0, 0.233]
[1.0, 0.3698],[1.0, 0.2266],[1.0, 0.0779],[1.0, 0.0],[1.0, 0.0],[1.0, 0.0366],[1.0, 0.0612],[1.0, 0.1219],[1.0, 0.1627],[1.0, 0.1176],[1.0, 0.1349],[1.0, 0.176],[1.0, 0.2136],[1.0, 0.2087],[1.0, 0.2142],[1.0, 0.2434],[1.0, 0.2692],[1.0, 0.3013],[1.0, 0.3001],[1.0, 0.3111],[1.0, 0.3204]
[1.0, 0.3849],[1.0, 0.242],[1.0, 0.0999],[1.0, 0.0],[1.0, 0.0],[1.0, 0.091],[1.0, 0.1384],[1.0, 0.1873],[1.0, 0.2203],[1.0, 0.1719],[1.0, 0.2165],[1.0, 0.2388],[1.0, 0.2651],[1.0, 0.2639],[1.0, 0.288],[1.0, 0.2981],[1.0, 0.3143],[1.0, 0.3542],[1.0, 0.373],[1.0, 0.386],[1.0, 0.4025]
[1.0, 0.4051],[1.0, 0.2752],[1.0, 0.1257],[1.0, 0.0198],[1.0, 0.0],[1.0, 0.1338],[1.0, 0.2084],[1.0, 0.259],[1.0, 0.292],[1.0, 0.2208],[1.0, 0.2929],[1.0, 0.3105],[1.0, 0.3273],[1.0, 0.3123],[1.0, 0.3588],[1.0, 0.3718],[1.0, 0.3828],[1.0, 0.3947],[1.0, 0.4291],[1.0, 0.4471],[1.0, 0.4653]
[1.0, 0.4517],[1.0, 0.323],[1.0, 0.1737],[1.0, 0.0617],[0.9886, 0.0],[1.0, 0.163],[1.0, 0.2344],[1.0, 0.2801],[1.0, 0.3039],[1.0, 0.2495],[1.0, 0.3221],[1.0, 0.3481],[1.0, 0.3637],[1.0, 0.3455],[1.0, 0.4011],[1.0, 0.4236],[1.0, 0.4329],[1.0, 0.4369],[1.0, 0.4748],[1.0, 0.4939],[1.0, 0.5064]
[1.0, 0.5211],[0.9994, 0.375],[0.9623, 0.2125],[0.9392, 0.0953],[0.9109, 0.0],[1.0, 0.1948],[0.9757, 0.2668],[0.9233, 0.3059],[0.9166, 0.3253],[1.0, 0.2856],[0.9963, 0.3467],[0.9469, 0.3675],[0.933, 0.3817],[1.0, 0.3849],[1.0, 0.428],[0.9762, 0.441],[0.9654, 0.4494],[1.0, 0.4769],[1.0, 0.4965],[1.0, 0.5029],[1.0, 0.5113]
[1.0, 0.5553],[0.9351, 0.4103],[0.8842, 0.2495],[0.8507, 0.1306],[0.8163, 0.0343],[1.0, 0.2434],[0.9047, 0.2972],[0.8384, 0.3435],[0.8055, 0.3785],[1.0, 0.3316],[0.9094, 0.3921],[0.8549, 0.4181],[0.8302, 0.4361],[1.0, 0.428],[0.9443, 0.478],[0.8883, 0.4852],[0.8564, 0.4922],[1.0, 0.5185],[1.0, 0.5431],[0.9685, 0.5477],[0.9397, 0.5541]
[0.9886, 0.5781],[0.8955, 0.4387],[0.8214, 0.2906],[0.7561, 0.1772],[0.7021, 0.0823],[0.9253, 0.2894],[0.7201, 0.3455],[0.7062, 0.3849],[0.7417, 0.3869],[0.969, 0.3733],[0.7165, 0.4262],[0.7242, 0.4439],[0.7669, 0.4419],[0.9834, 0.4621],[0.7469, 0.4942],[0.7551, 0.5049],[0.7957, 0.5113],[0.9798, 0.5515],[0.8117, 0.5636],[0.8086, 0.5642],[0.8353, 0.5715]
[0.9382, 0.6198],[0.8219, 0.4757],[0.7109, 0.3183],[0.6265, 0.2023],[0.5478, 0.1135],[0.7803, 0.3218],[0.5771, 0.3883],[0.5879, 0.4453],[0.6389, 0.4546],[0.842, 0.4178],[0.6018, 0.489],[0.6337, 0.5168],[0.6918, 0.5093],[0.8785, 0.5176],[0.6517, 0.5709],[0.6774, 0.592],[0.7376, 0.5882],[0.9001, 0.6108],[0.7124, 0.647],[0.7109, 0.671],[0.751, 0.6837]
[0.8523, 0.6036],[0.7479, 0.4248],[0.6049, 0.2732],[0.4979, 0.1844],[0.4208, 0.1268],[0.6414, 0.3429],[0.4403, 0.4314],[0.4923, 0.463],[0.5638, 0.4416],[0.6929, 0.4485],[0.4614, 0.5376],[0.5267, 0.5321],[0.5967, 0.4974],[0.7314, 0.5495],[0.5113, 0.6209],[0.5643, 0.6067],[0.6327, 0.5735],[0.7597, 0.6403],[0.5746, 0.6892],[0.5962, 0.6854],[0.6502, 0.6762]
[0.77, 0.5963],[0.6563, 0.419],[0.5108, 0.2839],[0.3992, 0.1963],[0.3138, 0.1497],[0.5381, 0.3802],[0.3272, 0.4792],[0.375, 0.4792],[0.4342, 0.4502],[0.5818, 0.4844],[0.3581, 0.5905],[0.4074, 0.5619],[0.4645, 0.5249],[0.6152, 0.5827],[0.4079, 0.6597],[0.447, 0.6363],[0.5005, 0.6065],[0.6455, 0.6649],[0.4877, 0.7329],[0.4439, 0.7494],[0.4213, 0.767]
[0.7134, 0.5868],[0.6121, 0.4335],[0.4553, 0.3079],[0.3257, 0.2258],[0.2202, 0.1829],[0.4625, 0.4025],[0.2351, 0.5009],[0.2835, 0.4913],[0.3452, 0.4633],[0.4923, 0.5067],[0.2634, 0.6033],[0.3107, 0.5813],[0.374, 0.5535],[0.5242, 0.6073],[0.3143, 0.6791],[0.3529, 0.6672],[0.4121, 0.6429],[0.5597, 0.693],[0.4028, 0.774],[0.339, 0.8098],[0.2999, 0.8437]
[0.6589, 0.5871],[0.5699, 0.4233],[0.4007, 0.3117],[0.2537, 0.2564],[0.1415, 0.2148],[0.3678, 0.4274],[0.1642, 0.5191],[0.1991, 0.5055],[0.2588, 0.478],[0.392, 0.5359],[0.1853, 0.6157],[0.2171, 0.5914],[0.2783, 0.566],[0.4301, 0.6313],[0.2254, 0.6904],[0.2573, 0.6736],[0.3154, 0.6496],[0.4779, 0.7066],[0.3375, 0.7904],[0.267, 0.835],[0.2213, 0.8746]
[0.591, 0.5761],[0.4722, 0.4413],[0.301, 0.3441],[0.1667, 0.2781],[0.0608, 0.2362],[0.2758, 0.441],[0.0809, 0.5477],[0.1215, 0.5353],[0.1822, 0.5067],[0.3066, 0.5498],[0.1122, 0.6394],[0.1482, 0.6209],[0.2115, 0.596],[0.3473, 0.6481],[0.1549, 0.7204],[0.1847, 0.7086],[0.2418, 0.6828],[0.392, 0.7282],[0.2609, 0.8344],[0.1842, 0.894],[0.1271, 0.9397]
