"[0.4973, 0.3746]","[0.4749, 0.338]","[0.4607, 0.2898]","[0.4516, 0.2457]","[0.4415, 0.2173]","[0.4924, 0.2604]","[0.5042, 0.226]","[0.5062, 0.2466]","[0.5044, 0.2699]","[0.5088, 0.2691]","[0.5201, 0.2311]","[0.5188, 0.2526]","[0.5151, 0.2746]","[0.5224, 0.2817]","[0.5333, 0.2493]","[0.5314, 0.2641]","[0.5278, 0.2798]","[0.5336, 0.2993]","[0.5492, 0.2729]","[0.5597, 0.2571]","[0.5684, 0.2411]"
"[0.4975, 0.3757]","[0.4762, 0.3385]","[0.4618, 0.2896]","[0.4517, 0.2458]","[0.4411, 0.2173]","[0.4924, 0.2625]","[0.5042, 0.2256]","[0.5056, 0.2474]","[0.5029, 0.2702]","[0.5093, 0.271]","[0.5212, 0.2316]","[0.5193, 0.2546]","[0.5145, 0.2771]","[0.5233, 0.2833]","[0.5344, 0.2488]","[0.5312, 0.2647]","[0.5261, 0.2813]","[0.534, 0.2999]","[0.5497, 0.2725]","[0.5603, 0.257]","[0.5691, 0.241]"
"[0.4974, 0.3767]","[0.4762, 0.3388]","[0.4616, 0.2902]","[0.4515, 0.246]","[0.4414, 0.2165]","[0.4925, 0.2621]","[0.5046, 0.226]","[0.506, 0.2477]","[0.5033, 0.2699]","[0.5094, 0.2712]","[0.5215, 0.2317]","[0.5191, 0.255]","[0.5139, 0.2779]","[0.5231, 0.2838]","[0.5345, 0.2491]","[0.5312, 0.2646]","[0.5262, 0.2812]","[0.5337, 0.3006]","[0.5497, 0.2728]","[0.5604, 0.2574]","[0.5694, 0.2415]"
"[0.4971, 0.3753]","[0.4754, 0.3378]","[0.4607, 0.291]","[0.451, 0.2471]","[0.4409, 0.2179]","[0.4928, 0.2621]","[0.5042, 0.2273]","[0.5056, 0.2491]","[0.5032, 0.2711]","[0.5095, 0.2713]","[0.5213, 0.233]","[0.5191, 0.2563]","[0.5143, 0.2785]","[0.5231, 0.2838]","[0.5346, 0.2508]","[0.531, 0.266]","[0.5259, 0.282]","[0.5336, 0.3005]","[0.5496, 0.2734]","[0.5602, 0.2583]","[0.5691, 0.2426]"
"[0.497, 0.3778]","[0.4753, 0.3401]","[0.4605, 0.2917]","[0.4508, 0.2474]","[0.4402, 0.2191]","[0.4919, 0.2634]","[0.5035, 0.2278]","[0.5047, 0.2515]","[0.5019, 0.2736]","[0.5089, 0.2716]","[0.5206, 0.2332]","[0.5182, 0.2583]","[0.5133, 0.2803]","[0.5226, 0.2839]","[0.5339, 0.2504]","[0.5303, 0.2673]","[0.5251, 0.2839]","[0.5332, 0.3006]","[0.549, 0.2739]","[0.5596, 0.2596]","[0.5685, 0.2443]"
"[0.4965, 0.3784]","[0.4756, 0.3408]","[0.4606, 0.2925]","[0.4505, 0.2479]","[0.4401, 0.2191]","[0.4925, 0.2628]","[0.5041, 0.2283]","[0.5049, 0.2514]","[0.5024, 0.2734]","[0.5094, 0.2714]","[0.5209, 0.2346]","[0.5179, 0.2605]","[0.5133, 0.2829]","[0.5231, 0.2839]","[0.5343, 0.2517]","[0.5302, 0.2691]","[0.5251, 0.286]","[0.5338, 0.3009]","[0.5495, 0.2744]","[0.5599, 0.2596]","[0.5687, 0.2438]"
"[0.4959, 0.3803]","[0.4751, 0.3421]","[0.4605, 0.2929]","[0.4509, 0.2481]","[0.4405, 0.2192]","[0.4926, 0.2641]","[0.5035, 0.2285]","[0.505, 0.2517]","[0.5031, 0.2738]","[0.5094, 0.2724]","[0.5207, 0.2341]","[0.5184, 0.26]","[0.514, 0.283]","[0.5229, 0.2846]","[0.5335, 0.2517]","[0.53, 0.2692]","[0.5253, 0.2864]","[0.5335, 0.3015]","[0.5494, 0.2753]","[0.56, 0.2613]","[0.5691, 0.2465]"
"[0.4961, 0.3796]","[0.475, 0.3422]","[0.4603, 0.2932]","[0.4508, 0.2485]","[0.4405, 0.2195]","[0.4922, 0.2645]","[0.5039, 0.2294]","[0.5047, 0.2529]","[0.5021, 0.2751]","[0.509, 0.2729]","[0.5207, 0.2341]","[0.5179, 0.2602]","[0.5131, 0.283]","[0.5226, 0.2854]","[0.5334, 0.2525]","[0.5291, 0.2708]","[0.5238, 0.288]","[0.5333, 0.3024]","[0.5493, 0.276]","[0.56, 0.2618]","[0.5691, 0.2463]"
"[0.4955, 0.3821]","[0.4742, 0.3434]","[0.4605, 0.2932]","[0.4515, 0.2481]","[0.4411, 0.2192]","[0.4927, 0.2657]","[0.5037, 0.2298]","[0.5046, 0.2527]","[0.5026, 0.2752]","[0.5094, 0.2749]","[0.5211, 0.2349]","[0.5181, 0.2602]","[0.5137, 0.2838]","[0.5232, 0.2879]","[0.5346, 0.2525]","[0.5305, 0.2692]","[0.5255, 0.2863]","[0.534, 0.3052]","[0.5505, 0.2776]","[0.5612, 0.2624]","[0.5703, 0.246]"
"[0.4944, 0.3851]","[0.4732, 0.3442]","[0.461, 0.2943]","[0.4533, 0.2486]","[0.444, 0.2187]","[0.4947, 0.2679]","[0.505, 0.2311]","[0.5034, 0.2546]","[0.5002, 0.2768]","[0.5111, 0.2779]","[0.5214, 0.2367]","[0.5167, 0.262]","[0.5119, 0.2852]","[0.5249, 0.2917]","[0.5357, 0.2533]","[0.5303, 0.2705]","[0.5251, 0.2881]","[0.5356, 0.3096]","[0.5527, 0.2818]","[0.5635, 0.2661]","[0.573, 0.2489]"
"[0.494, 0.3876]","[0.4736, 0.3454]","[0.4624, 0.2949]","[0.4556, 0.2496]","[0.4467, 0.2194]","[0.4964, 0.2709]","[0.507, 0.2327]","[0.5047, 0.2524]","[0.5004, 0.2748]","[0.5125, 0.2816]","[0.5233, 0.2393]","[0.5183, 0.2601]","[0.5128, 0.2832]","[0.5263, 0.2965]","[0.5383, 0.2574]","[0.5337, 0.2716]","[0.5288, 0.2883]","[0.5372, 0.3156]","[0.555, 0.2882]","[0.5662, 0.2712]","[0.5763, 0.2534]"
"[0.4952, 0.3893]","[0.4746, 0.3467]","[0.4636, 0.295]","[0.4576, 0.2487]","[0.4484, 0.2186]","[0.4983, 0.2727]","[0.5097, 0.2343]","[0.5076, 0.2553]","[0.5031, 0.2768]","[0.5149, 0.2839]","[0.5271, 0.2415]","[0.5223, 0.2635]","[0.5167, 0.2862]","[0.5288, 0.2988]","[0.542, 0.2606]","[0.537, 0.2759]","[0.5314, 0.293]","[0.5396, 0.3174]","[0.5579, 0.2903]","[0.5696, 0.2738]","[0.58, 0.2564]"
"[0.4947, 0.3983]","[0.4751, 0.3537]","[0.4656, 0.2978]","[0.4601, 0.2498]","[0.4509, 0.2192]","[0.5002, 0.2711]","[0.5132, 0.2364]","[0.5088, 0.2638]","[0.5039, 0.2855]","[0.5167, 0.284]","[0.529, 0.246]","[0.5218, 0.2761]","[0.5157, 0.2993]","[0.5305, 0.3008]","[0.5439, 0.2643]","[0.5368, 0.2844]","[0.5299, 0.302]","[0.5409, 0.3216]","[0.5596, 0.2955]","[0.5715, 0.2804]","[0.5821, 0.2624]"
"[0.4952, 0.4017]","[0.4749, 0.3547]","[0.4655, 0.2996]","[0.4611, 0.252]","[0.4529, 0.2207]","[0.501, 0.2773]","[0.5148, 0.2385]","[0.5104, 0.2608]","[0.5044, 0.2798]","[0.5183, 0.2904]","[0.53, 0.251]","[0.5241, 0.2729]","[0.5187, 0.2923]","[0.5324, 0.3076]","[0.5445, 0.2683]","[0.5387, 0.2859]","[0.5328, 0.304]","[0.543, 0.3281]","[0.5625, 0.2994]","[0.5748, 0.2838]","[0.5854, 0.2667]"
"[0.4953, 0.4011]","[0.4759, 0.3542]","[0.4673, 0.2978]","[0.4634, 0.2504]","[0.4553, 0.2199]","[0.5045, 0.2754]","[0.5169, 0.2431]","[0.5104, 0.2677]","[0.5043, 0.289]","[0.521, 0.2896]","[0.5323, 0.2553]","[0.5226, 0.2831]","[0.5154, 0.3067]","[0.5344, 0.3074]","[0.5466, 0.2742]","[0.5376, 0.2942]","[0.5303, 0.3129]","[0.5444, 0.3294]","[0.5629, 0.3056]","[0.5745, 0.292]","[0.5855, 0.2758]"
"[0.4948, 0.4079]","[0.4749, 0.3587]","[0.4677, 0.3005]","[0.4653, 0.2516]","[0.457, 0.2204]","[0.5027, 0.285]","[0.5179, 0.2472]","[0.5109, 0.2682]","[0.5036, 0.2881]","[0.5194, 0.2994]","[0.5336, 0.2611]","[0.5239, 0.2839]","[0.5158, 0.3053]","[0.5331, 0.3172]","[0.5474, 0.2807]","[0.5379, 0.2984]","[0.5298, 0.3166]","[0.5433, 0.3384]","[0.5629, 0.3134]","[0.5752, 0.2991]","[0.5868, 0.2833]"
"[0.4934, 0.4155]","[0.474, 0.3628]","[0.4676, 0.3032]","[0.4661, 0.2523]","[0.4578, 0.2201]","[0.4999, 0.2936]","[0.5177, 0.2503]","[0.5113, 0.2694]","[0.5037, 0.2881]","[0.518, 0.3077]","[0.5327, 0.2657]","[0.5251, 0.2833]","[0.5189, 0.301]","[0.5327, 0.325]","[0.5467, 0.2834]","[0.5391, 0.2987]","[0.5316, 0.3164]","[0.5437, 0.3444]","[0.5639, 0.318]","[0.5766, 0.3044]","[0.5875, 0.2898]"
"[0.4918, 0.4162]","[0.473, 0.363]","[0.4675, 0.3027]","[0.4664, 0.2534]","[0.4587, 0.2213]","[0.5006, 0.2948]","[0.5163, 0.2578]","[0.51, 0.2715]","[0.503, 0.2874]","[0.5175, 0.3094]","[0.5318, 0.2719]","[0.5237, 0.2854]","[0.5168, 0.3019]","[0.5315, 0.3276]","[0.5449, 0.291]","[0.5366, 0.304]","[0.5291, 0.3202]","[0.542, 0.3494]","[0.5624, 0.3255]","[0.5749, 0.3127]","[0.5858, 0.2995]"
"[0.492, 0.417]","[0.4721, 0.3644]","[0.4666, 0.3055]","[0.4661, 0.2559]","[0.4587, 0.2235]","[0.5018, 0.295]","[0.5145, 0.2645]","[0.5075, 0.2794]","[0.5006, 0.2946]","[0.519, 0.3104]","[0.5295, 0.2812]","[0.521, 0.2937]","[0.5145, 0.3077]","[0.5325, 0.3304]","[0.5419, 0.302]","[0.5331, 0.3134]","[0.5254, 0.3273]","[0.5422, 0.3538]","[0.5609, 0.3321]","[0.5729, 0.3207]","[0.5831, 0.3088]"
"[0.4902, 0.4184]","[0.4713, 0.3657]","[0.4663, 0.3052]","[0.4659, 0.2572]","[0.4587, 0.224]","[0.5037, 0.2897]","[0.5112, 0.2747]","[0.5044, 0.2936]","[0.4974, 0.3092]","[0.5201, 0.3055]","[0.5243, 0.2965]","[0.5156, 0.3123]","[0.509, 0.3256]","[0.5327, 0.3288]","[0.5367, 0.318]","[0.5279, 0.3311]","[0.5206, 0.3436]","[0.5418, 0.3562]","[0.5585, 0.3403]","[0.5691, 0.3321]","[0.5784, 0.323]"
"[0.4888, 0.4212]","[0.4697, 0.3719]","[0.466, 0.3091]","[0.4664, 0.2615]","[0.4597, 0.2259]","[0.5049, 0.2899]","[0.5054, 0.286]","[0.4949, 0.3131]","[0.488, 0.3318]","[0.521, 0.3089]","[0.517, 0.3123]","[0.5029, 0.334]","[0.4955, 0.3482]","[0.532, 0.3346]","[0.5311, 0.3339]","[0.5167, 0.3501]","[0.5073, 0.3614]","[0.5385, 0.3632]","[0.5525, 0.3531]","[0.562, 0.348]","[0.572, 0.3399]"
"[0.4876, 0.4333]","[0.4684, 0.3776]","[0.4637, 0.314]","[0.4635, 0.2641]","[0.4565, 0.2293]","[0.5042, 0.2945]","[0.5, 0.2921]","[0.4915, 0.3158]","[0.4862, 0.3314]","[0.5208, 0.3136]","[0.5122, 0.3196]","[0.5022, 0.3368]","[0.4957, 0.3508]","[0.5311, 0.34]","[0.524, 0.3429]","[0.5138, 0.3566]","[0.5064, 0.3688]","[0.5362, 0.369]","[0.5461, 0.3651]","[0.5554, 0.3633]","[0.564, 0.36]"
