"[0.5716, 1.0099]","[0.758, 0.9104]","[0.8343, 0.77]","[0.8405, 0.6292]","[0.8784, 0.5353]","[0.6671, 0.5694]","[0.6315, 0.3839]","[0.6008, 0.2774]","[0.5717, 0.2056]","[0.5364, 0.5752]","[0.461, 0.3742]","[0.4089, 0.2638]","[0.3694, 0.1861]","[0.4242, 0.6155]","[0.3469, 0.4288]","[0.3045, 0.3231]","[0.2726, 0.2436]","[0.3347, 0.6842]","[0.2566, 0.541]","[0.2105, 0.4593]","[0.1758, 0.3917]"
"[0.5721, 1.0272]","[0.7575, 0.9225]","[0.8391, 0.7736]","[0.8476, 0.6321]","[0.8874, 0.5401]","[0.6633, 0.5736]","[0.6329, 0.388]","[0.5989, 0.2873]","[0.5657, 0.2155]","[0.5343, 0.577]","[0.4631, 0.3789]","[0.4107, 0.2677]","[0.3674, 0.1921]","[0.4251, 0.617]","[0.3464, 0.4351]","[0.3029, 0.3321]","[0.2656, 0.2569]","[0.3352, 0.685]","[0.2599, 0.5439]","[0.2139, 0.4613]","[0.177, 0.3933]"
"[0.5723, 1.0304]","[0.7572, 0.9258]","[0.8348, 0.7777]","[0.8483, 0.6311]","[0.8912, 0.5384]","[0.6634, 0.5742]","[0.6346, 0.3859]","[0.6017, 0.2859]","[0.5701, 0.214]","[0.5344, 0.5757]","[0.4624, 0.378]","[0.4097, 0.2692]","[0.3671, 0.1929]","[0.4248, 0.6157]","[0.3459, 0.4354]","[0.3027, 0.3343]","[0.2654, 0.2597]","[0.3373, 0.6821]","[0.2577, 0.5425]","[0.2105, 0.4621]","[0.1728, 0.3954]"
"[0.5702, 1.0317]","[0.7564, 0.9287]","[0.8357, 0.7808]","[0.8482, 0.6323]","[0.8899, 0.5388]","[0.663, 0.5737]","[0.6351, 0.385]","[0.6023, 0.2858]","[0.5703, 0.2155]","[0.5345, 0.5745]","[0.4639, 0.3761]","[0.4115, 0.2675]","[0.3684, 0.1917]","[0.4253, 0.6143]","[0.3472, 0.4338]","[0.3036, 0.3316]","[0.2655, 0.2563]","[0.3379, 0.681]","[0.2572, 0.5424]","[0.209, 0.462]","[0.1701, 0.3951]"
"[0.572, 1.0323]","[0.7562, 0.9289]","[0.8351, 0.781]","[0.8476, 0.6322]","[0.8877, 0.5379]","[0.6628, 0.5724]","[0.6357, 0.383]","[0.6023, 0.2844]","[0.5697, 0.2159]","[0.5333, 0.5739]","[0.463, 0.3741]","[0.4119, 0.2661]","[0.3708, 0.1913]","[0.424, 0.6146]","[0.3457, 0.4325]","[0.3028, 0.3304]","[0.2659, 0.2555]","[0.3377, 0.6823]","[0.2575, 0.5434]","[0.2098, 0.4633]","[0.1717, 0.3965]"
"[0.5736, 1.0429]","[0.7533, 0.9388]","[0.8341, 0.7856]","[0.8492, 0.6363]","[0.8864, 0.5412]","[0.6633, 0.5751]","[0.6344, 0.3864]","[0.6003, 0.2878]","[0.5663, 0.2192]","[0.5352, 0.5762]","[0.463, 0.3765]","[0.4099, 0.2667]","[0.3666, 0.1923]","[0.427, 0.6166]","[0.3479, 0.4341]","[0.303, 0.3318]","[0.2635, 0.258]","[0.3394, 0.6853]","[0.259, 0.5466]","[0.2099, 0.4669]","[0.1709, 0.4013]"
"[0.5709, 1.0359]","[0.7523, 0.9278]","[0.8301, 0.7755]","[0.8394, 0.6261]","[0.8721, 0.5308]","[0.6596, 0.5698]","[0.6316, 0.3846]","[0.5982, 0.2879]","[0.5642, 0.22]","[0.5313, 0.571]","[0.4592, 0.3749]","[0.4065, 0.2676]","[0.3636, 0.1934]","[0.4244, 0.6116]","[0.3453, 0.4328]","[0.3009, 0.3323]","[0.262, 0.2588]","[0.3381, 0.68]","[0.2554, 0.5451]","[0.2061, 0.4669]","[0.1671, 0.4027]"
"[0.5718, 1.0324]","[0.7466, 0.9257]","[0.8181, 0.7757]","[0.8148, 0.6305]","[0.8315, 0.5341]","[0.655, 0.5687]","[0.6239, 0.3844]","[0.5886, 0.2898]","[0.5513, 0.2231]","[0.528, 0.5714]","[0.4559, 0.3753]","[0.4023, 0.2681]","[0.3578, 0.1927]","[0.4215, 0.6129]","[0.3406, 0.4358]","[0.2942, 0.3356]","[0.2534, 0.262]","[0.335, 0.6824]","[0.252, 0.5472]","[0.2014, 0.4694]","[0.1617, 0.4063]"
"[0.5612, 1.022]","[0.7328, 0.9095]","[0.7977, 0.7654]","[0.7828, 0.6299]","[0.7725, 0.5334]","[0.6457, 0.5621]","[0.6036, 0.3881]","[0.5612, 0.3025]","[0.5194, 0.2442]","[0.5221, 0.5669]","[0.442, 0.3796]","[0.3855, 0.2784]","[0.3405, 0.2052]","[0.4157, 0.609]","[0.3312, 0.4397]","[0.2823, 0.3447]","[0.2406, 0.2718]","[0.3279, 0.6791]","[0.2457, 0.5517]","[0.1985, 0.478]","[0.1623, 0.4181]"
"[0.562, 1.0302]","[0.7135, 0.9047]","[0.7649, 0.7509]","[0.7259, 0.6261]","[0.6539, 0.5621]","[0.6477, 0.5584]","[0.5806, 0.4038]","[0.5235, 0.3327]","[0.4691, 0.2889]","[0.5275, 0.5656]","[0.4295, 0.3923]","[0.3636, 0.3016]","[0.3101, 0.2406]","[0.419, 0.6109]","[0.3244, 0.4502]","[0.2695, 0.3649]","[0.2231, 0.304]","[0.3258, 0.6839]","[0.2422, 0.559]","[0.1935, 0.4943]","[0.1551, 0.4426]"
"[0.5689, 1.0277]","[0.692, 0.8859]","[0.7119, 0.7379]","[0.6555, 0.6308]","[0.5801, 0.5823]","[0.6382, 0.5582]","[0.5532, 0.4164]","[0.4912, 0.3619]","[0.4361, 0.3295]","[0.5246, 0.566]","[0.4162, 0.4136]","[0.3455, 0.3412]","[0.2879, 0.2874]","[0.4203, 0.6114]","[0.3198, 0.4739]","[0.2597, 0.4047]","[0.2064, 0.3479]","[0.326, 0.6842]","[0.2484, 0.5775]","[0.2017, 0.5273]","[0.16, 0.4878]"
