[0.6594, 0.6904],[0.8513, 0.5605],[0.9366, 0.3985],[0.9495, 0.2399],[0.9932, 0.1346],[0.7561, 0.1806],[0.7227, 0.0],[0.6923, 0.0],[0.661, 0.0],[0.6203, 0.1858],[0.5478, 0.0],[0.4959, 0.0],[0.4527, 0.0],[0.5031, 0.2313],[0.4208, 0.0311],[0.3771, 0.0],[0.3437, 0.0],[0.4079, 0.3036],[0.3257, 0.1462],[0.2778, 0.0562],[0.2387, 0.0]
[0.6584, 0.6898],[0.8466, 0.5636],[0.9341, 0.4005],[0.9546, 0.2382],[0.9983, 0.1332],[0.7535, 0.1772],[0.7247, 0.0],[0.6898, 0.0],[0.6538, 0.0],[0.6173, 0.1815],[0.5417, 0.0],[0.4846, 0.0],[0.4378, 0.0],[0.5021, 0.2278],[0.4187, 0.0325],[0.3735, 0.0],[0.3339, 0.0],[0.41, 0.2995],[0.3246, 0.1488],[0.2763, 0.062],[0.2393, 0.0]
[0.661, 0.6904],[0.8471, 0.5671],[0.9346, 0.4031],[0.9562, 0.2399],[0.9963, 0.1355],[0.7535, 0.1757],[0.7247, 0.0],[0.6898, 0.0],[0.6548, 0.0],[0.6178, 0.1792],[0.5406, 0.0],[0.4841, 0.0],[0.4378, 0.0],[0.5026, 0.2258],[0.4187, 0.0319],[0.373, 0.0],[0.3339, 0.0],[0.4115, 0.2984],[0.3241, 0.1479],[0.2747, 0.062],[0.2372, 0.0]
[0.6625, 0.6944],[0.8471, 0.5703],[0.9346, 0.4051],[0.9557, 0.2408],[0.9968, 0.1346],[0.7541, 0.178],[0.7263, 0.0],[0.6913, 0.0],[0.6553, 0.0],[0.6178, 0.1809],[0.5422, 0.0],[0.4851, 0.0],[0.4388, 0.0],[0.5026, 0.2272],[0.4182, 0.0328],[0.3719, 0.0],[0.3323, 0.0],[0.4121, 0.3004],[0.3246, 0.1494],[0.2742, 0.0632],[0.2357, 0.0]
[0.662, 0.695],[0.8451, 0.5703],[0.9346, 0.406],[0.9562, 0.2402],[0.9983, 0.1323],[0.752, 0.1809],[0.7283, 0.0],[0.6934, 0.0],[0.6574, 0.0],[0.6167, 0.1832],[0.5422, 0.0],[0.4851, 0.0],[0.4388, 0.0],[0.5015, 0.2292],[0.4187, 0.0345],[0.3725, 0.0],[0.3329, 0.0],[0.4121, 0.301],[0.3251, 0.1514],[0.2758, 0.0658],[0.2377, 0.0]
[0.662, 0.6944],[0.8466, 0.5665],[0.9341, 0.4022],[0.9536, 0.2394],[0.9947, 0.1355],[0.7541, 0.1832],[0.7283, 0.0],[0.6929, 0.0],[0.6558, 0.0],[0.6193, 0.185],[0.5427, 0.0],[0.4846, 0.0],[0.4367, 0.0],[0.5041, 0.2298],[0.4187, 0.0348],[0.3725, 0.0],[0.3329, 0.0],[0.4131, 0.3024],[0.3231, 0.1523],[0.2732, 0.0669],[0.2351, 0.0]
[0.661, 0.6854],[0.8466, 0.5579],[0.931, 0.3959],[0.9459, 0.2356],[0.9809, 0.1332],[0.752, 0.1786],[0.7253, 0.0],[0.6903, 0.0],[0.6543, 0.0],[0.6173, 0.1815],[0.5406, 0.0],[0.483, 0.0],[0.4362, 0.0],[0.5021, 0.2269],[0.4167, 0.0316],[0.3709, 0.0],[0.3323, 0.0],[0.411, 0.3007],[0.32, 0.15],[0.2706, 0.0655],[0.2331, 0.0]
[0.6599, 0.6857],[0.842, 0.5535],[0.9176, 0.397],[0.9207, 0.2402],[0.9387, 0.1341],[0.7479, 0.1766],[0.716, 0.0],[0.6785, 0.0],[0.6404, 0.0],[0.6131, 0.18],[0.535, 0.0],[0.4763, 0.0],[0.4306, 0.0],[0.4969, 0.2266],[0.4121, 0.034],[0.3637, 0.0],[0.3236, 0.0],[0.4054, 0.3027],[0.3154, 0.1537],[0.2639, 0.0695],[0.2259, 0.0]
[0.663, 0.6788],[0.8322, 0.5364],[0.8981, 0.3782],[0.8862, 0.2327],[0.8723, 0.1268],[0.7433, 0.1731],[0.6944, 0.0],[0.6471, 0.0],[0.6018, 0.0],[0.6126, 0.18],[0.5216, 0.0],[0.4578, 0.0],[0.41, 0.0],[0.4985, 0.226],[0.4038, 0.0366],[0.3498, 0.0],[0.3061, 0.0],[0.4038, 0.3007],[0.3128, 0.1584],[0.2603, 0.0788],[0.2218, 0.014]
[0.6671, 0.6675],[0.8153, 0.524],[0.8708, 0.364],[0.8266, 0.2339],[0.7453, 0.1717],[0.7412, 0.1641],[0.6692, 0.0],[0.6085, 0.0],[0.5525, 0.0],[0.6167, 0.1714],[0.5108, 0.0],[0.4393, 0.0],[0.3843, 0.0],[0.5051, 0.2208],[0.3987, 0.0464],[0.3375, 0.0],[0.2886, 0.0],[0.4069, 0.2989],[0.3113, 0.1644],[0.2583, 0.095],[0.2161, 0.0383]
[0.6661, 0.6718],[0.7911, 0.5226],[0.8142, 0.3739],[0.7638, 0.2637],[0.6913, 0.211],[0.7325, 0.1705],[0.644, 0.0126],[0.5771, 0.0],[0.5175, 0.0],[0.6137, 0.176],[0.4954, 0.0085],[0.4187, 0.0],[0.3586, 0.0],[0.5041, 0.2229],[0.3951, 0.0745],[0.3287, 0.0],[0.2701, 0.0],[0.4038, 0.2989],[0.3179, 0.1832],[0.2665, 0.1262],[0.2207, 0.0814]
