[0.2063, 0.4538],[0.0, 0.2937],[0.0, 0.0934],[0.0, 0.0],[0.0, 0.0],[0.1149, 0.0],[0.1563, 0.0],[0.203, 0.0],[0.2463, 0.0],[0.2766, 0.0],[0.3673, 0.0],[0.4317, 0.0],[0.4901, 0.0],[0.4106, 0.0],[0.5039, 0.0],[0.567, 0.0],[0.615, 0.0],[0.5223, 0.0],[0.6209, 0.0],[0.6741, 0.0],[0.7182, 0.0]
[0.2049, 0.4512],[0.0, 0.2967],[0.0, 0.0997],[0.0, 0.0],[0.0, 0.0],[0.109, 0.0],[0.1557, 0.0],[0.2036, 0.0],[0.2509, 0.0],[0.2753, 0.0],[0.3705, 0.0],[0.4336, 0.0],[0.4875, 0.0],[0.4126, 0.0],[0.5053, 0.0],[0.5664, 0.0],[0.6117, 0.0],[0.5237, 0.0],[0.6176, 0.0],[0.6768, 0.0],[0.7261, 0.0]
[0.2056, 0.4468],[0.0, 0.293],[0.0, 0.0982],[0.0, 0.0],[0.0, 0.0],[0.1083, 0.0],[0.155, 0.0],[0.2036, 0.0],[0.2509, 0.0],[0.2772, 0.0],[0.3725, 0.0],[0.4369, 0.0],[0.4915, 0.0],[0.4152, 0.0],[0.5039, 0.0],[0.5657, 0.0],[0.6124, 0.0],[0.5237, 0.0],[0.6137, 0.0],[0.6728, 0.0],[0.7241, 0.0]
[0.2076, 0.4434],[0.0, 0.2893],[0.0, 0.0941],[0.0, 0.0],[0.0, 0.0],[0.1097, 0.0],[0.1543, 0.0],[0.203, 0.0],[0.2496, 0.0],[0.2785, 0.0],[0.3745, 0.0],[0.4376, 0.0],[0.4895, 0.0],[0.4172, 0.0],[0.5079, 0.0],[0.567, 0.0],[0.6104, 0.0],[0.5263, 0.0],[0.617, 0.0],[0.6741, 0.0],[0.7234, 0.0]
[0.2043, 0.4416],[0.0, 0.2878],[0.0, 0.0956],[0.0, 0.0],[0.0, 0.0],[0.1083, 0.0],[0.155, 0.0],[0.2043, 0.0],[0.2509, 0.0],[0.2759, 0.0],[0.3732, 0.0],[0.4382, 0.0],[0.4921, 0.0],[0.4133, 0.0],[0.5053, 0.0],[0.5664, 0.0],[0.6117, 0.0],[0.521, 0.0],[0.6124, 0.0],[0.6728, 0.0],[0.7241, 0.0]
[0.2023, 0.4409],[0.0, 0.2897],[0.0, 0.0989],[0.0, 0.0],[0.0, 0.0],[0.1051, 0.0],[0.1543, 0.0],[0.2043, 0.0],[0.2516, 0.0],[0.2739, 0.0],[0.3732, 0.0],[0.4382, 0.0],[0.4921, 0.0],[0.4133, 0.0],[0.5053, 0.0],[0.5664, 0.0],[0.6104, 0.0],[0.5223, 0.0],[0.6157, 0.0],[0.6748, 0.0],[0.7247, 0.0]
[0.1964, 0.4471],[0.0, 0.2882],[0.0, 0.0938],[0.0, 0.0],[0.0, 0.0],[0.1057, 0.0],[0.153, 0.0],[0.2036, 0.0],[0.2523, 0.0],[0.2733, 0.0],[0.3725, 0.0],[0.4382, 0.0],[0.4934, 0.0],[0.4106, 0.0],[0.5072, 0.0],[0.5677, 0.0],[0.6117, 0.0],[0.5197, 0.0],[0.6157, 0.0],[0.6761, 0.0],[0.7267, 0.0]
[0.1925, 0.4427],[0.0, 0.2815],[0.0, 0.0886],[0.0, 0.0],[0.0, 0.0],[0.1064, 0.0],[0.1596, 0.0],[0.2115, 0.0],[0.2601, 0.0],[0.2713, 0.0],[0.3771, 0.0],[0.4448, 0.0],[0.5013, 0.0],[0.4067, 0.0],[0.5105, 0.0],[0.5736, 0.0],[0.6196, 0.0],[0.5125, 0.0],[0.6157, 0.0],[0.6787, 0.0],[0.73, 0.0]
[0.1918, 0.4276],[0.0117, 0.266],[0.0, 0.0827],[0.0, 0.0],[0.0, 0.0],[0.1136, 0.0],[0.1944, 0.0],[0.2549, 0.0],[0.3081, 0.0],[0.2772, 0.0],[0.4041, 0.0],[0.4803, 0.0],[0.5421, 0.0],[0.4159, 0.0],[0.5309, 0.0],[0.6025, 0.0],[0.6518, 0.0],[0.521, 0.0],[0.6262, 0.0],[0.6912, 0.0],[0.7425, 0.0]
[0.1879, 0.4287],[0.0255, 0.2361],[0.0, 0.0394],[0.0315, 0.0],[0.1097, 0.0],[0.1195, 0.0],[0.224, 0.0],[0.2963, 0.0],[0.3541, 0.0],[0.2779, 0.0],[0.4185, 0.0],[0.502, 0.0],[0.5664, 0.0],[0.4152, 0.0],[0.546, 0.0],[0.6242, 0.0],[0.6761, 0.0],[0.5184, 0.0],[0.6295, 0.0],[0.6925, 0.0],[0.7412, 0.0]
[0.1833, 0.4235],[0.0321, 0.2143],[0.0157, 0.0339],[0.0959, 0.0],[0.1819, 0.0],[0.107, 0.0],[0.2404, 0.0],[0.3252, 0.0],[0.3889, 0.0],[0.2687, 0.0],[0.4317, 0.0],[0.5191, 0.0],[0.5815, 0.0],[0.4113, 0.0],[0.5559, 0.0],[0.6354, 0.0],[0.6866, 0.0],[0.5223, 0.0],[0.6347, 0.0],[0.6991, 0.0],[0.7445, 0.0]
