"[0.4296, 0.8972]","[0.5843, 0.9001]","[0.6856, 0.7529]","[0.655, 0.6007]","[0.537, 0.5324]","[0.6202, 0.5341]","[0.6305, 0.3263]","[0.6272, 0.1904]","[0.6261, 0.0756]","[0.5091, 0.5198]","[0.5194, 0.2766]","[0.5223, 0.1177]","[0.5313, -0.0117]","[0.4038, 0.5511]","[0.4067, 0.4084]","[0.4243, 0.5316]","[0.437, 0.6386]","[0.2979, 0.6162]","[0.3211, 0.5114]","[0.3579, 0.603]","[0.3737, 0.6935]"
"[0.4302, 0.971]","[0.6069, 0.9005]","[0.6998, 0.7276]","[0.6482, 0.5774]","[0.5224, 0.5285]","[0.6171, 0.5341]","[0.6335, 0.3247]","[0.6271, 0.1894]","[0.6198, 0.0738]","[0.5099, 0.5232]","[0.5196, 0.2736]","[0.5295, 0.1015]","[0.5363, -0.0391]","[0.4028, 0.5596]","[0.3982, 0.394]","[0.429, 0.5267]","[0.4432, 0.6457]","[0.2913, 0.6292]","[0.3143, 0.5106]","[0.3587, 0.6009]","[0.3766, 0.6957]"
"[0.4274, 0.9982]","[0.6063, 0.8981]","[0.6956, 0.7286]","[0.6459, 0.5785]","[0.5224, 0.5165]","[0.6183, 0.5311]","[0.6351, 0.3206]","[0.6249, 0.1885]","[0.616, 0.0742]","[0.507, 0.5209]","[0.5158, 0.2692]","[0.5248, 0.0994]","[0.5345, -0.0355]","[0.398, 0.5591]","[0.3976, 0.4027]","[0.4329, 0.535]","[0.4523, 0.6551]","[0.2902, 0.6293]","[0.3154, 0.5119]","[0.3589, 0.5964]","[0.3782, 0.6872]"
"[0.4254, 1.0131]","[0.6019, 0.9085]","[0.6935, 0.7331]","[0.6446, 0.5814]","[0.5221, 0.5241]","[0.6176, 0.5293]","[0.6338, 0.3201]","[0.6221, 0.1887]","[0.6101, 0.076]","[0.5072, 0.5204]","[0.5178, 0.2794]","[0.5281, 0.1209]","[0.5366, -0.0025]","[0.3991, 0.5589]","[0.3973, 0.4089]","[0.432, 0.5384]","[0.4501, 0.6552]","[0.2931, 0.6276]","[0.3138, 0.5161]","[0.3564, 0.5991]","[0.376, 0.6864]"
"[0.4251, 1.0092]","[0.6038, 0.8998]","[0.6938, 0.7244]","[0.6423, 0.5769]","[0.5214, 0.5229]","[0.6173, 0.5211]","[0.6332, 0.3161]","[0.6219, 0.186]","[0.6104, 0.0749]","[0.5078, 0.5149]","[0.5174, 0.2755]","[0.5278, 0.115]","[0.5359, -0.0105]","[0.3993, 0.5546]","[0.4002, 0.4115]","[0.4376, 0.5415]","[0.4555, 0.657]","[0.2916, 0.6242]","[0.3105, 0.5148]","[0.3569, 0.5984]","[0.3774, 0.6853]"
"[0.4261, 1.0076]","[0.6045, 0.8972]","[0.6929, 0.7254]","[0.6389, 0.5779]","[0.5194, 0.5218]","[0.6171, 0.5232]","[0.6339, 0.3171]","[0.623, 0.1866]","[0.612, 0.0754]","[0.5071, 0.5168]","[0.5163, 0.2754]","[0.5267, 0.1153]","[0.5352, -0.0088]","[0.3986, 0.5566]","[0.398, 0.4119]","[0.4361, 0.5393]","[0.4549, 0.6543]","[0.2912, 0.6264]","[0.3101, 0.5145]","[0.357, 0.5961]","[0.378, 0.6825]"
"[0.4235, 1.0114]","[0.6021, 0.9029]","[0.6918, 0.7283]","[0.6386, 0.5781]","[0.5153, 0.5223]","[0.6138, 0.5256]","[0.6311, 0.3166]","[0.6208, 0.185]","[0.6105, 0.0722]","[0.5039, 0.5188]","[0.5131, 0.2753]","[0.5218, 0.1126]","[0.5287, -0.0148]","[0.3954, 0.5584]","[0.3971, 0.4095]","[0.4349, 0.5386]","[0.4528, 0.655]","[0.2874, 0.628]","[0.308, 0.5158]","[0.3552, 0.5977]","[0.3759, 0.6851]"
"[0.4206, 1.0176]","[0.5976, 0.9092]","[0.6896, 0.7307]","[0.6358, 0.5783]","[0.5126, 0.5184]","[0.6134, 0.5275]","[0.6312, 0.3176]","[0.6201, 0.1868]","[0.6088, 0.0745]","[0.5032, 0.5199]","[0.5144, 0.2724]","[0.5244, 0.1059]","[0.5325, -0.0235]","[0.3947, 0.559]","[0.395, 0.4125]","[0.4312, 0.5379]","[0.449, 0.6535]","[0.2866, 0.6275]","[0.3047, 0.5155]","[0.3502, 0.5956]","[0.3711, 0.6824]"
"[0.4214, 1.0171]","[0.6067, 0.9019]","[0.6951, 0.7266]","[0.6374, 0.576]","[0.5132, 0.5158]","[0.6165, 0.5216]","[0.633, 0.3163]","[0.6212, 0.1862]","[0.6089, 0.0737]","[0.5062, 0.5146]","[0.5188, 0.2758]","[0.5306, 0.1133]","[0.5401, -0.0125]","[0.3964, 0.5538]","[0.3992, 0.4134]","[0.435, 0.5429]","[0.4525, 0.6576]","[0.2863, 0.6214]","[0.308, 0.5124]","[0.3552, 0.5977]","[0.3776, 0.6859]"
"[0.4229, 1.0167]","[0.6067, 0.9024]","[0.696, 0.7254]","[0.636, 0.5745]","[0.5108, 0.5173]","[0.6181, 0.5205]","[0.6319, 0.3151]","[0.6205, 0.185]","[0.6094, 0.0732]","[0.5068, 0.5138]","[0.5156, 0.2743]","[0.5272, 0.1151]","[0.5366, -0.008]","[0.3961, 0.5535]","[0.398, 0.4079]","[0.4341, 0.5379]","[0.4509, 0.6551]","[0.2858, 0.6221]","[0.3067, 0.5134]","[0.3542, 0.5971]","[0.3758, 0.6852]"
"[0.4253, 1.0171]","[0.6009, 0.9092]","[0.6933, 0.7298]","[0.6345, 0.5783]","[0.5097, 0.5208]","[0.6166, 0.5185]","[0.6293, 0.3134]","[0.6171, 0.1842]","[0.605, 0.0733]","[0.505, 0.5122]","[0.5145, 0.2726]","[0.5256, 0.1139]","[0.5343, -0.0102]","[0.395, 0.5523]","[0.3966, 0.4095]","[0.433, 0.54]","[0.4496, 0.6565]","[0.2864, 0.6216]","[0.3064, 0.513]","[0.3522, 0.597]","[0.3721, 0.6846]"
"[0.4251, 1.0152]","[0.5996, 0.9067]","[0.6916, 0.7292]","[0.6347, 0.5786]","[0.511, 0.52]","[0.6154, 0.5167]","[0.6283, 0.3121]","[0.6159, 0.1839]","[0.6038, 0.0733]","[0.5034, 0.5102]","[0.5124, 0.2723]","[0.5229, 0.1137]","[0.5311, -0.01]","[0.393, 0.5509]","[0.3947, 0.4097]","[0.4311, 0.5403]","[0.4478, 0.6564]","[0.2846, 0.6207]","[0.3039, 0.5141]","[0.3491, 0.5981]","[0.3686, 0.6852]"
"[0.4204, 1.0114]","[0.5909, 0.9098]","[0.6882, 0.7277]","[0.6337, 0.5766]","[0.5099, 0.515]","[0.6138, 0.5166]","[0.6275, 0.3124]","[0.6144, 0.1846]","[0.6021, 0.0748]","[0.5016, 0.5104]","[0.5151, 0.2767]","[0.5266, 0.1211]","[0.5362, 0.0004]","[0.3918, 0.55]","[0.3943, 0.4098]","[0.4268, 0.5437]","[0.442, 0.6602]","[0.2852, 0.6181]","[0.3033, 0.5116]","[0.3464, 0.5995]","[0.3657, 0.6879]"
"[0.4181, 1.0084]","[0.59, 0.9086]","[0.6868, 0.7275]","[0.6309, 0.5786]","[0.5088, 0.5177]","[0.6125, 0.5149]","[0.626, 0.3133]","[0.613, 0.1862]","[0.6008, 0.0768]","[0.5, 0.5076]","[0.5101, 0.265]","[0.5208, 0.1017]","[0.53, -0.027]","[0.3903, 0.5481]","[0.391, 0.4123]","[0.4252, 0.5495]","[0.4403, 0.6658]","[0.2842, 0.6198]","[0.3023, 0.5114]","[0.3466, 0.6005]","[0.3647, 0.6875]"
"[0.4192, 1.0152]","[0.5875, 0.9161]","[0.684, 0.7342]","[0.636, 0.5815]","[0.5147, 0.5171]","[0.6143, 0.5192]","[0.6291, 0.3136]","[0.615, 0.1861]","[0.602, 0.0751]","[0.5008, 0.5107]","[0.5109, 0.2666]","[0.5203, 0.1059]","[0.5291, -0.022]","[0.3906, 0.5505]","[0.3914, 0.4077]","[0.425, 0.5454]","[0.4408, 0.6638]","[0.2855, 0.6217]","[0.3027, 0.513]","[0.3475, 0.6018]","[0.368, 0.6899]"
"[0.4214, 1.0183]","[0.5927, 0.9112]","[0.6865, 0.7295]","[0.6332, 0.5801]","[0.5151, 0.5141]","[0.6147, 0.5169]","[0.6286, 0.3123]","[0.6152, 0.1843]","[0.6024, 0.074]","[0.503, 0.511]","[0.5131, 0.2761]","[0.5225, 0.1198]","[0.5304, -0.003]","[0.3935, 0.5508]","[0.3959, 0.4082]","[0.429, 0.5414]","[0.4442, 0.6575]","[0.2883, 0.6189]","[0.3068, 0.5123]","[0.3501, 0.5984]","[0.3695, 0.6849]"
"[0.4222, 1.0138]","[0.5921, 0.9099]","[0.6856, 0.729]","[0.6336, 0.5801]","[0.5144, 0.5182]","[0.6133, 0.5164]","[0.6271, 0.3121]","[0.6151, 0.184]","[0.6036, 0.0753]","[0.5017, 0.5118]","[0.5109, 0.2781]","[0.5223, 0.1231]","[0.5322, 0.0031]","[0.3928, 0.5516]","[0.3957, 0.4135]","[0.4299, 0.543]","[0.4454, 0.6576]","[0.2872, 0.619]","[0.3059, 0.5169]","[0.3497, 0.6005]","[0.3688, 0.6852]"
"[0.4242, 1.0133]","[0.6005, 0.9011]","[0.6853, 0.7212]","[0.6321, 0.5744]","[0.5126, 0.5178]","[0.6129, 0.5217]","[0.6261, 0.3144]","[0.6138, 0.1852]","[0.6016, 0.075]","[0.5032, 0.5173]","[0.5128, 0.286]","[0.5252, 0.1309]","[0.5349, 0.0099]","[0.3935, 0.5561]","[0.3956, 0.4124]","[0.4305, 0.543]","[0.4458, 0.6591]","[0.2863, 0.6223]","[0.3064, 0.5171]","[0.3503, 0.6016]","[0.3681, 0.6879]"
"[0.4141, 1.0146]","[0.5883, 0.9153]","[0.6839, 0.7306]","[0.6323, 0.577]","[0.5073, 0.5191]","[0.611, 0.5196]","[0.6252, 0.3138]","[0.6136, 0.1831]","[0.6019, 0.0716]","[0.5005, 0.5145]","[0.5083, 0.2804]","[0.5206, 0.1229]","[0.5293, 0.0005]","[0.3916, 0.5551]","[0.393, 0.4127]","[0.4303, 0.5447]","[0.4458, 0.6605]","[0.2838, 0.6239]","[0.3048, 0.516]","[0.35, 0.6025]","[0.3671, 0.6896]"
"[0.4077, 1.0188]","[0.5847, 0.9239]","[0.6853, 0.7367]","[0.6357, 0.5786]","[0.5095, 0.5205]","[0.6115, 0.5235]","[0.6271, 0.315]","[0.6158, 0.1836]","[0.6042, 0.071]","[0.4996, 0.5157]","[0.5099, 0.2752]","[0.5214, 0.1135]","[0.5291, -0.0145]","[0.3891, 0.5549]","[0.3902, 0.4061]","[0.4273, 0.5424]","[0.4427, 0.6602]","[0.2808, 0.6244]","[0.3025, 0.5153]","[0.3474, 0.6033]","[0.3643, 0.6904]"
"[0.4069, 1.014]","[0.5861, 0.9162]","[0.6862, 0.731]","[0.6306, 0.5756]","[0.5052, 0.5167]","[0.6104, 0.5162]","[0.626, 0.3127]","[0.6143, 0.1828]","[0.6021, 0.0718]","[0.4978, 0.5087]","[0.5097, 0.2696]","[0.5227, 0.1103]","[0.5323, -0.0149]","[0.3884, 0.5492]","[0.3878, 0.4052]","[0.4224, 0.5408]","[0.4379, 0.6574]","[0.2811, 0.6193]","[0.3004, 0.5129]","[0.3438, 0.6]","[0.3616, 0.6842]"
"[0.408, 1.0118]","[0.5895, 0.9081]","[0.6877, 0.7254]","[0.6288, 0.5735]","[0.504, 0.52]","[0.6115, 0.5155]","[0.6272, 0.3129]","[0.6147, 0.1844]","[0.6017, 0.0743]","[0.4985, 0.508]","[0.5088, 0.2683]","[0.5184, 0.1078]","[0.5255, -0.0189]","[0.3885, 0.5481]","[0.3848, 0.405]","[0.4196, 0.5392]","[0.4372, 0.6563]","[0.2817, 0.6182]","[0.3, 0.5144]","[0.3426, 0.6003]","[0.3614, 0.6842]"
"[0.4119, 1.0088]","[0.5911, 0.9027]","[0.6866, 0.724]","[0.6259, 0.5735]","[0.5005, 0.5168]","[0.6103, 0.5145]","[0.6246, 0.3128]","[0.6117, 0.1847]","[0.5986, 0.0747]","[0.4975, 0.5071]","[0.5082, 0.2706]","[0.5184, 0.115]","[0.5263, -0.0079]","[0.3875, 0.5471]","[0.3844, 0.4019]","[0.4189, 0.5359]","[0.4368, 0.6526]","[0.2806, 0.6173]","[0.299, 0.5143]","[0.3418, 0.5993]","[0.3614, 0.6825]"
"[0.4077, 1.0004]","[0.5964, 0.8885]","[0.6845, 0.7194]","[0.6255, 0.574]","[0.4999, 0.5203]","[0.6055, 0.5172]","[0.62, 0.3149]","[0.6071, 0.186]","[0.5942, 0.0732]","[0.4941, 0.512]","[0.5078, 0.2786]","[0.5189, 0.1224]","[0.5267, -0.0001]","[0.3838, 0.5518]","[0.3811, 0.403]","[0.4167, 0.5363]","[0.4363, 0.6544]","[0.2763, 0.6181]","[0.2962, 0.5143]","[0.3381, 0.6006]","[0.3585, 0.6872]"
"[0.4104, 1.0025]","[0.6008, 0.8891]","[0.6879, 0.716]","[0.6231, 0.5651]","[0.4923, 0.5133]","[0.6077, 0.5199]","[0.62, 0.3154]","[0.6074, 0.1858]","[0.5969, 0.0732]","[0.495, 0.5124]","[0.5027, 0.2776]","[0.5114, 0.1202]","[0.5207, -0.0044]","[0.3848, 0.552]","[0.3796, 0.3982]","[0.4116, 0.5305]","[0.4304, 0.6495]","[0.2756, 0.6229]","[0.2919, 0.5186]","[0.3349, 0.6022]","[0.3565, 0.6889]"
"[0.4098, 1.0031]","[0.5953, 0.893]","[0.6856, 0.722]","[0.6231, 0.5718]","[0.4945, 0.515]","[0.6063, 0.5188]","[0.6187, 0.3142]","[0.6066, 0.1849]","[0.5963, 0.0723]","[0.4934, 0.5112]","[0.5027, 0.276]","[0.5112, 0.1189]","[0.5197, -0.0053]","[0.3835, 0.5512]","[0.3774, 0.3983]","[0.4082, 0.5298]","[0.4268, 0.6488]","[0.275, 0.6227]","[0.2891, 0.5175]","[0.3312, 0.601]","[0.3531, 0.6885]"
"[0.4118, 1.0057]","[0.5951, 0.8984]","[0.6855, 0.7256]","[0.6217, 0.5729]","[0.4943, 0.5142]","[0.6071, 0.517]","[0.6187, 0.3128]","[0.6065, 0.1829]","[0.5958, 0.07]","[0.494, 0.5094]","[0.5022, 0.2736]","[0.5104, 0.1145]","[0.5187, -0.011]","[0.3839, 0.55]","[0.378, 0.3978]","[0.4076, 0.5299]","[0.4252, 0.6495]","[0.2751, 0.6216]","[0.289, 0.5158]","[0.3307, 0.5996]","[0.3528, 0.6873]"
"[0.4139, 1.0071]","[0.5936, 0.8996]","[0.6837, 0.7259]","[0.6206, 0.5753]","[0.4964, 0.5127]","[0.6085, 0.5172]","[0.6194, 0.3138]","[0.6069, 0.1838]","[0.5959, 0.072]","[0.4952, 0.5102]","[0.504, 0.27]","[0.5142, 0.1089]","[0.5242, -0.0159]","[0.3839, 0.5517]","[0.3793, 0.4014]","[0.4112, 0.5326]","[0.4285, 0.6512]","[0.2744, 0.6244]","[0.2902, 0.5158]","[0.3344, 0.6018]","[0.3563, 0.6905]"
"[0.4117, 1.018]","[0.59, 0.9135]","[0.6852, 0.7344]","[0.6236, 0.5762]","[0.4972, 0.5181]","[0.6112, 0.5243]","[0.6223, 0.3158]","[0.609, 0.1849]","[0.5976, 0.0715]","[0.4981, 0.5163]","[0.5078, 0.2843]","[0.5207, 0.1268]","[0.5325, 0.0027]","[0.3878, 0.555]","[0.3815, 0.4067]","[0.4134, 0.5353]","[0.4305, 0.6534]","[0.2796, 0.6224]","[0.2934, 0.5142]","[0.3357, 0.5978]","[0.3568, 0.6869]"
"[0.4134, 1.0112]","[0.5959, 0.903]","[0.6866, 0.7258]","[0.6211, 0.5718]","[0.495, 0.5153]","[0.6102, 0.5206]","[0.6231, 0.3169]","[0.6117, 0.1856]","[0.6006, 0.0723]","[0.4974, 0.5141]","[0.5084, 0.2769]","[0.5226, 0.1202]","[0.5343, -0.0022]","[0.3865, 0.5538]","[0.3818, 0.4042]","[0.4144, 0.535]","[0.4304, 0.6536]","[0.2759, 0.623]","[0.2922, 0.5151]","[0.3354, 0.6002]","[0.3548, 0.6885]"
"[0.415, 1.0111]","[0.5978, 0.8988]","[0.687, 0.7257]","[0.623, 0.5721]","[0.4984, 0.5085]","[0.6112, 0.5238]","[0.6234, 0.3173]","[0.6103, 0.1866]","[0.5983, 0.0724]","[0.4984, 0.5165]","[0.5115, 0.2801]","[0.5258, 0.1212]","[0.538, -0.0028]","[0.3872, 0.5554]","[0.3841, 0.4065]","[0.4168, 0.5365]","[0.4334, 0.6542]","[0.2772, 0.6229]","[0.2943, 0.5139]","[0.338, 0.5975]","[0.3583, 0.6855]"
"[0.4148, 1.0131]","[0.5994, 0.8991]","[0.6867, 0.7247]","[0.6176, 0.5703]","[0.4906, 0.5073]","[0.6112, 0.5278]","[0.6237, 0.3175]","[0.6108, 0.1842]","[0.5993, 0.0685]","[0.498, 0.5197]","[0.5095, 0.2791]","[0.521, 0.1157]","[0.531, -0.0113]","[0.3872, 0.5578]","[0.3814, 0.4061]","[0.4144, 0.5371]","[0.4317, 0.655]","[0.2777, 0.6243]","[0.2927, 0.5143]","[0.3368, 0.5978]","[0.3584, 0.6846]"
