[0.0, 1.0],[0.0321, 1.0],[0.1412, 1.0],[0.0683, 1.0],[0.0, 0.9894],[0.0913, 1.0],[0.1077, 0.792],[0.1057, 0.6423],[0.1064, 0.5189],[0.0, 0.9905],[0.0, 0.751],[0.0025, 0.5902],[0.0203, 0.4616],[0.0, 1.0],[0.0, 0.8338],[0.0, 0.9462],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9462],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.0282, 1.0],[0.1438, 1.0],[0.0781, 1.0],[0.0, 0.9898],[0.0847, 1.0],[0.1083, 0.7868],[0.1057, 0.6508],[0.1037, 0.5347],[0.0, 0.9857],[0.0006, 0.7521],[0.0137, 0.588],[0.0249, 0.4512],[0.0, 1.0],[0.0, 0.836],[0.0, 0.9554],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9399],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.0347, 1.0],[0.1451, 1.0],[0.0788, 1.0],[0.0, 0.995],[0.084, 1.0],[0.109, 0.7876],[0.1051, 0.6523],[0.0991, 0.5366],[0.0, 0.9853],[0.0, 0.7502],[0.0157, 0.5895],[0.0262, 0.4564],[0.0, 1.0],[0.0, 0.829],[0.0, 0.9473],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9414],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.038, 1.0],[0.1465, 1.0],[0.0742, 1.0],[0.0, 0.9839],[0.0873, 1.0],[0.1116, 0.7817],[0.1057, 0.646],[0.0978, 0.5296],[0.0, 0.9824],[0.0012, 0.7466],[0.015, 0.5858],[0.0223, 0.4527],[0.0, 1.0],[0.0, 0.829],[0.0, 0.951],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9417],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.038, 1.0],[0.1451, 1.0],[0.0768, 1.0],[0.0, 0.9787],[0.088, 0.9998],[0.1116, 0.7798],[0.1064, 0.6438],[0.0978, 0.5251],[0.0, 0.9824],[0.0032, 0.7466],[0.0183, 0.5858],[0.0255, 0.4501],[0.0, 1.0],[0.0, 0.8271],[0.0, 0.9513],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9377],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.0374, 1.0],[0.1478, 1.0],[0.0761, 1.0],[0.0, 0.9883],[0.0899, 1.0],[0.1129, 0.7809],[0.107, 0.6442],[0.0978, 0.524],[0.0, 0.9846],[0.0052, 0.7469],[0.019, 0.5858],[0.0262, 0.4494],[0.0, 1.0],[0.0, 0.8249],[0.0, 0.9495],[0.0, 1.0],[0.0, 1.0],[0.0, 0.938],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.0387, 1.0],[0.1491, 1.0],[0.0794, 1.0],[0.0, 0.9887],[0.0913, 1.0],[0.1149, 0.7824],[0.1097, 0.6456],[0.1018, 0.5259],[0.0, 0.9879],[0.0045, 0.748],[0.0177, 0.5872],[0.0242, 0.4501],[0.0, 1.0],[0.0, 0.8238],[0.0, 0.9487],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9388],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.0413, 1.0],[0.1497, 1.0],[0.0814, 1.0],[0.0, 0.9957],[0.0913, 1.0],[0.1156, 0.785],[0.1103, 0.6482],[0.1024, 0.5285],[0.0, 0.9905],[0.0058, 0.7495],[0.019, 0.5887],[0.0249, 0.4519],[0.0, 1.0],[0.0, 0.8264],[0.0, 0.9487],[0.0, 1.0],[0.0, 1.0],[0.0, 0.941],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.0459, 1.0],[0.1543, 1.0],[0.088, 1.0],[0.0, 1.0],[0.0939, 0.9994],[0.1182, 0.7806],[0.1129, 0.6464],[0.1037, 0.5285],[0.0, 0.9824],[0.0111, 0.7484],[0.0249, 0.5869],[0.0308, 0.4486],[0.0, 1.0],[0.0, 0.8308],[0.0, 0.9536],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9414],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.0531, 1.0],[0.1583, 1.0],[0.0873, 1.0],[0.0, 0.9883],[0.0952, 0.9942],[0.1195, 0.7791],[0.1156, 0.6449],[0.107, 0.5266],[0.0, 0.9794],[0.0124, 0.7473],[0.0295, 0.5861],[0.0347, 0.4483],[0.0, 1.0],[0.0, 0.8286],[0.0, 0.9543],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9391],[0.0, 1.0],[0.0, 1.0]
[0.0, 1.0],[0.0551, 1.0],[0.1576, 1.0],[0.0899, 1.0],[0.0, 0.9842],[0.0978, 0.9931],[0.1215, 0.7761],[0.1175, 0.6397],[0.1103, 0.5214],[0.0, 0.9791],[0.0124, 0.7458],[0.0288, 0.5817],[0.0361, 0.4475],[0.0, 1.0],[0.0, 0.8286],[0.0, 0.9521],[0.0, 1.0],[0.0, 1.0],[0.0, 0.9395],[0.0, 1.0],[0.0, 1.0]
