"[0.5812, 0.9401]","[0.41, 0.8921]","[0.3086, 0.7311]","[0.3659, 0.5695]","[0.48, 0.5184]","[0.3738, 0.5544]","[0.3614, 0.3496]","[0.3667, 0.2195]","[0.372, 0.1075]","[0.4812, 0.5326]","[0.4578, 0.2895]","[0.4506, 0.1292]","[0.4519, -0.0103]","[0.5857, 0.5551]","[0.5861, 0.4077]","[0.5649, 0.5287]","[0.5499, 0.6391]","[0.6941, 0.6075]","[0.6794, 0.5035]","[0.6542, 0.5929]","[0.6388, 0.6818]"
"[0.5853, 0.9715]","[0.4011, 0.8843]","[0.304, 0.7197]","[0.3707, 0.5698]","[0.4806, 0.5231]","[0.3681, 0.5467]","[0.359, 0.3456]","[0.3649, 0.2198]","[0.3727, 0.1074]","[0.4742, 0.5284]","[0.4533, 0.2857]","[0.448, 0.1343]","[0.451, 0.0034]","[0.5828, 0.5523]","[0.5911, 0.4052]","[0.5653, 0.5428]","[0.548, 0.6664]","[0.6915, 0.6075]","[0.6757, 0.5024]","[0.65, 0.592]","[0.6351, 0.6835]"
"[0.5748, 0.9864]","[0.3933, 0.8864]","[0.2993, 0.7175]","[0.3688, 0.5611]","[0.4874, 0.5227]","[0.369, 0.5482]","[0.3578, 0.347]","[0.3607, 0.2226]","[0.3683, 0.1102]","[0.475, 0.5325]","[0.4536, 0.2951]","[0.4476, 0.1483]","[0.4522, 0.0212]","[0.5817, 0.5579]","[0.5965, 0.4056]","[0.5644, 0.5434]","[0.5418, 0.6708]","[0.6879, 0.6117]","[0.6754, 0.5026]","[0.6456, 0.5902]","[0.6272, 0.6843]"
"[0.5683, 0.9878]","[0.3906, 0.8915]","[0.2982, 0.7231]","[0.3678, 0.5721]","[0.485, 0.525]","[0.3626, 0.5473]","[0.3505, 0.3432]","[0.3563, 0.2183]","[0.3662, 0.1071]","[0.4717, 0.5313]","[0.4516, 0.2893]","[0.4473, 0.1402]","[0.4514, 0.0112]","[0.5803, 0.5572]","[0.5917, 0.4032]","[0.5616, 0.5406]","[0.539, 0.6668]","[0.6874, 0.6138]","[0.674, 0.5057]","[0.6439, 0.5917]","[0.6243, 0.6835]"
"[0.5642, 0.9855]","[0.384, 0.8915]","[0.2907, 0.7194]","[0.361, 0.5678]","[0.4794, 0.5234]","[0.3603, 0.5433]","[0.3494, 0.3389]","[0.3559, 0.2132]","[0.3657, 0.1008]","[0.4692, 0.5251]","[0.4481, 0.2711]","[0.4435, 0.1095]","[0.4469, -0.0307]","[0.5782, 0.5514]","[0.5867, 0.399]","[0.5561, 0.538]","[0.5326, 0.6662]","[0.6862, 0.6088]","[0.6714, 0.5065]","[0.641, 0.5943]","[0.6206, 0.6867]"
"[0.5678, 0.991]","[0.3858, 0.8983]","[0.29, 0.7248]","[0.3613, 0.5677]","[0.483, 0.5177]","[0.3578, 0.5464]","[0.3469, 0.3416]","[0.3515, 0.2161]","[0.3581, 0.1013]","[0.4648, 0.5257]","[0.4446, 0.2739]","[0.4393, 0.1095]","[0.442, -0.0334]","[0.5721, 0.5509]","[0.5839, 0.4009]","[0.5566, 0.5421]","[0.5354, 0.6701]","[0.6812, 0.6077]","[0.6675, 0.5044]","[0.6369, 0.5946]","[0.6165, 0.6895]"
"[0.5683, 0.99]","[0.3876, 0.8936]","[0.2904, 0.7195]","[0.364, 0.5651]","[0.4846, 0.5229]","[0.357, 0.5434]","[0.3444, 0.3387]","[0.3488, 0.2144]","[0.3557, 0.1022]","[0.4642, 0.5258]","[0.442, 0.2827]","[0.438, 0.1297]","[0.4426, -0.0019]","[0.5706, 0.5517]","[0.5854, 0.4077]","[0.5552, 0.5464]","[0.5319, 0.6738]","[0.6777, 0.6066]","[0.6668, 0.5074]","[0.6391, 0.5939]","[0.6222, 0.6859]"
"[0.5657, 0.9868]","[0.3847, 0.8906]","[0.2913, 0.7182]","[0.3633, 0.5647]","[0.4792, 0.5243]","[0.3576, 0.5412]","[0.3438, 0.3392]","[0.3481, 0.2157]","[0.3559, 0.1052]","[0.4649, 0.525]","[0.4433, 0.282]","[0.4375, 0.1297]","[0.441, -0.0026]","[0.572, 0.5517]","[0.5843, 0.4037]","[0.5511, 0.5418]","[0.5273, 0.6678]","[0.6799, 0.6078]","[0.666, 0.5068]","[0.6364, 0.5926]","[0.6184, 0.6827]"
"[0.5665, 0.994]","[0.3847, 0.8974]","[0.2922, 0.7215]","[0.3637, 0.5652]","[0.4805, 0.5235]","[0.3587, 0.5483]","[0.3442, 0.3429]","[0.3488, 0.2183]","[0.3573, 0.1067]","[0.4665, 0.5318]","[0.4438, 0.2881]","[0.4366, 0.1369]","[0.4395, 0.006]","[0.574, 0.5582]","[0.5845, 0.4039]","[0.5488, 0.5417]","[0.5234, 0.6676]","[0.6821, 0.6144]","[0.6662, 0.5079]","[0.6343, 0.5936]","[0.6148, 0.685]"
"[0.5642, 0.9889]","[0.3835, 0.8974]","[0.2906, 0.7225]","[0.3595, 0.5679]","[0.4734, 0.5256]","[0.3581, 0.5441]","[0.3451, 0.3414]","[0.3498, 0.217]","[0.3575, 0.1059]","[0.4662, 0.5274]","[0.4443, 0.2791]","[0.437, 0.1223]","[0.4384, -0.0138]","[0.5742, 0.5547]","[0.5821, 0.4036]","[0.5476, 0.5411]","[0.5212, 0.6647]","[0.6831, 0.6121]","[0.666, 0.51]","[0.6353, 0.5978]","[0.6146, 0.688]"
"[0.5666, 0.995]","[0.3829, 0.9026]","[0.2915, 0.7264]","[0.3608, 0.5692]","[0.4723, 0.5217]","[0.3613, 0.5481]","[0.3459, 0.343]","[0.3483, 0.2185]","[0.3548, 0.1056]","[0.4676, 0.5316]","[0.4446, 0.2908]","[0.436, 0.1403]","[0.4375, 0.0103]","[0.5738, 0.5572]","[0.5842, 0.4059]","[0.5516, 0.5432]","[0.5276, 0.6678]","[0.6813, 0.612]","[0.666, 0.5073]","[0.6359, 0.5934]","[0.6173, 0.6846]"
