"[0.592, 0.739]","[0.5636, 0.7218]","[0.547, 0.6729]","[0.5579, 0.6321]","[0.58, 0.6306]","[0.5646, 0.6199]","[0.5633, 0.5651]","[0.5652, 0.5282]","[0.5683, 0.4977]","[0.5821, 0.616]","[0.5805, 0.5513]","[0.58, 0.5087]","[0.5813, 0.4723]","[0.5988, 0.6253]","[0.5993, 0.5817]","[0.5936, 0.6146]","[0.5905, 0.6474]","[0.6149, 0.6439]","[0.6127, 0.6089]","[0.6065, 0.6292]","[0.6019, 0.6549]"
"[0.5937, 0.7529]","[0.564, 0.7278]","[0.5477, 0.6742]","[0.5577, 0.6285]","[0.5771, 0.6234]","[0.5645, 0.6228]","[0.564, 0.564]","[0.566, 0.5284]","[0.5688, 0.4979]","[0.5816, 0.618]","[0.5801, 0.5502]","[0.58, 0.5093]","[0.5817, 0.4758]","[0.598, 0.6265]","[0.5995, 0.577]","[0.5936, 0.6111]","[0.5901, 0.6459]","[0.6146, 0.6442]","[0.6128, 0.6113]","[0.6063, 0.6328]","[0.6019, 0.6586]"
"[0.5931, 0.7555]","[0.5632, 0.7271]","[0.5471, 0.6742]","[0.557, 0.6287]","[0.5778, 0.6237]","[0.5649, 0.6212]","[0.5645, 0.5637]","[0.5664, 0.5288]","[0.5693, 0.4981]","[0.5818, 0.6176]","[0.5805, 0.5494]","[0.5803, 0.5094]","[0.5819, 0.4755]","[0.5979, 0.6266]","[0.6004, 0.5777]","[0.5931, 0.6136]","[0.5885, 0.6491]","[0.6142, 0.6449]","[0.613, 0.6111]","[0.606, 0.6323]","[0.6011, 0.6577]"
"[0.5928, 0.7552]","[0.5629, 0.7268]","[0.5468, 0.6745]","[0.5568, 0.6298]","[0.5779, 0.625]","[0.5649, 0.6195]","[0.5644, 0.5625]","[0.5663, 0.528]","[0.5691, 0.4974]","[0.5818, 0.6163]","[0.5806, 0.5484]","[0.5805, 0.5087]","[0.582, 0.4748]","[0.5979, 0.6259]","[0.6001, 0.5776]","[0.5927, 0.6147]","[0.588, 0.6499]","[0.6141, 0.6448]","[0.6126, 0.6111]","[0.6054, 0.6333]","[0.6006, 0.6586]"
"[0.5932, 0.7558]","[0.5628, 0.7275]","[0.5464, 0.6747]","[0.5567, 0.6287]","[0.5781, 0.6237]","[0.565, 0.6212]","[0.5646, 0.5633]","[0.5665, 0.5284]","[0.5692, 0.4974]","[0.5821, 0.6175]","[0.5809, 0.5486]","[0.5807, 0.5084]","[0.5822, 0.4743]","[0.598, 0.6267]","[0.6, 0.578]","[0.5927, 0.6151]","[0.5882, 0.6508]","[0.6142, 0.6452]","[0.6125, 0.6105]","[0.6055, 0.6326]","[0.6008, 0.6583]"
"[0.5938, 0.7578]","[0.5635, 0.7292]","[0.5469, 0.6764]","[0.5568, 0.6293]","[0.5783, 0.6227]","[0.5648, 0.6234]","[0.5643, 0.5648]","[0.5663, 0.5296]","[0.5692, 0.4984]","[0.582, 0.6192]","[0.5806, 0.5496]","[0.5806, 0.509]","[0.5822, 0.4745]","[0.598, 0.628]","[0.6001, 0.5775]","[0.5925, 0.6144]","[0.5875, 0.6505]","[0.6143, 0.6458]","[0.6125, 0.6105]","[0.6054, 0.6325]","[0.6006, 0.6587]"
"[0.5931, 0.7583]","[0.5629, 0.7283]","[0.5468, 0.6754]","[0.5568, 0.6292]","[0.578, 0.6243]","[0.5642, 0.6224]","[0.564, 0.565]","[0.566, 0.5301]","[0.5686, 0.4992]","[0.5814, 0.6186]","[0.5807, 0.5502]","[0.5805, 0.5097]","[0.5819, 0.4751]","[0.5976, 0.6279]","[0.6, 0.578]","[0.5925, 0.6145]","[0.5877, 0.6498]","[0.614, 0.6462]","[0.6122, 0.6113]","[0.6052, 0.633]","[0.6007, 0.6582]"
"[0.5935, 0.7575]","[0.5632, 0.7294]","[0.5466, 0.6761]","[0.5562, 0.6297]","[0.578, 0.6242]","[0.5641, 0.6217]","[0.5636, 0.5641]","[0.5658, 0.5291]","[0.5689, 0.4983]","[0.5813, 0.6182]","[0.5803, 0.5492]","[0.5801, 0.5086]","[0.5815, 0.4745]","[0.5975, 0.6274]","[0.5994, 0.5782]","[0.5922, 0.6156]","[0.5876, 0.6514]","[0.6139, 0.6454]","[0.6119, 0.6105]","[0.6053, 0.6328]","[0.6009, 0.6585]"
"[0.5932, 0.7568]","[0.5629, 0.7289]","[0.5468, 0.6764]","[0.5566, 0.6305]","[0.5774, 0.6242]","[0.5643, 0.622]","[0.5638, 0.5643]","[0.5658, 0.529]","[0.5686, 0.4981]","[0.5812, 0.6183]","[0.5803, 0.549]","[0.5801, 0.5083]","[0.5815, 0.4743]","[0.5973, 0.6274]","[0.5992, 0.5784]","[0.5919, 0.6146]","[0.5873, 0.6498]","[0.6135, 0.6455]","[0.6116, 0.6106]","[0.605, 0.6326]","[0.6008, 0.658]"
"[0.5932, 0.7567]","[0.5624, 0.7282]","[0.5464, 0.6763]","[0.5561, 0.6301]","[0.5769, 0.6244]","[0.5642, 0.6223]","[0.5636, 0.5647]","[0.5652, 0.5296]","[0.5678, 0.4984]","[0.5813, 0.6184]","[0.5801, 0.5499]","[0.5797, 0.5091]","[0.5811, 0.4746]","[0.5972, 0.6273]","[0.5987, 0.5784]","[0.5918, 0.6148]","[0.5878, 0.6502]","[0.6134, 0.6451]","[0.6113, 0.6103]","[0.6051, 0.6319]","[0.6012, 0.6572]"
"[0.5928, 0.7568]","[0.5622, 0.7282]","[0.5465, 0.6759]","[0.5566, 0.63]","[0.5771, 0.6243]","[0.5641, 0.6219]","[0.5636, 0.565]","[0.5654, 0.53]","[0.5682, 0.4987]","[0.5813, 0.6185]","[0.5801, 0.5506]","[0.5796, 0.51]","[0.581, 0.4752]","[0.5974, 0.6278]","[0.5989, 0.5786]","[0.5915, 0.6154]","[0.5874, 0.6509]","[0.6136, 0.6457]","[0.6111, 0.6108]","[0.6043, 0.6326]","[0.6005, 0.6579]"
"[0.5931, 0.7566]","[0.5628, 0.7286]","[0.547, 0.6765]","[0.5572, 0.6303]","[0.578, 0.6239]","[0.5643, 0.6223]","[0.5637, 0.5651]","[0.5656, 0.5298]","[0.5685, 0.4987]","[0.5814, 0.6191]","[0.5801, 0.5506]","[0.5797, 0.5098]","[0.5812, 0.4751]","[0.5975, 0.6284]","[0.599, 0.5797]","[0.5915, 0.6165]","[0.5872, 0.6517]","[0.6137, 0.6462]","[0.6112, 0.6111]","[0.6045, 0.6328]","[0.6005, 0.6578]"
"[0.5932, 0.7566]","[0.5626, 0.7299]","[0.5464, 0.6753]","[0.5562, 0.6283]","[0.5775, 0.6255]","[0.5642, 0.6195]","[0.5633, 0.5632]","[0.5652, 0.5282]","[0.5684, 0.4979]","[0.5815, 0.6161]","[0.5801, 0.5493]","[0.5795, 0.5084]","[0.5812, 0.4746]","[0.5975, 0.6261]","[0.599, 0.5787]","[0.592, 0.6155]","[0.5883, 0.6504]","[0.6137, 0.6443]","[0.6108, 0.6099]","[0.6048, 0.6322]","[0.6016, 0.6574]"
"[0.5932, 0.7576]","[0.5624, 0.7306]","[0.5459, 0.6764]","[0.5553, 0.6294]","[0.5761, 0.6244]","[0.5638, 0.6212]","[0.5629, 0.5642]","[0.5647, 0.5291]","[0.5677, 0.4983]","[0.5811, 0.6171]","[0.5794, 0.5494]","[0.5791, 0.5085]","[0.5809, 0.4741]","[0.5971, 0.6266]","[0.5985, 0.5771]","[0.5919, 0.6138]","[0.5883, 0.6494]","[0.6135, 0.6448]","[0.6112, 0.6103]","[0.605, 0.6323]","[0.6014, 0.6579]"
"[0.5932, 0.7581]","[0.5624, 0.7301]","[0.5459, 0.6766]","[0.5555, 0.6297]","[0.5757, 0.6243]","[0.5636, 0.621]","[0.563, 0.5639]","[0.565, 0.5289]","[0.568, 0.498]","[0.5809, 0.6172]","[0.5794, 0.5494]","[0.5794, 0.5089]","[0.5811, 0.4741]","[0.597, 0.6268]","[0.5986, 0.5768]","[0.5925, 0.6134]","[0.589, 0.6491]","[0.6134, 0.645]","[0.6115, 0.6111]","[0.6054, 0.6327]","[0.6019, 0.6577]"
"[0.5933, 0.759]","[0.5627, 0.7309]","[0.5463, 0.6773]","[0.5555, 0.6295]","[0.5757, 0.6223]","[0.5639, 0.6242]","[0.563, 0.5656]","[0.5649, 0.5302]","[0.5678, 0.4988]","[0.581, 0.6203]","[0.5797, 0.551]","[0.5795, 0.5098]","[0.5813, 0.4749]","[0.5968, 0.6292]","[0.5988, 0.5772]","[0.5921, 0.6129]","[0.5882, 0.6484]","[0.6132, 0.6465]","[0.6116, 0.6104]","[0.6054, 0.6314]","[0.6014, 0.6567]"
"[0.5937, 0.759]","[0.563, 0.7317]","[0.546, 0.6773]","[0.555, 0.6291]","[0.5764, 0.6242]","[0.5635, 0.6238]","[0.5628, 0.5653]","[0.5649, 0.5298]","[0.5679, 0.4987]","[0.5808, 0.6197]","[0.5796, 0.5507]","[0.5794, 0.5094]","[0.5812, 0.4745]","[0.5968, 0.629]","[0.5988, 0.5772]","[0.592, 0.6142]","[0.5881, 0.6495]","[0.6132, 0.6466]","[0.6115, 0.6103]","[0.6052, 0.6323]","[0.6012, 0.6574]"
"[0.5932, 0.7587]","[0.5627, 0.731]","[0.5461, 0.677]","[0.5553, 0.6288]","[0.5768, 0.6241]","[0.5636, 0.6236]","[0.5631, 0.5655]","[0.5652, 0.5299]","[0.5683, 0.4988]","[0.5809, 0.6196]","[0.5798, 0.5508]","[0.5796, 0.5095]","[0.5813, 0.4747]","[0.5969, 0.6286]","[0.5991, 0.5769]","[0.592, 0.6123]","[0.5878, 0.6475]","[0.6132, 0.6465]","[0.6113, 0.6106]","[0.6049, 0.6318]","[0.6008, 0.6573]"
"[0.5935, 0.7587]","[0.5627, 0.7311]","[0.546, 0.6769]","[0.5551, 0.6284]","[0.5768, 0.624]","[0.564, 0.6231]","[0.5632, 0.5653]","[0.5652, 0.5299]","[0.5683, 0.4987]","[0.5812, 0.6189]","[0.5799, 0.5501]","[0.5796, 0.5088]","[0.5814, 0.4741]","[0.5971, 0.6281]","[0.5989, 0.5771]","[0.5919, 0.6137]","[0.5879, 0.6494]","[0.6135, 0.646]","[0.6115, 0.6101]","[0.6049, 0.632]","[0.6008, 0.6579]"
