"[0.4259, 0.9247]","[0.5861, 0.8818]","[0.6833, 0.7216]","[0.6202, 0.5789]","[0.4942, 0.5355]","[0.6201, 0.5447]","[0.6326, 0.3491]","[0.6257, 0.2215]","[0.6185, 0.1128]","[0.513, 0.5301]","[0.5327, 0.3096]","[0.5386, 0.1606]","[0.5452, 0.0397]","[0.4141, 0.5562]","[0.4143, 0.4156]","[0.4339, 0.5351]","[0.4444, 0.6404]","[0.3123, 0.6122]","[0.3364, 0.5027]","[0.372, 0.5908]","[0.3853, 0.6817]"
"[0.4096, 0.9606]","[0.5799, 0.8927]","[0.6827, 0.7227]","[0.6298, 0.5674]","[0.5003, 0.5268]","[0.6179, 0.5465]","[0.6344, 0.3484]","[0.6227, 0.2246]","[0.6128, 0.1158]","[0.5127, 0.5301]","[0.5275, 0.3078]","[0.5362, 0.1597]","[0.5424, 0.0381]","[0.4127, 0.5571]","[0.4051, 0.4134]","[0.4332, 0.5471]","[0.4467, 0.6617]","[0.3107, 0.6126]","[0.3303, 0.5007]","[0.3664, 0.5921]","[0.3795, 0.6839]"
"[0.4093, 0.9702]","[0.5881, 0.8852]","[0.6865, 0.7167]","[0.625, 0.5699]","[0.4991, 0.5282]","[0.6231, 0.5362]","[0.6384, 0.3481]","[0.6252, 0.2252]","[0.6131, 0.1209]","[0.5161, 0.5234]","[0.5293, 0.3078]","[0.538, 0.1599]","[0.5459, 0.0412]","[0.4145, 0.5541]","[0.4049, 0.417]","[0.4318, 0.5461]","[0.4468, 0.6551]","[0.3104, 0.6117]","[0.3256, 0.5065]","[0.359, 0.5925]","[0.3736, 0.6768]"
"[0.4077, 0.9729]","[0.5898, 0.884]","[0.6872, 0.7126]","[0.6255, 0.5665]","[0.4987, 0.5321]","[0.6226, 0.5335]","[0.6388, 0.346]","[0.6264, 0.2235]","[0.6145, 0.1195]","[0.5164, 0.5214]","[0.5302, 0.3065]","[0.5382, 0.1594]","[0.5445, 0.0413]","[0.4157, 0.5529]","[0.4051, 0.418]","[0.4334, 0.5475]","[0.4495, 0.6564]","[0.3119, 0.611]","[0.3238, 0.5062]","[0.3587, 0.591]","[0.3758, 0.6747]"
"[0.4052, 0.979]","[0.5919, 0.8898]","[0.6855, 0.7148]","[0.627, 0.5641]","[0.5001, 0.5317]","[0.62, 0.5377]","[0.6368, 0.3495]","[0.6253, 0.2258]","[0.6136, 0.1212]","[0.5155, 0.5254]","[0.5279, 0.3089]","[0.5374, 0.1604]","[0.5444, 0.0423]","[0.4149, 0.5555]","[0.4053, 0.4174]","[0.4346, 0.5479]","[0.4502, 0.6583]","[0.3101, 0.6102]","[0.3214, 0.5024]","[0.3575, 0.586]","[0.3756, 0.6694]"
"[0.4072, 0.9798]","[0.5925, 0.8892]","[0.6857, 0.7104]","[0.6214, 0.5633]","[0.4948, 0.5305]","[0.6203, 0.5357]","[0.6374, 0.3464]","[0.6256, 0.2236]","[0.6128, 0.1206]","[0.5155, 0.5252]","[0.5292, 0.3074]","[0.5377, 0.16]","[0.542, 0.0427]","[0.4144, 0.5571]","[0.4042, 0.4185]","[0.4349, 0.5499]","[0.4503, 0.6588]","[0.3092, 0.614]","[0.3213, 0.5051]","[0.3578, 0.5904]","[0.3743, 0.6729]"
"[0.4071, 0.9851]","[0.5891, 0.895]","[0.6837, 0.7146]","[0.6209, 0.5659]","[0.4939, 0.5323]","[0.619, 0.5391]","[0.6373, 0.3474]","[0.6258, 0.2235]","[0.6136, 0.1198]","[0.5141, 0.5281]","[0.5287, 0.3094]","[0.5376, 0.1606]","[0.5427, 0.0432]","[0.4132, 0.5592]","[0.4032, 0.4214]","[0.4337, 0.551]","[0.4487, 0.6598]","[0.309, 0.6156]","[0.3204, 0.5059]","[0.3566, 0.5908]","[0.3729, 0.6743]"
"[0.4049, 0.9829]","[0.5889, 0.8931]","[0.6845, 0.7158]","[0.6234, 0.5684]","[0.4985, 0.5305]","[0.6189, 0.5342]","[0.6373, 0.3454]","[0.6269, 0.2222]","[0.616, 0.119]","[0.5139, 0.5246]","[0.5291, 0.3087]","[0.5378, 0.1614]","[0.5426, 0.0445]","[0.4128, 0.5573]","[0.4024, 0.4262]","[0.4342, 0.5556]","[0.4502, 0.6632]","[0.3079, 0.6155]","[0.3206, 0.5079]","[0.3591, 0.5935]","[0.3768, 0.6768]"
"[0.4066, 0.9828]","[0.5901, 0.8934]","[0.6855, 0.7177]","[0.6264, 0.5698]","[0.5034, 0.5302]","[0.6198, 0.5352]","[0.6374, 0.3461]","[0.6261, 0.2227]","[0.6152, 0.1191]","[0.5145, 0.5248]","[0.5284, 0.3097]","[0.5369, 0.1626]","[0.5427, 0.0456]","[0.4128, 0.5569]","[0.4047, 0.423]","[0.4343, 0.5524]","[0.4485, 0.6611]","[0.3084, 0.6146]","[0.321, 0.5063]","[0.3586, 0.5922]","[0.3757, 0.6762]"
"[0.4074, 0.9833]","[0.5928, 0.892]","[0.686, 0.7155]","[0.6244, 0.5698]","[0.5006, 0.5359]","[0.6204, 0.5361]","[0.6377, 0.3461]","[0.6268, 0.2221]","[0.6156, 0.1178]","[0.5149, 0.525]","[0.5289, 0.3103]","[0.5378, 0.1627]","[0.5436, 0.0448]","[0.4134, 0.5565]","[0.403, 0.4236]","[0.4326, 0.55]","[0.4481, 0.6579]","[0.3096, 0.6136]","[0.3209, 0.5087]","[0.3569, 0.5905]","[0.3739, 0.6721]"
"[0.4091, 0.9838]","[0.5936, 0.8928]","[0.6877, 0.7165]","[0.6251, 0.5707]","[0.4993, 0.5341]","[0.6215, 0.5361]","[0.6395, 0.3454]","[0.6289, 0.2215]","[0.6176, 0.1172]","[0.5156, 0.5258]","[0.5311, 0.3099]","[0.5406, 0.1615]","[0.5458, 0.0428]","[0.4133, 0.5573]","[0.4068, 0.4217]","[0.4374, 0.5492]","[0.4512, 0.6579]","[0.3089, 0.6143]","[0.3236, 0.5053]","[0.3618, 0.5878]","[0.3782, 0.671]"
