"[0.447, 0.7156]","[0.4685, 0.6968]","[0.4754, 0.6531]","[0.4638, 0.6182]","[0.4456, 0.6076]","[0.4721, 0.5997]","[0.483, 0.551]","[0.4879, 0.5189]","[0.4907, 0.4919]","[0.4544, 0.5953]","[0.45, 0.539]","[0.4466, 0.5029]","[0.4431, 0.4731]","[0.4395, 0.6078]","[0.4367, 0.5704]","[0.4429, 0.5978]","[0.4456, 0.6225]","[0.427, 0.6307]","[0.4269, 0.6052]","[0.4354, 0.621]","[0.4407, 0.6402]"
"[0.4478, 0.7257]","[0.4692, 0.7005]","[0.4759, 0.6524]","[0.4611, 0.6164]","[0.4423, 0.6036]","[0.4732, 0.6012]","[0.4834, 0.5501]","[0.4884, 0.5178]","[0.4913, 0.4907]","[0.4553, 0.5977]","[0.4503, 0.5384]","[0.4468, 0.5023]","[0.443, 0.4727]","[0.4403, 0.61]","[0.4363, 0.5702]","[0.4432, 0.6]","[0.4465, 0.6254]","[0.4278, 0.6316]","[0.4271, 0.6053]","[0.4353, 0.6222]","[0.4404, 0.6411]"
"[0.4483, 0.729]","[0.4693, 0.7013]","[0.476, 0.6535]","[0.4619, 0.617]","[0.4429, 0.6046]","[0.4732, 0.6001]","[0.4837, 0.5492]","[0.4888, 0.5174]","[0.4918, 0.4907]","[0.4552, 0.5971]","[0.4507, 0.5377]","[0.4473, 0.5014]","[0.4432, 0.4724]","[0.4401, 0.6101]","[0.4359, 0.5695]","[0.4439, 0.5979]","[0.4483, 0.6236]","[0.4273, 0.6321]","[0.4268, 0.605]","[0.4354, 0.6206]","[0.4411, 0.6393]"
"[0.4491, 0.7299]","[0.4701, 0.7003]","[0.4766, 0.6542]","[0.4622, 0.6191]","[0.4435, 0.6056]","[0.4734, 0.6011]","[0.484, 0.5501]","[0.4889, 0.5182]","[0.4919, 0.491]","[0.4554, 0.5977]","[0.451, 0.5387]","[0.4479, 0.5025]","[0.4445, 0.4734]","[0.4402, 0.61]","[0.4364, 0.5685]","[0.4441, 0.5947]","[0.4488, 0.6204]","[0.4275, 0.6309]","[0.4272, 0.605]","[0.4358, 0.6191]","[0.4419, 0.637]"
"[0.4491, 0.7302]","[0.47, 0.7005]","[0.4766, 0.6543]","[0.4625, 0.6184]","[0.4439, 0.6043]","[0.4732, 0.6008]","[0.4839, 0.55]","[0.489, 0.5182]","[0.4922, 0.491]","[0.4552, 0.5977]","[0.4507, 0.5385]","[0.4478, 0.5023]","[0.4447, 0.4733]","[0.4401, 0.6104]","[0.4366, 0.5687]","[0.4446, 0.5956]","[0.4491, 0.6215]","[0.4274, 0.6317]","[0.4276, 0.6049]","[0.4364, 0.6201]","[0.4421, 0.6386]"
"[0.4491, 0.7289]","[0.4704, 0.7005]","[0.4769, 0.6542]","[0.4631, 0.6186]","[0.4443, 0.6061]","[0.473, 0.6]","[0.4837, 0.5498]","[0.4889, 0.5183]","[0.492, 0.4915]","[0.4551, 0.5971]","[0.4507, 0.5383]","[0.4478, 0.502]","[0.4447, 0.4731]","[0.44, 0.6097]","[0.4368, 0.5687]","[0.4447, 0.5957]","[0.4492, 0.6215]","[0.4273, 0.6308]","[0.4281, 0.6053]","[0.4371, 0.6205]","[0.4431, 0.6385]"
"[0.4492, 0.7281]","[0.4707, 0.7002]","[0.477, 0.6535]","[0.4623, 0.6187]","[0.4435, 0.605]","[0.4734, 0.5991]","[0.484, 0.5489]","[0.4891, 0.5172]","[0.4922, 0.4905]","[0.4553, 0.5965]","[0.4505, 0.5376]","[0.4476, 0.5015]","[0.4445, 0.4731]","[0.4401, 0.6094]","[0.4367, 0.5685]","[0.4447, 0.5968]","[0.4491, 0.6225]","[0.4276, 0.6304]","[0.4283, 0.6053]","[0.4372, 0.6221]","[0.4427, 0.6405]"
"[0.4496, 0.7283]","[0.4712, 0.7004]","[0.4775, 0.6531]","[0.4618, 0.6189]","[0.4426, 0.6059]","[0.4734, 0.5987]","[0.484, 0.5486]","[0.489, 0.5169]","[0.4922, 0.4904]","[0.4552, 0.5963]","[0.4506, 0.5377]","[0.4476, 0.5014]","[0.4444, 0.4726]","[0.4401, 0.6094]","[0.4365, 0.5681]","[0.4441, 0.5957]","[0.4485, 0.6213]","[0.4277, 0.6308]","[0.4282, 0.6054]","[0.4372, 0.6215]","[0.4431, 0.6398]"
"[0.4497, 0.7273]","[0.4715, 0.7]","[0.4779, 0.6531]","[0.462, 0.6193]","[0.4425, 0.6058]","[0.4737, 0.5989]","[0.4841, 0.5487]","[0.489, 0.5168]","[0.4922, 0.49]","[0.4556, 0.5966]","[0.4508, 0.538]","[0.4478, 0.5017]","[0.4447, 0.4726]","[0.4403, 0.6096]","[0.4368, 0.5678]","[0.4443, 0.5958]","[0.4483, 0.6215]","[0.4278, 0.6305]","[0.4289, 0.6055]","[0.4377, 0.6227]","[0.4431, 0.6412]"
"[0.4494, 0.7286]","[0.4715, 0.7002]","[0.4778, 0.6529]","[0.4625, 0.6184]","[0.4434, 0.6058]","[0.4735, 0.5999]","[0.4841, 0.549]","[0.4891, 0.517]","[0.4923, 0.4903]","[0.4555, 0.5975]","[0.4508, 0.5386]","[0.4477, 0.5017]","[0.4445, 0.4729]","[0.4404, 0.6104]","[0.4372, 0.5682]","[0.4444, 0.5962]","[0.4483, 0.6223]","[0.4279, 0.6315]","[0.4286, 0.6055]","[0.4374, 0.6219]","[0.4429, 0.6403]"
"[0.4498, 0.729]","[0.4711, 0.7002]","[0.4777, 0.6534]","[0.4629, 0.6191]","[0.4439, 0.6061]","[0.4732, 0.6002]","[0.4837, 0.5494]","[0.4887, 0.5177]","[0.492, 0.491]","[0.4553, 0.5977]","[0.4505, 0.5387]","[0.4475, 0.5022]","[0.4444, 0.4733]","[0.4403, 0.6105]","[0.4367, 0.5687]","[0.4444, 0.5964]","[0.4486, 0.6222]","[0.4279, 0.6319]","[0.4283, 0.6057]","[0.437, 0.6218]","[0.4423, 0.6404]"
