"[0.4539, 0.9453]","[0.5929, 0.8684]","[0.642, 0.7194]","[0.5765, 0.5782]","[0.4815, 0.5074]","[0.6248, 0.5487]","[0.692, 0.3583]","[0.7232, 0.2426]","[0.7462, 0.1409]","[0.5127, 0.5319]","[0.4977, 0.3167]","[0.4823, 0.177]","[0.4664, 0.0616]","[0.4129, 0.5682]","[0.3982, 0.4251]","[0.4346, 0.5229]","[0.4529, 0.6134]","[0.3221, 0.638]","[0.3173, 0.5275]","[0.3609, 0.5784]","[0.3909, 0.6419]"
"[0.4527, 0.9691]","[0.5937, 0.8715]","[0.64, 0.7062]","[0.5593, 0.5637]","[0.4561, 0.4962]","[0.6317, 0.5465]","[0.7034, 0.3568]","[0.7368, 0.2374]","[0.7572, 0.1383]","[0.5195, 0.5319]","[0.5018, 0.3141]","[0.4848, 0.177]","[0.4647, 0.0692]","[0.4188, 0.5677]","[0.3991, 0.4199]","[0.4379, 0.5196]","[0.4559, 0.6116]","[0.3277, 0.6348]","[0.3266, 0.5263]","[0.3687, 0.5832]","[0.3911, 0.6518]"
"[0.4546, 0.9745]","[0.5961, 0.8686]","[0.6449, 0.7044]","[0.5588, 0.5635]","[0.454, 0.4934]","[0.6377, 0.5423]","[0.7087, 0.3539]","[0.7416, 0.2352]","[0.7627, 0.1356]","[0.5241, 0.5295]","[0.5052, 0.3114]","[0.4888, 0.1739]","[0.47, 0.0646]","[0.422, 0.5652]","[0.4065, 0.422]","[0.446, 0.5259]","[0.4624, 0.6182]","[0.3293, 0.6309]","[0.3324, 0.5235]","[0.3728, 0.5857]","[0.3919, 0.6559]"
"[0.4522, 0.9736]","[0.5969, 0.8683]","[0.6493, 0.7088]","[0.5637, 0.5681]","[0.459, 0.4981]","[0.6344, 0.5454]","[0.7081, 0.355]","[0.7402, 0.2361]","[0.7592, 0.1349]","[0.5211, 0.5314]","[0.5061, 0.3127]","[0.49, 0.1749]","[0.4703, 0.0641]","[0.4202, 0.5658]","[0.4035, 0.4169]","[0.4447, 0.5213]","[0.4636, 0.6155]","[0.3285, 0.6308]","[0.33, 0.5268]","[0.3735, 0.5871]","[0.397, 0.656]"
"[0.4561, 0.9726]","[0.5967, 0.8661]","[0.6453, 0.7067]","[0.5602, 0.5686]","[0.4571, 0.4963]","[0.634, 0.541]","[0.7059, 0.3517]","[0.7385, 0.2333]","[0.7588, 0.1344]","[0.5213, 0.529]","[0.5028, 0.3124]","[0.4864, 0.1759]","[0.4672, 0.0676]","[0.4199, 0.5646]","[0.4033, 0.4192]","[0.4454, 0.5242]","[0.4646, 0.617]","[0.3281, 0.6303]","[0.3316, 0.529]","[0.3748, 0.5911]","[0.3964, 0.6591]"
"[0.4581, 0.9737]","[0.6, 0.8648]","[0.6469, 0.7067]","[0.56, 0.5686]","[0.4577, 0.495]","[0.6345, 0.5443]","[0.7088, 0.3535]","[0.7397, 0.2348]","[0.7579, 0.1344]","[0.5223, 0.5312]","[0.5046, 0.3131]","[0.4872, 0.177]","[0.4675, 0.0668]","[0.421, 0.5656]","[0.4039, 0.418]","[0.4438, 0.5221]","[0.4617, 0.6156]","[0.3293, 0.6308]","[0.3328, 0.5282]","[0.3737, 0.5898]","[0.3938, 0.6586]"
"[0.4578, 0.9729]","[0.5964, 0.8673]","[0.6483, 0.7075]","[0.5623, 0.5688]","[0.4565, 0.494]","[0.6373, 0.5403]","[0.7093, 0.3513]","[0.7418, 0.2348]","[0.7618, 0.1366]","[0.5236, 0.5289]","[0.5058, 0.3105]","[0.4891, 0.1757]","[0.4693, 0.0685]","[0.4218, 0.5646]","[0.4061, 0.4191]","[0.446, 0.5259]","[0.4633, 0.6201]","[0.3309, 0.6306]","[0.3342, 0.528]","[0.3754, 0.5923]","[0.3952, 0.6624]"
"[0.4561, 0.9703]","[0.5946, 0.8666]","[0.644, 0.7087]","[0.5607, 0.5705]","[0.4575, 0.4946]","[0.637, 0.54]","[0.7105, 0.3517]","[0.7417, 0.2353]","[0.76, 0.1369]","[0.524, 0.5278]","[0.5069, 0.3099]","[0.4896, 0.1752]","[0.4684, 0.0672]","[0.4218, 0.5635]","[0.4042, 0.4185]","[0.4471, 0.5264]","[0.4667, 0.6211]","[0.3308, 0.6297]","[0.3356, 0.5278]","[0.3784, 0.593]","[0.3996, 0.663]"
"[0.4561, 0.9669]","[0.5953, 0.8639]","[0.644, 0.7076]","[0.5626, 0.5697]","[0.4594, 0.4953]","[0.6368, 0.5401]","[0.7116, 0.3516]","[0.7431, 0.2353]","[0.7612, 0.1373]","[0.5241, 0.5278]","[0.507, 0.3101]","[0.4902, 0.1736]","[0.4696, 0.0651]","[0.4226, 0.5633]","[0.4055, 0.4219]","[0.4495, 0.5272]","[0.4713, 0.6206]","[0.3323, 0.6283]","[0.3373, 0.5311]","[0.3801, 0.5928]","[0.403, 0.6601]"
"[0.4545, 0.9694]","[0.5946, 0.8657]","[0.6436, 0.7079]","[0.561, 0.5668]","[0.4571, 0.4944]","[0.6356, 0.5444]","[0.712, 0.3544]","[0.743, 0.2369]","[0.7603, 0.1379]","[0.5235, 0.5323]","[0.5059, 0.3141]","[0.4891, 0.1767]","[0.4689, 0.0673]","[0.4227, 0.5679]","[0.4047, 0.4233]","[0.4504, 0.5239]","[0.4734, 0.6162]","[0.3319, 0.6325]","[0.3361, 0.5315]","[0.3801, 0.589]","[0.4054, 0.6549]"
"[0.454, 0.9728]","[0.5969, 0.8687]","[0.6476, 0.7046]","[0.5614, 0.5641]","[0.4521, 0.4982]","[0.6346, 0.5467]","[0.7096, 0.3548]","[0.7412, 0.2358]","[0.7586, 0.1365]","[0.5217, 0.5349]","[0.5038, 0.3165]","[0.4883, 0.1779]","[0.4667, 0.0691]","[0.4215, 0.57]","[0.402, 0.4247]","[0.4506, 0.5257]","[0.4732, 0.6185]","[0.3306, 0.6331]","[0.3344, 0.5279]","[0.3807, 0.5866]","[0.406, 0.6556]"
