[0.4954, 0.9389],[0.3781, 0.8274],[0.358, 0.659],[0.4713, 0.5548],[0.5828, 0.5234],[0.3649, 0.5224],[0.3139, 0.3312],[0.2939, 0.2073],[0.2836, 0.1026],[0.4829, 0.527],[0.5621, 0.3165],[0.6121, 0.1819],[0.6668, 0.0736],[0.5787, 0.5825],[0.6131, 0.4798],[0.5397, 0.5721],[0.5083, 0.6493],[0.6536, 0.6638],[0.6655, 0.5673],[0.5963, 0.6202],[0.552, 0.6854]
[0.489, 0.9622],[0.367, 0.8235],[0.3547, 0.6524],[0.4742, 0.5439],[0.5906, 0.5068],[0.3692, 0.5213],[0.3194, 0.3247],[0.2986, 0.2078],[0.2871, 0.1079],[0.4865, 0.524],[0.5673, 0.3162],[0.616, 0.1841],[0.6694, 0.0802],[0.5785, 0.5785],[0.6154, 0.4731],[0.5353, 0.5637],[0.4947, 0.6413],[0.6525, 0.659],[0.67, 0.5625],[0.5986, 0.6132],[0.5492, 0.6782]
[0.494, 0.9785],[0.3711, 0.8388],[0.3585, 0.666],[0.4773, 0.5524],[0.5948, 0.5112],[0.373, 0.5234],[0.3252, 0.3274],[0.3025, 0.211],[0.2881, 0.1108],[0.4896, 0.5268],[0.5719, 0.317],[0.6212, 0.1856],[0.6731, 0.0826],[0.5806, 0.5829],[0.6209, 0.4754],[0.5424, 0.5665],[0.5008, 0.6444],[0.6532, 0.6659],[0.6749, 0.5702],[0.606, 0.6227],[0.5575, 0.6892]
[0.4987, 0.981],[0.3738, 0.8429],[0.3577, 0.6691],[0.4748, 0.5576],[0.5868, 0.5145],[0.3763, 0.5219],[0.3288, 0.3268],[0.3068, 0.2105],[0.2936, 0.1114],[0.4934, 0.5256],[0.5733, 0.3157],[0.6225, 0.1855],[0.6756, 0.0849],[0.5848, 0.5811],[0.6246, 0.4716],[0.5476, 0.5663],[0.5084, 0.6455],[0.6582, 0.6628],[0.6772, 0.5686],[0.6083, 0.6249],[0.5623, 0.6909]
[0.4959, 0.986],[0.3727, 0.841],[0.3601, 0.6684],[0.4785, 0.5539],[0.5898, 0.5105],[0.3726, 0.5246],[0.3259, 0.3287],[0.3028, 0.2127],[0.2877, 0.113],[0.4885, 0.5272],[0.5686, 0.3161],[0.6194, 0.1857],[0.674, 0.0837],[0.5804, 0.5828],[0.6214, 0.4732],[0.5452, 0.5687],[0.5072, 0.6487],[0.6544, 0.6651],[0.6744, 0.568],[0.6071, 0.6231],[0.5636, 0.6884]
[0.4922, 0.9899],[0.3675, 0.842],[0.357, 0.6682],[0.4751, 0.5521],[0.5861, 0.5097],[0.3708, 0.5269],[0.3219, 0.3301],[0.2982, 0.2143],[0.2828, 0.1141],[0.4873, 0.5289],[0.5639, 0.3184],[0.6137, 0.1865],[0.6663, 0.0827],[0.5784, 0.5837],[0.6125, 0.4722],[0.5383, 0.5645],[0.5011, 0.6443],[0.652, 0.664],[0.6679, 0.563],[0.6003, 0.6113],[0.5548, 0.6743]
[0.4927, 0.9877],[0.3671, 0.8441],[0.3549, 0.6689],[0.473, 0.5507],[0.5876, 0.5024],[0.368, 0.5203],[0.3195, 0.3251],[0.2964, 0.2109],[0.2825, 0.1123],[0.4858, 0.5242],[0.5629, 0.3147],[0.6115, 0.1851],[0.6636, 0.0828],[0.5782, 0.5813],[0.6173, 0.47],[0.5398, 0.5658],[0.4997, 0.646],[0.6521, 0.6646],[0.671, 0.5699],[0.6012, 0.6228],[0.5539, 0.6869]
[0.4985, 0.9827],[0.3722, 0.8396],[0.3563, 0.6654],[0.4764, 0.5505],[0.5931, 0.5077],[0.3692, 0.5217],[0.3198, 0.3255],[0.2979, 0.2108],[0.2845, 0.1126],[0.4857, 0.5247],[0.5637, 0.3147],[0.6137, 0.1839],[0.6665, 0.0821],[0.5761, 0.5802],[0.6157, 0.471],[0.5407, 0.5641],[0.5028, 0.6423],[0.6485, 0.661],[0.667, 0.5672],[0.5997, 0.622],[0.5551, 0.6871]
[0.4941, 0.9816],[0.3673, 0.8404],[0.3547, 0.6657],[0.4747, 0.5517],[0.5889, 0.5114],[0.3658, 0.5172],[0.3176, 0.3242],[0.2952, 0.2106],[0.281, 0.1125],[0.4825, 0.5207],[0.563, 0.3123],[0.6133, 0.1844],[0.6663, 0.0839],[0.573, 0.5774],[0.6137, 0.4704],[0.5388, 0.5652],[0.5016, 0.642],[0.6451, 0.6595],[0.664, 0.5655],[0.5981, 0.6213],[0.556, 0.6851]
[0.4938, 0.9783],[0.369, 0.8383],[0.3534, 0.6619],[0.4781, 0.5488],[0.5969, 0.5083],[0.3659, 0.5219],[0.3162, 0.3267],[0.2936, 0.2123],[0.2795, 0.1142],[0.4819, 0.5238],[0.5609, 0.3129],[0.6103, 0.1835],[0.6638, 0.0834],[0.5722, 0.5778],[0.6135, 0.473],[0.5407, 0.5664],[0.5063, 0.6436],[0.6449, 0.6558],[0.6637, 0.5619],[0.6005, 0.618],[0.5629, 0.6832]
[0.4963, 0.982],[0.3699, 0.8415],[0.354, 0.6639],[0.4785, 0.55],[0.5985, 0.5089],[0.3662, 0.5237],[0.3178, 0.327],[0.2971, 0.2109],[0.2847, 0.1109],[0.483, 0.5249],[0.564, 0.3134],[0.614, 0.1839],[0.668, 0.0819],[0.5742, 0.5798],[0.6137, 0.4698],[0.5391, 0.5649],[0.5043, 0.6441],[0.6478, 0.6605],[0.6657, 0.5633],[0.6007, 0.6188],[0.561, 0.6854]
[0.4961, 0.9833],[0.3691, 0.8419],[0.3554, 0.6631],[0.4766, 0.5505],[0.5914, 0.512],[0.3668, 0.5206],[0.3179, 0.3249],[0.2974, 0.2091],[0.2859, 0.1097],[0.4831, 0.523],[0.5655, 0.3127],[0.6149, 0.1839],[0.6688, 0.0827],[0.5741, 0.5783],[0.6158, 0.4719],[0.5394, 0.5687],[0.5031, 0.6457],[0.648, 0.6591],[0.6677, 0.5658],[0.6017, 0.6217],[0.5616, 0.6842]
[0.4905, 0.9849],[0.3683, 0.838],[0.3562, 0.6603],[0.4729, 0.548],[0.5845, 0.5149],[0.367, 0.5266],[0.3191, 0.3307],[0.2971, 0.2135],[0.2829, 0.1123],[0.482, 0.5284],[0.5612, 0.3179],[0.6119, 0.1854],[0.666, 0.0819],[0.5723, 0.5819],[0.614, 0.4703],[0.5398, 0.5668],[0.503, 0.6483],[0.6451, 0.6614],[0.6643, 0.5643],[0.6017, 0.6197],[0.5628, 0.6864]
[0.4905, 0.9841],[0.3682, 0.8386],[0.3539, 0.6617],[0.4729, 0.5473],[0.5881, 0.511],[0.3647, 0.5267],[0.3171, 0.3271],[0.2942, 0.2094],[0.2797, 0.1085],[0.4804, 0.5297],[0.5594, 0.3158],[0.6098, 0.1827],[0.6641, 0.0783],[0.5714, 0.5846],[0.6137, 0.4688],[0.5395, 0.5653],[0.5031, 0.6473],[0.6446, 0.6654],[0.6641, 0.566],[0.6011, 0.6242],[0.5628, 0.6933]
[0.4863, 0.9797],[0.3651, 0.8363],[0.3549, 0.6602],[0.4732, 0.5475],[0.5871, 0.5087],[0.3636, 0.5224],[0.3152, 0.3249],[0.2919, 0.2076],[0.2771, 0.1081],[0.4793, 0.5255],[0.5578, 0.3122],[0.6079, 0.1807],[0.6615, 0.0796],[0.5705, 0.5807],[0.611, 0.4701],[0.5376, 0.5647],[0.5007, 0.6445],[0.6433, 0.6615],[0.6609, 0.5663],[0.5986, 0.6245],[0.5604, 0.6922]
[0.4897, 0.9826],[0.3657, 0.8429],[0.3508, 0.6676],[0.4734, 0.5538],[0.591, 0.5159],[0.3616, 0.5268],[0.3144, 0.3262],[0.2932, 0.2074],[0.2795, 0.1066],[0.4792, 0.527],[0.5572, 0.3128],[0.6075, 0.1811],[0.6601, 0.0806],[0.5705, 0.58],[0.6124, 0.4642],[0.5401, 0.5586],[0.5021, 0.6408],[0.6445, 0.6593],[0.6634, 0.565],[0.5997, 0.6227],[0.5572, 0.6921]
