[0.5098, 0.9173],[0.6418, 0.8567],[0.6656, 0.6956],[0.5581, 0.5838],[0.4526, 0.534],[0.6403, 0.5061],[0.6887, 0.3082],[0.7076, 0.1788],[0.7146, 0.075],[0.5156, 0.5139],[0.4446, 0.3057],[0.3928, 0.1748],[0.3487, 0.0647],[0.4227, 0.5707],[0.3853, 0.4616],[0.4466, 0.5575],[0.4836, 0.6334],[0.3482, 0.6549],[0.3425, 0.5611],[0.4063, 0.6282],[0.4561, 0.6925]
[0.5181, 0.962],[0.6455, 0.8579],[0.6584, 0.6794],[0.5494, 0.5644],[0.4433, 0.5235],[0.6401, 0.4961],[0.6897, 0.303],[0.709, 0.1767],[0.7156, 0.0756],[0.5172, 0.5032],[0.446, 0.2957],[0.3921, 0.1644],[0.3449, 0.0563],[0.4221, 0.5638],[0.3862, 0.4675],[0.4476, 0.5735],[0.4837, 0.6545],[0.3498, 0.6514],[0.3389, 0.5699],[0.4006, 0.6362],[0.4471, 0.6997]
[0.524, 0.9823],[0.6485, 0.8665],[0.6615, 0.6837],[0.5451, 0.5681],[0.4317, 0.5204],[0.6392, 0.4963],[0.6899, 0.2997],[0.71, 0.1755],[0.7167, 0.0733],[0.5154, 0.5047],[0.4408, 0.2939],[0.3898, 0.1631],[0.3434, 0.0569],[0.4209, 0.5664],[0.3829, 0.4612],[0.4497, 0.5696],[0.4866, 0.6545],[0.3509, 0.6533],[0.3361, 0.5633],[0.3966, 0.6267],[0.4413, 0.6906]
[0.5237, 0.9928],[0.6457, 0.8728],[0.6604, 0.6932],[0.5469, 0.5735],[0.4358, 0.517],[0.6399, 0.4996],[0.6905, 0.2997],[0.7095, 0.1747],[0.7163, 0.0713],[0.5186, 0.5064],[0.4421, 0.2957],[0.3912, 0.1664],[0.3463, 0.0601],[0.4251, 0.566],[0.384, 0.4652],[0.4527, 0.5711],[0.4931, 0.6545],[0.3544, 0.6503],[0.3372, 0.5591],[0.3964, 0.6196],[0.4418, 0.6822]
[0.5247, 0.9912],[0.6469, 0.8693],[0.6606, 0.689],[0.5409, 0.571],[0.4296, 0.5142],[0.6441, 0.4985],[0.6949, 0.2978],[0.7135, 0.1723],[0.7192, 0.0697],[0.5217, 0.5069],[0.4453, 0.2945],[0.3935, 0.1656],[0.3459, 0.0597],[0.4276, 0.5672],[0.3865, 0.4645],[0.4579, 0.5681],[0.4991, 0.6488],[0.3563, 0.6519],[0.3405, 0.5588],[0.4023, 0.6178],[0.4496, 0.679]
[0.5313, 0.9937],[0.6498, 0.874],[0.664, 0.6907],[0.5478, 0.5673],[0.4314, 0.5115],[0.6471, 0.499],[0.6978, 0.2976],[0.7168, 0.1723],[0.7223, 0.0688],[0.5253, 0.5068],[0.4479, 0.2948],[0.3975, 0.1661],[0.3503, 0.0599],[0.4321, 0.5673],[0.3912, 0.4668],[0.4639, 0.5707],[0.5049, 0.6522],[0.3616, 0.6524],[0.3448, 0.5578],[0.4068, 0.6173],[0.4538, 0.6803]
[0.5307, 0.9934],[0.6482, 0.8725],[0.6703, 0.6898],[0.5515, 0.5671],[0.4286, 0.5169],[0.6464, 0.4973],[0.6973, 0.2951],[0.716, 0.1709],[0.721, 0.0678],[0.5244, 0.5058],[0.4464, 0.2948],[0.3961, 0.1658],[0.3491, 0.0591],[0.4315, 0.5664],[0.3937, 0.4666],[0.4647, 0.5697],[0.5031, 0.6508],[0.3618, 0.651],[0.3452, 0.558],[0.4078, 0.6197],[0.4537, 0.6853]
[0.5328, 0.9969],[0.6507, 0.8775],[0.6756, 0.6918],[0.5519, 0.569],[0.4228, 0.5215],[0.6457, 0.4975],[0.6953, 0.2955],[0.7148, 0.1718],[0.7209, 0.0681],[0.5233, 0.5059],[0.4437, 0.2957],[0.3947, 0.166],[0.348, 0.0583],[0.4304, 0.5674],[0.3948, 0.4698],[0.4675, 0.5721],[0.5043, 0.6535],[0.361, 0.6528],[0.346, 0.5597],[0.4099, 0.6233],[0.4545, 0.6927]
[0.5342, 0.9954],[0.6513, 0.876],[0.6762, 0.6908],[0.5526, 0.5688],[0.4221, 0.52],[0.6478, 0.4972],[0.6976, 0.2961],[0.7155, 0.1729],[0.72, 0.0692],[0.5253, 0.5057],[0.4461, 0.2956],[0.3958, 0.1664],[0.3479, 0.0595],[0.4318, 0.5665],[0.3968, 0.4638],[0.4672, 0.5651],[0.5019, 0.6465],[0.3618, 0.6507],[0.3482, 0.5583],[0.4115, 0.6219],[0.455, 0.6908]
[0.5387, 0.9864],[0.6538, 0.8662],[0.6726, 0.6839],[0.5472, 0.566],[0.4199, 0.5184],[0.6497, 0.4938],[0.6997, 0.293],[0.7173, 0.1712],[0.7219, 0.0687],[0.527, 0.5041],[0.4496, 0.2939],[0.3992, 0.1661],[0.3512, 0.0594],[0.4334, 0.566],[0.3969, 0.4644],[0.4672, 0.5678],[0.503, 0.649],[0.3644, 0.6517],[0.3482, 0.5605],[0.4118, 0.6249],[0.4572, 0.6929]
