"[0.4945, 0.9103]","[0.3717, 0.8278]","[0.3427, 0.6627]","[0.4601, 0.5602]","[0.5791, 0.5382]","[0.3627, 0.5206]","[0.3202, 0.3307]","[0.3069, 0.2065]","[0.2999, 0.1018]","[0.4773, 0.5164]","[0.5386, 0.313]","[0.5806, 0.1808]","[0.624, 0.0722]","[0.5695, 0.5643]","[0.5988, 0.4748]","[0.5421, 0.5775]","[0.5161, 0.6577]","[0.6445, 0.6396]","[0.6616, 0.5585]","[0.6034, 0.6275]","[0.5629, 0.6979]"
"[0.4847, 0.9451]","[0.3697, 0.8285]","[0.3507, 0.6612]","[0.4677, 0.5529]","[0.585, 0.515]","[0.3574, 0.5086]","[0.3159, 0.3193]","[0.2999, 0.2009]","[0.2888, 0.1016]","[0.4695, 0.5122]","[0.5321, 0.3064]","[0.5743, 0.1786]","[0.6192, 0.0735]","[0.5583, 0.5666]","[0.5934, 0.4798]","[0.5288, 0.5835]","[0.4959, 0.6569]","[0.6297, 0.646]","[0.6547, 0.5591]","[0.5959, 0.6316]","[0.5548, 0.6999]"
"[0.484, 0.9646]","[0.3657, 0.8322]","[0.3465, 0.6638]","[0.4695, 0.5491]","[0.5888, 0.5076]","[0.3568, 0.5137]","[0.3165, 0.3198]","[0.2999, 0.2013]","[0.2876, 0.1009]","[0.4676, 0.5165]","[0.5301, 0.3057]","[0.5719, 0.1742]","[0.6168, 0.0706]","[0.5555, 0.5692]","[0.5976, 0.4872]","[0.5323, 0.5848]","[0.4981, 0.6613]","[0.6276, 0.6453]","[0.6534, 0.5618]","[0.5969, 0.6295]","[0.5584, 0.6987]"
"[0.4826, 0.9725]","[0.3617, 0.8409]","[0.3467, 0.6643]","[0.4707, 0.5513]","[0.5888, 0.511]","[0.3532, 0.5079]","[0.314, 0.3155]","[0.2974, 0.1986]","[0.2851, 0.1004]","[0.4647, 0.5113]","[0.5309, 0.3006]","[0.5733, 0.1715]","[0.6198, 0.0683]","[0.5529, 0.5657]","[0.5956, 0.4865]","[0.5253, 0.5847]","[0.4885, 0.6543]","[0.6246, 0.6441]","[0.6489, 0.5665]","[0.5893, 0.6328]","[0.5505, 0.694]"
"[0.484, 0.9742]","[0.3669, 0.8382]","[0.3457, 0.6656]","[0.467, 0.5506]","[0.5844, 0.5075]","[0.3505, 0.5092]","[0.3114, 0.3156]","[0.296, 0.1985]","[0.2848, 0.0995]","[0.4621, 0.5122]","[0.5292, 0.2997]","[0.5727, 0.1714]","[0.619, 0.0676]","[0.551, 0.5654]","[0.5949, 0.4835]","[0.5256, 0.582]","[0.4894, 0.6532]","[0.6236, 0.643]","[0.6485, 0.5658]","[0.5896, 0.6317]","[0.5517, 0.6935]"
"[0.4874, 0.9689]","[0.3688, 0.8338]","[0.3476, 0.6618]","[0.4695, 0.5482]","[0.5871, 0.5057]","[0.3518, 0.5084]","[0.3108, 0.3163]","[0.2944, 0.2]","[0.2821, 0.1017]","[0.4628, 0.5109]","[0.5298, 0.2991]","[0.5734, 0.1711]","[0.6195, 0.0691]","[0.5519, 0.563]","[0.5947, 0.4845]","[0.5255, 0.5831]","[0.4893, 0.6539]","[0.6245, 0.639]","[0.6477, 0.564]","[0.5909, 0.6321]","[0.5553, 0.6951]"
"[0.4877, 0.9662]","[0.3683, 0.8331]","[0.3501, 0.6605]","[0.4716, 0.5469]","[0.5857, 0.5056]","[0.3515, 0.5042]","[0.3123, 0.3122]","[0.2974, 0.1961]","[0.2866, 0.0976]","[0.4631, 0.5075]","[0.5304, 0.2973]","[0.5757, 0.1702]","[0.6233, 0.0693]","[0.5514, 0.5608]","[0.5956, 0.4848]","[0.5291, 0.5852]","[0.4941, 0.6567]","[0.623, 0.6364]","[0.6475, 0.5615]","[0.5929, 0.6318]","[0.5584, 0.6962]"
"[0.4843, 0.9629]","[0.3657, 0.8312]","[0.3485, 0.6604]","[0.4721, 0.5477]","[0.5875, 0.5034]","[0.3529, 0.5021]","[0.3136, 0.311]","[0.2985, 0.1958]","[0.2871, 0.0983]","[0.4641, 0.5073]","[0.5329, 0.2956]","[0.5761, 0.1701]","[0.6221, 0.0692]","[0.5518, 0.5629]","[0.5955, 0.482]","[0.5272, 0.5821]","[0.4922, 0.6504]","[0.6228, 0.6415]","[0.6474, 0.5627]","[0.5889, 0.6312]","[0.5515, 0.6925]"
"[0.4834, 0.9675]","[0.3652, 0.8377]","[0.3466, 0.6683]","[0.4687, 0.554]","[0.5843, 0.5055]","[0.3517, 0.5039]","[0.3127, 0.3119]","[0.2976, 0.1959]","[0.2862, 0.0984]","[0.4632, 0.5079]","[0.531, 0.2965]","[0.5741, 0.1684]","[0.6185, 0.0681]","[0.5511, 0.5626]","[0.592, 0.4822]","[0.5259, 0.5817]","[0.4917, 0.6521]","[0.6226, 0.6397]","[0.6461, 0.5614]","[0.5884, 0.6299]","[0.5515, 0.693]"
"[0.4847, 0.9667]","[0.3649, 0.8358]","[0.3438, 0.6665]","[0.4669, 0.5535]","[0.5884, 0.5058]","[0.3524, 0.5048]","[0.3113, 0.3122]","[0.2952, 0.196]","[0.2839, 0.0982]","[0.4642, 0.5086]","[0.5319, 0.2959]","[0.5729, 0.1675]","[0.6168, 0.0645]","[0.5525, 0.5637]","[0.592, 0.4793]","[0.5221, 0.5768]","[0.487, 0.6465]","[0.6238, 0.6434]","[0.645, 0.5624]","[0.5843, 0.628]","[0.5459, 0.6904]"
"[0.4832, 0.9688]","[0.3653, 0.8347]","[0.3442, 0.6674]","[0.4645, 0.5536]","[0.5838, 0.5061]","[0.3521, 0.5056]","[0.3112, 0.3134]","[0.295, 0.197]","[0.2832, 0.0983]","[0.464, 0.5088]","[0.5319, 0.2968]","[0.5724, 0.1691]","[0.6155, 0.0661]","[0.553, 0.5636]","[0.5908, 0.4792]","[0.521, 0.5774]","[0.4864, 0.6468]","[0.6248, 0.6438]","[0.6461, 0.5623]","[0.5855, 0.6274]","[0.5473, 0.6889]"
