[0.5221, 0.9415],[0.4057, 0.9216],[0.3716, 0.8306],[0.4755, 0.7265],[0.5803, 0.6533],[0.3268, 0.5755],[0.24, 0.3815],[0.1977, 0.2478],[0.1684, 0.1352],[0.4552, 0.5492],[0.438, 0.3226],[0.4454, 0.1729],[0.4458, 0.0421],[0.5695, 0.587],[0.6319, 0.3922],[0.6698, 0.2501],[0.6975, 0.1318],[0.6749, 0.6738],[0.7156, 0.5711],[0.6877, 0.6172],[0.6635, 0.6871]
[0.511, 1.0252],[0.3911, 0.9651],[0.3545, 0.8342],[0.4741, 0.7163],[0.5836, 0.6317],[0.3241, 0.5877],[0.2452, 0.3873],[0.2016, 0.2522],[0.1642, 0.1367],[0.4554, 0.5561],[0.446, 0.321],[0.4581, 0.1682],[0.4569, 0.0429],[0.5686, 0.5916],[0.6362, 0.388],[0.6834, 0.251],[0.7056, 0.1336],[0.6705, 0.6798],[0.7184, 0.5544],[0.6967, 0.5992],[0.667, 0.6668]
[0.5055, 1.0434],[0.3907, 0.9655],[0.3581, 0.8126],[0.4909, 0.695],[0.6099, 0.6194],[0.3269, 0.5831],[0.2403, 0.38],[0.1978, 0.2481],[0.1657, 0.1329],[0.4623, 0.5512],[0.4548, 0.3117],[0.4662, 0.1655],[0.468, 0.0411],[0.5749, 0.5871],[0.6466, 0.3847],[0.6882, 0.2541],[0.7095, 0.1373],[0.675, 0.6736],[0.715, 0.5561],[0.6944, 0.6062],[0.6686, 0.6736]
[0.5256, 1.0644],[0.4066, 0.9832],[0.3721, 0.8228],[0.5062, 0.6949],[0.6294, 0.6128],[0.3289, 0.5867],[0.2428, 0.3799],[0.2005, 0.2467],[0.17, 0.1317],[0.4638, 0.5523],[0.4581, 0.3129],[0.4683, 0.1627],[0.4722, 0.0396],[0.5792, 0.5892],[0.6535, 0.3856],[0.6933, 0.2543],[0.7168, 0.1382],[0.6804, 0.6756],[0.7214, 0.5688],[0.7052, 0.6081],[0.6876, 0.6617]
[0.523, 1.0645],[0.4083, 0.9851],[0.3673, 0.8301],[0.4997, 0.6989],[0.6332, 0.6219],[0.334, 0.5857],[0.2462, 0.3774],[0.2025, 0.2452],[0.1717, 0.1308],[0.4694, 0.5517],[0.4586, 0.3116],[0.4704, 0.1633],[0.4776, 0.0414],[0.5836, 0.5868],[0.6533, 0.3864],[0.6928, 0.259],[0.7148, 0.1464],[0.6855, 0.6708],[0.7239, 0.5564],[0.7042, 0.6003],[0.6814, 0.6628]
[0.5217, 1.069],[0.4083, 0.9843],[0.37, 0.826],[0.5067, 0.6939],[0.6421, 0.6179],[0.3341, 0.5845],[0.2462, 0.3758],[0.2036, 0.2435],[0.1751, 0.1282],[0.4696, 0.5513],[0.461, 0.3108],[0.4733, 0.1619],[0.482, 0.04],[0.5843, 0.5892],[0.6562, 0.39],[0.6949, 0.2607],[0.7185, 0.146],[0.6857, 0.6764],[0.7265, 0.5648],[0.7074, 0.609],[0.6867, 0.6704]
[0.5219, 1.0805],[0.4068, 0.9932],[0.3691, 0.8315],[0.5027, 0.6997],[0.6321, 0.62],[0.3344, 0.5888],[0.2479, 0.3802],[0.2062, 0.2475],[0.1778, 0.1312],[0.4693, 0.556],[0.461, 0.3116],[0.4747, 0.1613],[0.4839, 0.0392],[0.5836, 0.5945],[0.6588, 0.3911],[0.6983, 0.2613],[0.7207, 0.1457],[0.6855, 0.6844],[0.7305, 0.5678],[0.7062, 0.6118],[0.6783, 0.6748]
[0.5317, 1.0797],[0.4147, 0.9968],[0.3681, 0.8392],[0.4962, 0.7016],[0.6294, 0.62],[0.3404, 0.5887],[0.2542, 0.3784],[0.2118, 0.2465],[0.1836, 0.1322],[0.4765, 0.5541],[0.4673, 0.3111],[0.4792, 0.162],[0.4875, 0.0407],[0.5908, 0.5923],[0.6621, 0.3891],[0.7018, 0.2597],[0.7254, 0.1469],[0.692, 0.6809],[0.7351, 0.5695],[0.7207, 0.6092],[0.7016, 0.6668]
[0.5226, 1.0789],[0.4144, 0.9926],[0.3742, 0.8316],[0.5024, 0.698],[0.6363, 0.6246],[0.3408, 0.5866],[0.2555, 0.3789],[0.2133, 0.2478],[0.1847, 0.1332],[0.4763, 0.5524],[0.4676, 0.3117],[0.4794, 0.1635],[0.4881, 0.0418],[0.5909, 0.5899],[0.6636, 0.3883],[0.7034, 0.2613],[0.7275, 0.1486],[0.6928, 0.6775],[0.7389, 0.5681],[0.724, 0.6087],[0.7054, 0.6659]
[0.5265, 1.0722],[0.4125, 0.9899],[0.3689, 0.8319],[0.498, 0.6981],[0.6298, 0.621],[0.3385, 0.5867],[0.2536, 0.3775],[0.2123, 0.2458],[0.1847, 0.1297],[0.4761, 0.5514],[0.4696, 0.3096],[0.4809, 0.162],[0.4883, 0.04],[0.5915, 0.5902],[0.6642, 0.3885],[0.7036, 0.2607],[0.7287, 0.148],[0.6926, 0.6798],[0.7377, 0.5733],[0.7227, 0.6133],[0.7043, 0.6697]
