[0.4553, 1.0],[0.6029, 0.9955],[0.6065, 0.8052],[0.4691, 0.6582],[0.3354, 0.5743],[0.6491, 0.5286],[0.7155, 0.2949],[0.7489, 0.1404],[0.7679, 0.0062],[0.5031, 0.5087],[0.4959, 0.257],[0.4784, 0.0875],[0.4666, 0.0],[0.3771, 0.5581],[0.2778, 0.3206],[0.2161, 0.1806],[0.1739, 0.058],[0.2753, 0.6672],[0.2367, 0.526],[0.2902, 0.5712],[0.3473, 0.6337]
[0.4666, 1.0],[0.6029, 1.0],[0.6121, 0.7974],[0.4594, 0.6452],[0.3215, 0.5581],[0.6471, 0.5252],[0.7145, 0.2836],[0.7505, 0.1349],[0.769, 0.0045],[0.501, 0.509],[0.4897, 0.2472],[0.4758, 0.08],[0.464, 0.0],[0.3786, 0.5593],[0.2753, 0.3285],[0.2171, 0.1769],[0.1775, 0.0528],[0.2855, 0.6539],[0.2429, 0.5237],[0.284, 0.5801],[0.3323, 0.6516]
[0.4589, 1.0],[0.6013, 1.0],[0.6152, 0.7985],[0.4625, 0.6348],[0.3226, 0.5422],[0.6512, 0.5252],[0.7145, 0.2787],[0.7479, 0.1314],[0.7679, 0.0],[0.5051, 0.5095],[0.4938, 0.2428],[0.4784, 0.0765],[0.4661, 0.0],[0.3812, 0.5564],[0.2773, 0.327],[0.2218, 0.1769],[0.1811, 0.0525],[0.2871, 0.6452],[0.2423, 0.5174],[0.2819, 0.5871],[0.3236, 0.6715]
[0.4635, 1.0],[0.6003, 1.0],[0.6183, 0.8],[0.4619, 0.6409],[0.3159, 0.5558],[0.6497, 0.5249],[0.7165, 0.2796],[0.7505, 0.1343],[0.771, 0.0],[0.5021, 0.511],[0.4943, 0.2448],[0.4815, 0.08],[0.4702, 0.0],[0.3791, 0.5602],[0.2799, 0.3339],[0.2243, 0.1818],[0.1837, 0.0557],[0.2871, 0.6504],[0.247, 0.5214],[0.285, 0.5882],[0.3251, 0.671]
[0.4594, 1.0],[0.6023, 1.0],[0.625, 0.8043],[0.4707, 0.6394],[0.321, 0.555],[0.6553, 0.5263],[0.7181, 0.2816],[0.751, 0.1358],[0.7715, 0.0018],[0.5077, 0.5104],[0.4964, 0.2451],[0.4825, 0.0802],[0.4707, 0.0],[0.3833, 0.559],[0.2825, 0.3316],[0.2274, 0.18],[0.1863, 0.0545],[0.2897, 0.6487],[0.2501, 0.5229],[0.2886, 0.594],[0.3293, 0.6796]
[0.4661, 1.0],[0.6049, 1.0],[0.627, 0.8043],[0.4661, 0.6467],[0.3154, 0.5625],[0.6543, 0.5231],[0.717, 0.2799],[0.7505, 0.1346],[0.7721, 0.0013],[0.5057, 0.5095],[0.4923, 0.2443],[0.4789, 0.0817],[0.4671, 0.0],[0.3827, 0.5596],[0.2814, 0.3342],[0.2233, 0.1821],[0.1801, 0.0562],[0.2897, 0.6499],[0.2501, 0.5234],[0.2897, 0.5914],[0.3313, 0.675]
[0.4625, 1.0],[0.6003, 1.0],[0.6209, 0.8098],[0.464, 0.6519],[0.3159, 0.5631],[0.6538, 0.5266],[0.7165, 0.281],[0.7494, 0.1352],[0.7695, 0.0],[0.5067, 0.5116],[0.4943, 0.2443],[0.4794, 0.0817],[0.4671, 0.0],[0.3827, 0.559],[0.284, 0.3337],[0.229, 0.185],[0.1868, 0.0591],[0.2897, 0.6475],[0.2506, 0.5208],[0.2886, 0.5946],[0.3262, 0.6822]
[0.465, 1.0],[0.6003, 1.0],[0.6167, 0.8116],[0.4604, 0.6548],[0.3138, 0.5639],[0.6533, 0.5246],[0.7155, 0.2825],[0.7489, 0.1372],[0.771, 0.0024],[0.5072, 0.5119],[0.4933, 0.246],[0.4774, 0.0831],[0.4655, 0.0],[0.3827, 0.5613],[0.2845, 0.3366],[0.2264, 0.1861],[0.1847, 0.0588],[0.2897, 0.651],[0.249, 0.5234],[0.2881, 0.5908],[0.3293, 0.6744]
[0.465, 1.0],[0.6003, 1.0],[0.6167, 0.813],[0.4563, 0.6548],[0.3102, 0.5605],[0.6512, 0.5281],[0.7145, 0.2825],[0.7474, 0.1367],[0.7679, 0.0013],[0.5046, 0.5153],[0.4923, 0.2463],[0.4769, 0.0834],[0.464, 0.0],[0.3812, 0.5648],[0.2835, 0.3371],[0.2279, 0.1884],[0.1858, 0.062],[0.2886, 0.6556],[0.2501, 0.5246],[0.2881, 0.5972],[0.3262, 0.6843]
[0.4676, 1.0],[0.6065, 1.0],[0.6229, 0.8052],[0.4619, 0.6493],[0.3179, 0.561],[0.6527, 0.5237],[0.7165, 0.2793],[0.7484, 0.1341],[0.7679, 0.0],[0.5057, 0.5121],[0.4943, 0.2463],[0.4794, 0.0823],[0.4661, 0.0],[0.3822, 0.5634],[0.283, 0.3371],[0.2279, 0.1887],[0.1868, 0.0623],[0.2897, 0.6568],[0.2506, 0.5223],[0.2902, 0.5914],[0.3303, 0.6762]
