[0.681, 1.0],[0.5833, 1.0],[0.5771, 1.0],[0.7037, 0.9938],[0.8101, 0.9443],[0.5417, 0.9036],[0.4897, 0.7352],[0.4625, 0.6183],[0.4398, 0.5214],[0.6502, 0.8833],[0.6512, 0.6921],[0.662, 0.5608],[0.6646, 0.4531],[0.7397, 0.916],[0.8065, 0.7523],[0.8482, 0.6406],[0.8754, 0.5425],[0.8209, 0.9941],[0.8554, 0.9056],[0.8327, 0.9623],[0.805, 1.0]
[0.6764, 1.0],[0.5828, 1.0],[0.5818, 1.0],[0.7145, 0.9883],[0.823, 0.9409],[0.5417, 0.9024],[0.4866, 0.7239],[0.4563, 0.6099],[0.4347, 0.5136],[0.6522, 0.885],[0.6538, 0.6811],[0.6625, 0.555],[0.6687, 0.4531],[0.7402, 0.9209],[0.806, 0.7476],[0.8441, 0.6418],[0.8687, 0.5457],[0.8189, 1.0],[0.8533, 0.8998],[0.8312, 0.9493],[0.7993, 1.0]
[0.6707, 1.0],[0.5823, 1.0],[0.5843, 1.0],[0.7129, 1.0],[0.8225, 0.9481],[0.5406, 0.9038],[0.4825, 0.7251],[0.4527, 0.6137],[0.4362, 0.5176],[0.6512, 0.885],[0.6491, 0.6782],[0.6589, 0.5518],[0.6682, 0.4514],[0.7402, 0.9212],[0.805, 0.7482],[0.8405, 0.6432],[0.8646, 0.5472],[0.8189, 1.0],[0.8528, 0.9004],[0.8338, 0.9467],[0.8081, 1.0]
[0.6723, 1.0],[0.5833, 1.0],[0.5761, 1.0],[0.7073, 1.0],[0.824, 0.9522],[0.5391, 0.9021],[0.482, 0.7236],[0.4532, 0.6134],[0.4362, 0.5197],[0.6502, 0.8839],[0.6461, 0.6779],[0.6548, 0.5524],[0.6641, 0.452],[0.7412, 0.9232],[0.8024, 0.752],[0.8384, 0.6464],[0.8662, 0.5512],[0.8189, 1.0],[0.8513, 0.9076],[0.8348, 0.9533],[0.8142, 1.0]
[0.6723, 1.0],[0.5854, 1.0],[0.5766, 1.0],[0.7062, 1.0],[0.8209, 0.9504],[0.5386, 0.9047],[0.482, 0.7251],[0.4537, 0.6154],[0.4362, 0.5214],[0.6497, 0.8847],[0.6461, 0.6779],[0.6558, 0.5529],[0.6656, 0.4511],[0.7407, 0.9241],[0.8029, 0.7528],[0.8399, 0.6487],[0.8687, 0.5547],[0.8178, 1.0],[0.8523, 0.9096],[0.8379, 0.9545],[0.8194, 1.0]
[0.6718, 1.0],[0.5838, 1.0],[0.573, 1.0],[0.7006, 1.0],[0.8147, 0.951],[0.537, 0.9047],[0.4815, 0.7248],[0.4542, 0.6154],[0.4383, 0.5208],[0.6481, 0.8845],[0.6435, 0.6779],[0.6538, 0.5532],[0.6646, 0.452],[0.7397, 0.9224],[0.8039, 0.752],[0.841, 0.6478],[0.8693, 0.5532],[0.8178, 1.0],[0.8533, 0.9076],[0.8369, 0.9533],[0.8168, 1.0]
[0.6713, 1.0],[0.5833, 1.0],[0.5746, 1.0],[0.7026, 1.0],[0.8173, 0.9527],[0.5365, 0.9047],[0.482, 0.7245],[0.4547, 0.6148],[0.4388, 0.5197],[0.6481, 0.885],[0.644, 0.6782],[0.6548, 0.5529],[0.6656, 0.4514],[0.7391, 0.9238],[0.8034, 0.7525],[0.841, 0.6487],[0.8698, 0.5535],[0.8178, 1.0],[0.8523, 0.9108],[0.8363, 0.9548],[0.8163, 1.0]
[0.6702, 1.0],[0.5807, 1.0],[0.5725, 1.0],[0.7001, 1.0],[0.8142, 0.9519],[0.537, 0.9056],[0.481, 0.7248],[0.4532, 0.6148],[0.4373, 0.52],[0.6486, 0.8868],[0.644, 0.6773],[0.6527, 0.5526],[0.662, 0.4514],[0.7386, 0.9241],[0.8029, 0.7523],[0.8394, 0.6481],[0.8667, 0.5521],[0.8168, 1.0],[0.8502, 0.9073],[0.8322, 0.9548],[0.8091, 1.0]
[0.6697, 1.0],[0.5797, 1.0],[0.5735, 1.0],[0.7073, 1.0],[0.8261, 0.9553],[0.536, 0.9033],[0.4799, 0.7222],[0.4511, 0.612],[0.4352, 0.5168],[0.6481, 0.8868],[0.6425, 0.6785],[0.6512, 0.5524],[0.6625, 0.4523],[0.7381, 0.9247],[0.8009, 0.7551],[0.8384, 0.6504],[0.8657, 0.5526],[0.8158, 1.0],[0.8471, 0.9088],[0.8286, 0.9594],[0.8045, 1.0]
[0.6702, 1.0],[0.5787, 1.0],[0.5689, 1.0],[0.7006, 1.0],[0.8168, 0.9556],[0.536, 0.9041],[0.4769, 0.7227],[0.4486, 0.6125],[0.4321, 0.5162],[0.6481, 0.8874],[0.643, 0.6799],[0.6522, 0.5544],[0.6625, 0.4517],[0.7381, 0.9264],[0.8024, 0.7578],[0.8384, 0.653],[0.8636, 0.5553],[0.8163, 1.0],[0.8482, 0.9085],[0.825, 0.9533],[0.7947, 1.0]
[0.6707, 1.0],[0.5797, 1.0],[0.5694, 1.0],[0.7001, 1.0],[0.8163, 0.955],[0.536, 0.9044],[0.4789, 0.7242],[0.4501, 0.6137],[0.4337, 0.5179],[0.6481, 0.8862],[0.6435, 0.6799],[0.6527, 0.5547],[0.6625, 0.452],[0.7391, 0.9258],[0.8029, 0.7563],[0.8384, 0.6525],[0.8657, 0.5558],[0.8178, 1.0],[0.8497, 0.9102],[0.8302, 0.9565],[0.806, 1.0]
