"[0.414, 0.8198]","[0.3003, 0.7313]","[0.262, 0.6056]","[0.2667, 0.4948]","[0.264, 0.4177]","[0.294, 0.5331]","[0.2364, 0.3399]","[0.2115, 0.2055]","[0.1939, 0.0925]","[0.4235, 0.5259]","[0.4307, 0.3]","[0.4457, 0.1364]","[0.4535, 0.0046]","[0.5384, 0.5693]","[0.6193, 0.3842]","[0.6609, 0.2387]","[0.6886, 0.1252]","[0.6359, 0.6402]","[0.6898, 0.5851]","[0.6837, 0.5725]","[0.6745, 0.5725]"
"[0.4578, 0.8875]","[0.3486, 0.8744]","[0.3129, 0.8089]","[0.407, 0.7493]","[0.5119, 0.6994]","[0.3042, 0.5496]","[0.2441, 0.3466]","[0.2137, 0.2059]","[0.1993, 0.0841]","[0.4377, 0.5259]","[0.4339, 0.2896]","[0.4495, 0.1169]","[0.4608, -0.0247]","[0.5578, 0.5673]","[0.6394, 0.3777]","[0.6935, 0.2397]","[0.7335, 0.1309]","[0.6581, 0.6496]","[0.694, 0.5971]","[0.6559, 0.6497]","[0.6258, 0.7196]"
"[0.5194, 0.9918]","[0.4012, 0.9712]","[0.3539, 0.8667]","[0.4655, 0.742]","[0.5803, 0.6449]","[0.311, 0.5753]","[0.2464, 0.358]","[0.2183, 0.2088]","[0.1946, 0.0761]","[0.445, 0.5456]","[0.4435, 0.3006]","[0.4644, 0.1345]","[0.4749, -0.016]","[0.5609, 0.582]","[0.6359, 0.3884]","[0.7027, 0.2474]","[0.7538, 0.1162]","[0.6646, 0.6679]","[0.6888, 0.5807]","[0.6603, 0.6607]","[0.636, 0.7473]"
"[0.4894, 1.0402]","[0.3815, 0.9855]","[0.3417, 0.8553]","[0.4657, 0.7343]","[0.5978, 0.6507]","[0.3051, 0.5851]","[0.2398, 0.3569]","[0.2155, 0.2046]","[0.1961, 0.0748]","[0.4416, 0.5528]","[0.4417, 0.2982]","[0.4601, 0.1235]","[0.4647, -0.0243]","[0.556, 0.5879]","[0.639, 0.392]","[0.7058, 0.2476]","[0.7466, 0.1207]","[0.6619, 0.6747]","[0.6973, 0.5888]","[0.6732, 0.6598]","[0.6425, 0.7436]"
"[0.4892, 1.0634]","[0.3818, 0.9986]","[0.3423, 0.8626]","[0.4664, 0.7369]","[0.6008, 0.65]","[0.3036, 0.5817]","[0.2374, 0.352]","[0.2143, 0.2016]","[0.1953, 0.0718]","[0.4424, 0.5554]","[0.4484, 0.2959]","[0.4671, 0.1273]","[0.4719, -0.0207]","[0.5561, 0.597]","[0.6388, 0.3962]","[0.7021, 0.2565]","[0.7432, 0.1239]","[0.6592, 0.6928]","[0.6977, 0.5883]","[0.6738, 0.6546]","[0.646, 0.7346]"
"[0.4866, 1.0676]","[0.3785, 1.002]","[0.3398, 0.8584]","[0.4725, 0.7289]","[0.6141, 0.6444]","[0.3028, 0.5775]","[0.2348, 0.3465]","[0.212, 0.1957]","[0.1945, 0.0653]","[0.4441, 0.5494]","[0.4501, 0.2847]","[0.4711, 0.1103]","[0.4802, -0.0449]","[0.558, 0.5907]","[0.637, 0.3914]","[0.6975, 0.2545]","[0.738, 0.1229]","[0.6616, 0.6876]","[0.6932, 0.5818]","[0.6694, 0.6534]","[0.6424, 0.7373]"
"[0.4853, 1.083]","[0.3752, 1.0103]","[0.3364, 0.8593]","[0.4697, 0.733]","[0.6116, 0.6509]","[0.3003, 0.5829]","[0.2336, 0.3499]","[0.2124, 0.1994]","[0.1963, 0.0678]","[0.4415, 0.5539]","[0.447, 0.2896]","[0.4658, 0.1211]","[0.4728, -0.0274]","[0.5562, 0.5956]","[0.6385, 0.394]","[0.6985, 0.2582]","[0.739, 0.1288]","[0.6596, 0.6921]","[0.6927, 0.5875]","[0.6691, 0.6587]","[0.6439, 0.7408]"
"[0.486, 1.0846]","[0.377, 1.0073]","[0.337, 0.8554]","[0.4704, 0.7243]","[0.6143, 0.6409]","[0.3008, 0.5802]","[0.2325, 0.3469]","[0.2108, 0.1972]","[0.1955, 0.0681]","[0.4415, 0.5535]","[0.4447, 0.2915]","[0.4629, 0.1289]","[0.4713, -0.0134]","[0.5564, 0.5958]","[0.6403, 0.3952]","[0.6968, 0.2606]","[0.7345, 0.1322]","[0.6597, 0.6933]","[0.6918, 0.5829]","[0.6659, 0.6514]","[0.6384, 0.7319]"
"[0.4773, 1.0839]","[0.3723, 1.0063]","[0.3345, 0.854]","[0.472, 0.721]","[0.6194, 0.6369]","[0.2992, 0.5787]","[0.2321, 0.3452]","[0.2102, 0.1952]","[0.1951, 0.0658]","[0.4403, 0.5515]","[0.4462, 0.2876]","[0.4673, 0.122]","[0.4785, -0.0231]","[0.5544, 0.5944]","[0.6394, 0.3936]","[0.695, 0.2596]","[0.7319, 0.131]","[0.657, 0.6927]","[0.692, 0.5847]","[0.6674, 0.6546]","[0.6414, 0.7352]"
"[0.4798, 1.0907]","[0.3698, 1.0119]","[0.3301, 0.8559]","[0.4751, 0.7249]","[0.6265, 0.6442]","[0.2987, 0.5793]","[0.2309, 0.3448]","[0.2079, 0.1948]","[0.1918, 0.0651]","[0.4417, 0.5508]","[0.4466, 0.2871]","[0.4646, 0.1212]","[0.4735, -0.0242]","[0.5563, 0.5932]","[0.6411, 0.3924]","[0.6954, 0.2582]","[0.7314, 0.1293]","[0.6581, 0.6929]","[0.6937, 0.5862]","[0.6704, 0.658]","[0.6448, 0.7409]"
"[0.4798, 1.0923]","[0.3715, 1.013]","[0.3326, 0.8561]","[0.4747, 0.7204]","[0.6243, 0.6362]","[0.2984, 0.5773]","[0.2298, 0.3433]","[0.2075, 0.1933]","[0.1927, 0.0643]","[0.4416, 0.5504]","[0.4459, 0.2892]","[0.4645, 0.1269]","[0.4744, -0.0149]","[0.5575, 0.5941]","[0.6413, 0.3928]","[0.6942, 0.2587]","[0.7305, 0.1299]","[0.6604, 0.6938]","[0.6931, 0.586]","[0.6671, 0.6577]","[0.6412, 0.7394]"
