"[0.5033, 0.9205]","[0.5937, 0.8779]","[0.6092, 0.764]","[0.509, 0.6656]","[0.414, 0.601]","[0.6369, 0.5592]","[0.681, 0.3872]","[0.7014, 0.2788]","[0.7125, 0.1818]","[0.5371, 0.5417]","[0.5368, 0.3523]","[0.5281, 0.2302]","[0.5216, 0.132]","[0.4512, 0.5764]","[0.3968, 0.3995]","[0.3581, 0.2959]","[0.3309, 0.206]","[0.379, 0.6519]","[0.3551, 0.5644]","[0.3735, 0.6118]","[0.397, 0.6689]"
"[0.4939, 0.9598]","[0.5876, 0.8951]","[0.6031, 0.7641]","[0.5015, 0.6624]","[0.4031, 0.6003]","[0.6408, 0.5589]","[0.6819, 0.3838]","[0.7033, 0.2754]","[0.7134, 0.1801]","[0.5389, 0.5425]","[0.5334, 0.3497]","[0.5233, 0.2269]","[0.5147, 0.1286]","[0.451, 0.575]","[0.3951, 0.3988]","[0.3617, 0.2934]","[0.3372, 0.2047]","[0.3819, 0.645]","[0.3577, 0.5587]","[0.374, 0.6154]","[0.391, 0.6808]"
"[0.4986, 0.9704]","[0.5928, 0.8949]","[0.6096, 0.7554]","[0.5011, 0.6488]","[0.3968, 0.5852]","[0.6422, 0.5541]","[0.6844, 0.3802]","[0.7046, 0.2729]","[0.7143, 0.1755]","[0.54, 0.5404]","[0.5332, 0.3477]","[0.5211, 0.2266]","[0.5105, 0.1255]","[0.4516, 0.5727]","[0.3943, 0.4015]","[0.3607, 0.2944]","[0.3352, 0.2033]","[0.382, 0.6382]","[0.3572, 0.559]","[0.3771, 0.6196]","[0.3973, 0.6876]"
"[0.4985, 0.9729]","[0.5929, 0.9004]","[0.6082, 0.7627]","[0.502, 0.656]","[0.3971, 0.5871]","[0.6433, 0.5544]","[0.6845, 0.3795]","[0.7041, 0.2724]","[0.7146, 0.1747]","[0.5413, 0.542]","[0.5327, 0.3479]","[0.5198, 0.2263]","[0.5087, 0.1253]","[0.4515, 0.5732]","[0.3952, 0.4018]","[0.3602, 0.2958]","[0.3339, 0.2063]","[0.3816, 0.6353]","[0.3588, 0.5589]","[0.3789, 0.6202]","[0.3984, 0.6886]"
"[0.499, 0.9746]","[0.5959, 0.8989]","[0.6135, 0.7596]","[0.5053, 0.6529]","[0.4007, 0.5872]","[0.6427, 0.5549]","[0.685, 0.3802]","[0.705, 0.2735]","[0.716, 0.1762]","[0.5407, 0.5425]","[0.5328, 0.3482]","[0.5198, 0.2272]","[0.5088, 0.1255]","[0.4515, 0.574]","[0.3951, 0.4028]","[0.361, 0.2964]","[0.3342, 0.2052]","[0.382, 0.6383]","[0.3609, 0.5584]","[0.3834, 0.6193]","[0.4029, 0.6881]"
"[0.4991, 0.9768]","[0.5974, 0.9003]","[0.6166, 0.7605]","[0.5069, 0.6551]","[0.3987, 0.5922]","[0.6442, 0.5561]","[0.6865, 0.3818]","[0.7065, 0.2753]","[0.7179, 0.1777]","[0.5411, 0.543]","[0.5333, 0.3487]","[0.52, 0.2274]","[0.5088, 0.1256]","[0.4517, 0.5746]","[0.3948, 0.4026]","[0.3607, 0.2961]","[0.3344, 0.2048]","[0.3825, 0.6399]","[0.3625, 0.5583]","[0.3861, 0.62]","[0.4068, 0.69]"
"[0.4986, 0.9714]","[0.5956, 0.8968]","[0.6141, 0.7612]","[0.5023, 0.6541]","[0.3948, 0.5863]","[0.6426, 0.5552]","[0.6852, 0.3806]","[0.706, 0.2742]","[0.7181, 0.1767]","[0.5403, 0.5426]","[0.5332, 0.3474]","[0.5211, 0.2261]","[0.5105, 0.1252]","[0.4516, 0.5741]","[0.3942, 0.4024]","[0.3606, 0.2955]","[0.3347, 0.2053]","[0.3822, 0.637]","[0.3635, 0.5575]","[0.3865, 0.6204]","[0.4072, 0.6907]"
"[0.4983, 0.9706]","[0.5986, 0.8956]","[0.6209, 0.7592]","[0.5082, 0.6556]","[0.3997, 0.5928]","[0.6421, 0.5556]","[0.6856, 0.3807]","[0.7062, 0.2743]","[0.7183, 0.1773]","[0.5388, 0.5423]","[0.5327, 0.347]","[0.5213, 0.2266]","[0.5118, 0.1261]","[0.4505, 0.5731]","[0.3931, 0.4012]","[0.3601, 0.2946]","[0.3349, 0.204]","[0.3813, 0.6367]","[0.3626, 0.555]","[0.3882, 0.6167]","[0.411, 0.6869]"
"[0.4997, 0.972]","[0.5994, 0.8942]","[0.6239, 0.757]","[0.5078, 0.6563]","[0.3998, 0.5978]","[0.6427, 0.5551]","[0.686, 0.3801]","[0.7069, 0.2732]","[0.7184, 0.1769]","[0.5381, 0.5415]","[0.5325, 0.347]","[0.521, 0.2269]","[0.5107, 0.1262]","[0.4504, 0.5725]","[0.393, 0.4018]","[0.3598, 0.2953]","[0.3337, 0.2049]","[0.3809, 0.6372]","[0.3617, 0.5556]","[0.3863, 0.6163]","[0.4092, 0.6848]"
"[0.4998, 0.9722]","[0.6001, 0.8912]","[0.6249, 0.7524]","[0.511, 0.6491]","[0.404, 0.5903]","[0.6443, 0.5547]","[0.6865, 0.3799]","[0.7064, 0.2738]","[0.7177, 0.1771]","[0.5396, 0.5419]","[0.5337, 0.3478]","[0.5219, 0.2277]","[0.5115, 0.126]","[0.4508, 0.5734]","[0.393, 0.4025]","[0.3601, 0.2963]","[0.3336, 0.2056]","[0.3805, 0.6388]","[0.3619, 0.5534]","[0.3878, 0.6148]","[0.4104, 0.6848]"
"[0.5014, 0.9748]","[0.6025, 0.8942]","[0.6262, 0.7539]","[0.5124, 0.6495]","[0.4055, 0.59]","[0.6436, 0.5553]","[0.686, 0.3798]","[0.7061, 0.2733]","[0.7171, 0.1764]","[0.5395, 0.5436]","[0.5333, 0.3485]","[0.5219, 0.228]","[0.5118, 0.1267]","[0.4505, 0.5755]","[0.3923, 0.4029]","[0.3597, 0.2953]","[0.3331, 0.2038]","[0.3797, 0.6411]","[0.3622, 0.5567]","[0.3885, 0.6196]","[0.4106, 0.6915]"
"[0.5001, 0.9756]","[0.6014, 0.8964]","[0.623, 0.7554]","[0.5123, 0.6501]","[0.4051, 0.589]","[0.6443, 0.555]","[0.6861, 0.3796]","[0.7058, 0.2731]","[0.7166, 0.1759]","[0.5406, 0.5429]","[0.5333, 0.3487]","[0.5214, 0.2281]","[0.5111, 0.127]","[0.4506, 0.5743]","[0.3931, 0.4024]","[0.3606, 0.2952]","[0.3341, 0.2039]","[0.3798, 0.6389]","[0.363, 0.5566]","[0.3891, 0.6191]","[0.41, 0.6902]"
"[0.4997, 0.9823]","[0.599, 0.9023]","[0.6191, 0.7588]","[0.5105, 0.6513]","[0.4068, 0.5916]","[0.6421, 0.5593]","[0.6853, 0.3823]","[0.707, 0.2749]","[0.7181, 0.1776]","[0.5396, 0.5459]","[0.5337, 0.3508]","[0.5212, 0.229]","[0.5093, 0.1272]","[0.4507, 0.5775]","[0.3935, 0.4063]","[0.3611, 0.2976]","[0.3334, 0.2062]","[0.3791, 0.6431]","[0.3652, 0.5611]","[0.3912, 0.6264]","[0.4122, 0.7004]"
"[0.5006, 0.9828]","[0.6008, 0.9004]","[0.6209, 0.7564]","[0.5094, 0.6509]","[0.4047, 0.5934]","[0.6426, 0.5587]","[0.6854, 0.3814]","[0.7071, 0.2741]","[0.7182, 0.1772]","[0.5404, 0.546]","[0.5347, 0.3508]","[0.5226, 0.2287]","[0.5104, 0.1272]","[0.452, 0.5778]","[0.3929, 0.4057]","[0.3607, 0.297]","[0.333, 0.2068]","[0.3797, 0.6427]","[0.3667, 0.5598]","[0.3951, 0.6246]","[0.4182, 0.6987]"
"[0.5001, 0.9813]","[0.6002, 0.9017]","[0.619, 0.7594]","[0.5109, 0.6544]","[0.4076, 0.5963]","[0.6405, 0.5578]","[0.6846, 0.3809]","[0.7069, 0.2734]","[0.7185, 0.1763]","[0.5397, 0.5447]","[0.5345, 0.3498]","[0.5221, 0.2274]","[0.5099, 0.1262]","[0.4516, 0.576]","[0.3938, 0.4051]","[0.3612, 0.2957]","[0.3336, 0.205]","[0.3804, 0.6412]","[0.3684, 0.5609]","[0.3979, 0.6235]","[0.4215, 0.697]"
"[0.5, 0.9777]","[0.6005, 0.8949]","[0.6204, 0.7519]","[0.5117, 0.6478]","[0.406, 0.5921]","[0.6406, 0.5558]","[0.685, 0.3798]","[0.7068, 0.2732]","[0.7177, 0.1765]","[0.5388, 0.5427]","[0.5347, 0.3492]","[0.5232, 0.2272]","[0.5113, 0.1264]","[0.4503, 0.574]","[0.3926, 0.4048]","[0.3606, 0.2951]","[0.3328, 0.2046]","[0.3789, 0.6378]","[0.3692, 0.5596]","[0.3983, 0.6235]","[0.4207, 0.6972]"
"[0.4998, 0.9781]","[0.5999, 0.8957]","[0.6196, 0.7527]","[0.5128, 0.646]","[0.4087, 0.5874]","[0.64, 0.5551]","[0.6842, 0.3786]","[0.7054, 0.2716]","[0.7158, 0.175]","[0.5384, 0.5418]","[0.533, 0.3472]","[0.5211, 0.2254]","[0.5092, 0.1256]","[0.4497, 0.5736]","[0.3917, 0.4033]","[0.3596, 0.294]","[0.332, 0.2036]","[0.3784, 0.6392]","[0.3632, 0.5602]","[0.3888, 0.6235]","[0.4087, 0.697]"
