"[0.4967, 0.8434]","[0.6235, 0.8086]","[0.6808, 0.7447]","[0.6226, 0.6836]","[0.5304, 0.6389]","[0.6323, 0.5329]","[0.7062, 0.3189]","[0.7384, 0.1707]","[0.7608, 0.0444]","[0.5186, 0.5134]","[0.5342, 0.2915]","[0.5245, 0.1215]","[0.5124, -0.0211]","[0.4319, 0.5397]","[0.4006, 0.3501]","[0.3793, 0.1898]","[0.3689, 0.059]","[0.364, 0.5943]","[0.3565, 0.4701]","[0.359, 0.378]","[0.368, 0.3022]"
"[0.5091, 0.9124]","[0.6596, 0.8669]","[0.7099, 0.7821]","[0.6427, 0.6927]","[0.5429, 0.6088]","[0.6662, 0.5561]","[0.7394, 0.3536]","[0.7712, 0.2094]","[0.7867, 0.0801]","[0.5325, 0.5354]","[0.5313, 0.2842]","[0.5326, 0.1172]","[0.5285, -0.0281]","[0.4223, 0.5761]","[0.3444, 0.3639]","[0.3043, 0.2387]","[0.2796, 0.1297]","[0.3367, 0.6527]","[0.2999, 0.5558]","[0.3171, 0.5771]","[0.3436, 0.6093]"
"[0.4913, 1.0249]","[0.6165, 0.9829]","[0.6621, 0.8552]","[0.5321, 0.7328]","[0.3926, 0.6467]","[0.6888, 0.5709]","[0.7496, 0.3536]","[0.7726, 0.2069]","[0.7832, 0.0785]","[0.5429, 0.5513]","[0.533, 0.3075]","[0.5189, 0.1464]","[0.5092, 0.0196]","[0.4268, 0.5989]","[0.3526, 0.3705]","[0.3049, 0.2317]","[0.2788, 0.1173]","[0.3351, 0.6921]","[0.3105, 0.5842]","[0.3303, 0.6521]","[0.3617, 0.7304]"
"[0.499, 1.0617]","[0.6194, 0.9991]","[0.6499, 0.8582]","[0.5283, 0.725]","[0.3899, 0.6316]","[0.6802, 0.5713]","[0.7502, 0.3489]","[0.7759, 0.2025]","[0.7864, 0.074]","[0.5409, 0.5489]","[0.528, 0.3051]","[0.5075, 0.1539]","[0.4901, 0.037]","[0.4264, 0.5954]","[0.3443, 0.3703]","[0.2903, 0.2276]","[0.2588, 0.1151]","[0.3368, 0.6875]","[0.3042, 0.5875]","[0.3248, 0.6467]","[0.3565, 0.7268]"
"[0.4866, 1.086]","[0.6129, 1.0177]","[0.652, 0.8668]","[0.5269, 0.7288]","[0.3915, 0.6384]","[0.6903, 0.5827]","[0.7514, 0.3481]","[0.7764, 0.2004]","[0.7874, 0.0698]","[0.5495, 0.5582]","[0.5361, 0.3039]","[0.5166, 0.1445]","[0.5004, 0.0176]","[0.4315, 0.599]","[0.3552, 0.3641]","[0.307, 0.2167]","[0.2746, 0.0945]","[0.3372, 0.6896]","[0.3103, 0.5752]","[0.3306, 0.6522]","[0.3557, 0.7468]"
"[0.497, 1.0921]","[0.621, 1.0168]","[0.6542, 0.8546]","[0.5162, 0.7186]","[0.3802, 0.6357]","[0.691, 0.5789]","[0.7545, 0.3438]","[0.7825, 0.1955]","[0.7978, 0.066]","[0.5514, 0.5582]","[0.5357, 0.3062]","[0.5172, 0.1512]","[0.5045, 0.0286]","[0.4357, 0.6016]","[0.3565, 0.3645]","[0.3065, 0.2154]","[0.2749, 0.0924]","[0.345, 0.6928]","[0.3098, 0.583]","[0.3289, 0.6624]","[0.3554, 0.758]"
"[0.497, 1.0967]","[0.6224, 1.0171]","[0.6564, 0.8549]","[0.524, 0.7145]","[0.3925, 0.627]","[0.6911, 0.5794]","[0.7554, 0.3453]","[0.7832, 0.1975]","[0.7972, 0.0683]","[0.551, 0.5575]","[0.5367, 0.3032]","[0.5193, 0.1468]","[0.5067, 0.0226]","[0.4341, 0.5998]","[0.3542, 0.3633]","[0.3052, 0.215]","[0.2748, 0.0924]","[0.3406, 0.6908]","[0.3077, 0.5771]","[0.3279, 0.6526]","[0.3562, 0.7447]"
"[0.5003, 1.0978]","[0.6252, 1.013]","[0.6577, 0.8477]","[0.5213, 0.7081]","[0.3872, 0.6205]","[0.6912, 0.5775]","[0.7547, 0.3427]","[0.7822, 0.1956]","[0.7959, 0.0666]","[0.5508, 0.5558]","[0.5369, 0.2978]","[0.5197, 0.138]","[0.5062, 0.0126]","[0.4349, 0.5991]","[0.3521, 0.3627]","[0.3039, 0.2134]","[0.2737, 0.0915]","[0.3441, 0.6909]","[0.3116, 0.5804]","[0.3344, 0.6563]","[0.3636, 0.7488]"
"[0.4978, 1.1036]","[0.6192, 1.0224]","[0.6523, 0.8566]","[0.5185, 0.7135]","[0.3825, 0.6206]","[0.6937, 0.5789]","[0.7562, 0.3438]","[0.7812, 0.1964]","[0.7931, 0.0654]","[0.554, 0.5556]","[0.5398, 0.2995]","[0.5205, 0.1392]","[0.5063, 0.0144]","[0.4376, 0.5983]","[0.3545, 0.3621]","[0.3044, 0.2124]","[0.2744, 0.0908]","[0.3466, 0.6889]","[0.3085, 0.5824]","[0.3278, 0.6595]","[0.3575, 0.7532]"
"[0.4997, 1.1]","[0.6234, 1.0148]","[0.6529, 0.8469]","[0.514, 0.7054]","[0.3753, 0.6145]","[0.6974, 0.5749]","[0.7582, 0.3399]","[0.7835, 0.1934]","[0.797, 0.0641]","[0.5569, 0.5542]","[0.5398, 0.2986]","[0.5203, 0.1412]","[0.5071, 0.0194]","[0.4397, 0.5985]","[0.3546, 0.3611]","[0.3026, 0.2104]","[0.2718, 0.0883]","[0.3482, 0.6884]","[0.3083, 0.5778]","[0.3283, 0.6556]","[0.3587, 0.7516]"
"[0.4963, 1.1026]","[0.6237, 1.0199]","[0.6554, 0.8497]","[0.5215, 0.706]","[0.3816, 0.6132]","[0.698, 0.5771]","[0.7579, 0.3403]","[0.7829, 0.1932]","[0.7968, 0.063]","[0.5572, 0.5549]","[0.5425, 0.2986]","[0.5242, 0.1378]","[0.5121, 0.0131]","[0.4378, 0.5971]","[0.3556, 0.3611]","[0.3045, 0.2115]","[0.2735, 0.0892]","[0.3455, 0.6852]","[0.3083, 0.5805]","[0.3285, 0.6616]","[0.3579, 0.758]"
