"[0.4621, 0.8796]","[0.3463, 0.8667]","[0.28, 0.8106]","[0.2904, 0.7535]","[0.3012, 0.6939]","[0.3039, 0.5539]","[0.2626, 0.3584]","[0.2403, 0.2268]","[0.2232, 0.1101]","[0.437, 0.529]","[0.4396, 0.2923]","[0.4508, 0.1245]","[0.4569, -0.0181]","[0.551, 0.569]","[0.6247, 0.3786]","[0.6728, 0.2377]","[0.7091, 0.1283]","[0.6477, 0.6501]","[0.6883, 0.5897]","[0.6666, 0.6411]","[0.6487, 0.7129]"
"[0.4973, 0.9943]","[0.3845, 0.964]","[0.3557, 0.8499]","[0.4874, 0.7365]","[0.6056, 0.6509]","[0.3103, 0.5801]","[0.2558, 0.3725]","[0.2365, 0.2268]","[0.2168, 0.1013]","[0.4432, 0.5455]","[0.4445, 0.2928]","[0.4651, 0.113]","[0.4718, -0.0442]","[0.5549, 0.5797]","[0.6229, 0.3821]","[0.6753, 0.2402]","[0.7087, 0.1136]","[0.6586, 0.6682]","[0.6936, 0.5767]","[0.6718, 0.643]","[0.6486, 0.7228]"
"[0.4831, 1.0531]","[0.3785, 0.9871]","[0.3399, 0.8461]","[0.4686, 0.7249]","[0.6048, 0.6464]","[0.3127, 0.59]","[0.2496, 0.3681]","[0.2279, 0.2227]","[0.2101, 0.0968]","[0.4451, 0.5564]","[0.4492, 0.3004]","[0.4666, 0.1256]","[0.4732, -0.023]","[0.5532, 0.5922]","[0.6249, 0.3871]","[0.6734, 0.2495]","[0.7052, 0.1245]","[0.6544, 0.6801]","[0.6896, 0.5821]","[0.6679, 0.6425]","[0.6445, 0.7158]"
"[0.4982, 1.0854]","[0.3853, 1.0095]","[0.344, 0.849]","[0.4779, 0.7185]","[0.6177, 0.6414]","[0.3101, 0.5909]","[0.2462, 0.3668]","[0.2236, 0.2208]","[0.2075, 0.0946]","[0.4461, 0.5575]","[0.4523, 0.2951]","[0.4705, 0.12]","[0.4809, -0.0286]","[0.5558, 0.5957]","[0.626, 0.3864]","[0.6715, 0.2523]","[0.6999, 0.1318]","[0.655, 0.6894]","[0.6893, 0.5787]","[0.6701, 0.6348]","[0.646, 0.7089]"
"[0.4862, 1.0851]","[0.3818, 1.0051]","[0.3478, 0.8392]","[0.4858, 0.7049]","[0.6347, 0.6359]","[0.3104, 0.5886]","[0.2479, 0.3618]","[0.2279, 0.2167]","[0.215, 0.0922]","[0.4457, 0.555]","[0.4496, 0.2969]","[0.4672, 0.1304]","[0.4776, -0.0132]","[0.5565, 0.5914]","[0.6268, 0.387]","[0.67, 0.255]","[0.6961, 0.1336]","[0.6578, 0.6831]","[0.6933, 0.5757]","[0.6718, 0.6304]","[0.6469, 0.7029]"
"[0.4851, 1.0859]","[0.3807, 1.0059]","[0.3439, 0.8384]","[0.4781, 0.701]","[0.6257, 0.6333]","[0.3078, 0.5911]","[0.2434, 0.3626]","[0.2206, 0.2171]","[0.2049, 0.0903]","[0.4428, 0.5557]","[0.4445, 0.288]","[0.4591, 0.1113]","[0.4671, -0.0392]","[0.5547, 0.592]","[0.6268, 0.3846]","[0.6698, 0.2508]","[0.6967, 0.1304]","[0.6561, 0.6831]","[0.6882, 0.5756]","[0.6643, 0.6287]","[0.639, 0.7004]"
"[0.494, 1.0914]","[0.3791, 1.0078]","[0.3353, 0.8381]","[0.4663, 0.7004]","[0.6121, 0.6335]","[0.306, 0.5874]","[0.2432, 0.3599]","[0.2226, 0.2149]","[0.2086, 0.0906]","[0.4429, 0.5556]","[0.4453, 0.2961]","[0.4601, 0.1317]","[0.4685, -0.0072]","[0.5557, 0.5939]","[0.6271, 0.3865]","[0.6692, 0.2546]","[0.6965, 0.1372]","[0.6565, 0.6841]","[0.6878, 0.5777]","[0.664, 0.6312]","[0.6386, 0.7026]"
"[0.486, 1.0813]","[0.379, 0.9998]","[0.3391, 0.839]","[0.4734, 0.7066]","[0.6223, 0.6386]","[0.3055, 0.5856]","[0.2434, 0.3607]","[0.2236, 0.2183]","[0.2105, 0.0952]","[0.442, 0.5523]","[0.4434, 0.2959]","[0.4601, 0.1347]","[0.4697, -0.0037]","[0.555, 0.5895]","[0.6264, 0.3842]","[0.6694, 0.2531]","[0.6957, 0.1341]","[0.6572, 0.6795]","[0.6909, 0.5706]","[0.6697, 0.6264]","[0.6462, 0.7001]"
"[0.49, 1.0838]","[0.38, 1.0034]","[0.3415, 0.8387]","[0.4761, 0.7047]","[0.6221, 0.6351]","[0.3071, 0.5896]","[0.243, 0.3625]","[0.2206, 0.2172]","[0.2058, 0.0917]","[0.4435, 0.5551]","[0.4449, 0.2923]","[0.4613, 0.1236]","[0.4703, -0.0194]","[0.556, 0.5907]","[0.6277, 0.3822]","[0.6703, 0.2505]","[0.6959, 0.1321]","[0.6571, 0.6807]","[0.6894, 0.5699]","[0.6653, 0.6289]","[0.6386, 0.706]"
"[0.4868, 1.0886]","[0.3776, 1.0044]","[0.3417, 0.8376]","[0.473, 0.7024]","[0.6155, 0.632]","[0.306, 0.5887]","[0.2425, 0.3635]","[0.2213, 0.219]","[0.2071, 0.0945]","[0.441, 0.5557]","[0.443, 0.2981]","[0.4592, 0.1352]","[0.4678, -0.0034]","[0.5535, 0.5923]","[0.6257, 0.3857]","[0.6683, 0.2554]","[0.6928, 0.138]","[0.6552, 0.6837]","[0.6912, 0.5683]","[0.6669, 0.6181]","[0.6391, 0.6886]"
"[0.4863, 1.0831]","[0.3778, 0.9995]","[0.3423, 0.8319]","[0.478, 0.6977]","[0.623, 0.6319]","[0.307, 0.5858]","[0.2431, 0.3623]","[0.2209, 0.2182]","[0.2063, 0.0939]","[0.4422, 0.5506]","[0.4439, 0.2926]","[0.4596, 0.1257]","[0.4683, -0.0154]","[0.5546, 0.5855]","[0.6262, 0.3799]","[0.6696, 0.2489]","[0.6961, 0.1318]","[0.6558, 0.6742]","[0.689, 0.5672]","[0.6675, 0.6212]","[0.6436, 0.6932]"
