"[0.2694, 0.8549]","[0.4698, 0.8118]","[0.5736, 0.6787]","[0.6537, 0.5847]","[0.6523, 0.5224]","[0.345, 0.369]","[0.4388, 0.2006]","[0.5831, 0.1748]","[0.6832, 0.2021]","[0.2941, 0.3609]","[0.6054, 0.373]","[0.6063, 0.5311]","[0.5274, 0.587]","[0.2947, 0.3878]","[0.5966, 0.4411]","[0.5706, 0.5893]","[0.4827, 0.623]","[0.3184, 0.4341]","[0.5634, 0.5075]","[0.5395, 0.6182]","[0.4591, 0.6442]"
"[0.2558, 0.8889]","[0.4682, 0.8208]","[0.5792, 0.6964]","[0.6618, 0.5966]","[0.6505, 0.5251]","[0.31, 0.3761]","[0.4352, 0.2135]","[0.5765, 0.1872]","[0.6881, 0.2213]","[0.2712, 0.3748]","[0.5754, 0.3957]","[0.5786, 0.5438]","[0.4966, 0.6009]","[0.2819, 0.4032]","[0.5796, 0.4486]","[0.5594, 0.5877]","[0.4759, 0.6305]","[0.3242, 0.4495]","[0.5702, 0.5041]","[0.5507, 0.6105]","[0.4799, 0.6476]"
"[0.2526, 0.8939]","[0.4747, 0.8089]","[0.5862, 0.6848]","[0.6704, 0.588]","[0.6523, 0.513]","[0.3105, 0.3784]","[0.4412, 0.2155]","[0.5822, 0.1926]","[0.6954, 0.2274]","[0.2713, 0.3781]","[0.5786, 0.3918]","[0.5804, 0.5454]","[0.5007, 0.6039]","[0.2813, 0.4043]","[0.5825, 0.4509]","[0.5621, 0.5949]","[0.4781, 0.637]","[0.3235, 0.4477]","[0.5732, 0.5026]","[0.5527, 0.6116]","[0.4798, 0.6464]"
"[0.2431, 0.8956]","[0.4706, 0.8144]","[0.5841, 0.6867]","[0.6692, 0.5913]","[0.6542, 0.5177]","[0.3128, 0.3794]","[0.4391, 0.2178]","[0.578, 0.1948]","[0.6892, 0.2283]","[0.2742, 0.3787]","[0.5808, 0.3957]","[0.5802, 0.5462]","[0.4994, 0.5993]","[0.2857, 0.4041]","[0.5876, 0.4542]","[0.5624, 0.5976]","[0.4762, 0.6365]","[0.3284, 0.4465]","[0.5768, 0.5036]","[0.5523, 0.6135]","[0.4773, 0.6474]"
"[0.2481, 0.8944]","[0.4695, 0.8145]","[0.5827, 0.6873]","[0.666, 0.5914]","[0.6512, 0.5181]","[0.3179, 0.3788]","[0.4414, 0.2181]","[0.5793, 0.1925]","[0.6884, 0.2185]","[0.279, 0.3792]","[0.5783, 0.3877]","[0.5851, 0.5372]","[0.5084, 0.5943]","[0.2895, 0.405]","[0.5813, 0.4462]","[0.564, 0.5904]","[0.4837, 0.634]","[0.3311, 0.4489]","[0.5706, 0.504]","[0.5481, 0.6119]","[0.477, 0.6462]"
"[0.2459, 0.8955]","[0.4662, 0.8153]","[0.5829, 0.6896]","[0.6696, 0.592]","[0.651, 0.5176]","[0.3151, 0.3808]","[0.4428, 0.2204]","[0.581, 0.1943]","[0.6905, 0.2199]","[0.2786, 0.3807]","[0.579, 0.3902]","[0.5842, 0.5398]","[0.5053, 0.5941]","[0.2917, 0.4058]","[0.5842, 0.4443]","[0.5652, 0.5889]","[0.4823, 0.6296]","[0.3354, 0.4481]","[0.576, 0.5015]","[0.5511, 0.611]","[0.4763, 0.6446]"
"[0.244, 0.895]","[0.4631, 0.8175]","[0.5801, 0.691]","[0.6668, 0.5923]","[0.6504, 0.5201]","[0.315, 0.3796]","[0.4404, 0.2187]","[0.5794, 0.1926]","[0.688, 0.2173]","[0.2778, 0.3782]","[0.5799, 0.3892]","[0.5873, 0.5386]","[0.5098, 0.593]","[0.2903, 0.4039]","[0.584, 0.4429]","[0.5653, 0.5862]","[0.4827, 0.6271]","[0.3337, 0.4484]","[0.5734, 0.5]","[0.5501, 0.6069]","[0.4774, 0.6406]"
"[0.2435, 0.8934]","[0.4643, 0.8147]","[0.5815, 0.6879]","[0.6696, 0.5888]","[0.6494, 0.519]","[0.3151, 0.3803]","[0.4418, 0.2184]","[0.5806, 0.1949]","[0.6884, 0.2231]","[0.2771, 0.3796]","[0.577, 0.3904]","[0.5857, 0.5392]","[0.5088, 0.5947]","[0.2898, 0.4055]","[0.5821, 0.4434]","[0.5647, 0.5878]","[0.4828, 0.6301]","[0.3348, 0.4489]","[0.5771, 0.5013]","[0.5532, 0.6106]","[0.479, 0.6461]"
"[0.2435, 0.8942]","[0.4607, 0.8191]","[0.5782, 0.6924]","[0.6671, 0.5929]","[0.6495, 0.5223]","[0.317, 0.382]","[0.4414, 0.2192]","[0.58, 0.1941]","[0.6867, 0.2215]","[0.2783, 0.3805]","[0.5776, 0.389]","[0.5865, 0.5381]","[0.508, 0.5935]","[0.2895, 0.4056]","[0.5813, 0.4387]","[0.5634, 0.5832]","[0.4789, 0.6253]","[0.3325, 0.4491]","[0.574, 0.4976]","[0.5492, 0.6072]","[0.472, 0.643]"
"[0.2448, 0.8934]","[0.4626, 0.8166]","[0.5799, 0.6892]","[0.6676, 0.5892]","[0.6449, 0.5217]","[0.3178, 0.3808]","[0.442, 0.2198]","[0.5806, 0.1939]","[0.6886, 0.2198]","[0.2798, 0.38]","[0.5767, 0.3919]","[0.5839, 0.5415]","[0.5053, 0.5954]","[0.2913, 0.4059]","[0.5803, 0.4428]","[0.5615, 0.587]","[0.4771, 0.6271]","[0.3345, 0.4498]","[0.5757, 0.4986]","[0.5522, 0.6086]","[0.4758, 0.6439]"
"[0.2377, 0.8995]","[0.4601, 0.8194]","[0.5776, 0.6902]","[0.6662, 0.5892]","[0.6461, 0.5201]","[0.3123, 0.3832]","[0.4397, 0.2246]","[0.5789, 0.1945]","[0.6882, 0.2155]","[0.2775, 0.3815]","[0.5748, 0.3896]","[0.5842, 0.5401]","[0.5064, 0.5979]","[0.2909, 0.4059]","[0.578, 0.4386]","[0.5627, 0.5819]","[0.4784, 0.6242]","[0.3351, 0.4491]","[0.5762, 0.4979]","[0.5535, 0.6069]","[0.4759, 0.643]"
