"[0.4863, 0.9371]","[0.6674, 0.814]","[0.7689, 0.6173]","[0.7815, 0.4197]","[0.7503, 0.2723]","[0.6321, 0.5155]","[0.6256, 0.3765]","[0.616, 0.4645]","[0.6171, 0.5636]","[0.5142, 0.523]","[0.513, 0.3722]","[0.5226, 0.4893]","[0.5349, 0.6082]","[0.3985, 0.538]","[0.3751, 0.3845]","[0.4093, 0.4767]","[0.4443, 0.5802]","[0.2833, 0.5644]","[0.2061, 0.4059]","[0.1577, 0.3045]","[0.1223, 0.2125]"
"[0.4859, 0.9505]","[0.6642, 0.8232]","[0.7647, 0.6292]","[0.78, 0.4357]","[0.7525, 0.2891]","[0.6332, 0.5194]","[0.6293, 0.3844]","[0.6227, 0.4717]","[0.6228, 0.5753]","[0.5212, 0.5234]","[0.5182, 0.3722]","[0.5292, 0.4833]","[0.5431, 0.6023]","[0.4059, 0.5386]","[0.3885, 0.3895]","[0.4203, 0.4774]","[0.4522, 0.5798]","[0.2881, 0.5653]","[0.212, 0.4043]","[0.1609, 0.2966]","[0.1214, 0.2001]"
"[0.4843, 0.9475]","[0.6672, 0.8228]","[0.7669, 0.6293]","[0.7775, 0.4353]","[0.7587, 0.2856]","[0.6356, 0.5183]","[0.6306, 0.3835]","[0.6292, 0.4715]","[0.6313, 0.5769]","[0.5222, 0.5228]","[0.5173, 0.3734]","[0.532, 0.4827]","[0.5466, 0.6009]","[0.4069, 0.5383]","[0.3879, 0.388]","[0.421, 0.4741]","[0.4529, 0.5768]","[0.2908, 0.5655]","[0.2139, 0.4046]","[0.1626, 0.2958]","[0.1228, 0.2]"
"[0.4873, 0.9424]","[0.667, 0.8189]","[0.7689, 0.6274]","[0.7809, 0.4356]","[0.7588, 0.2891]","[0.6363, 0.5173]","[0.6312, 0.3857]","[0.6261, 0.4714]","[0.6271, 0.5763]","[0.5242, 0.5226]","[0.5194, 0.3721]","[0.5312, 0.4837]","[0.5456, 0.6044]","[0.4095, 0.5381]","[0.3924, 0.3915]","[0.4248, 0.4808]","[0.4568, 0.5844]","[0.2928, 0.5646]","[0.2166, 0.4027]","[0.1658, 0.2936]","[0.1265, 0.1965]"
"[0.4812, 0.9393]","[0.6658, 0.8147]","[0.7667, 0.6245]","[0.78, 0.4318]","[0.7596, 0.2848]","[0.6322, 0.517]","[0.6325, 0.3856]","[0.6261, 0.4714]","[0.6246, 0.5766]","[0.5217, 0.5212]","[0.5212, 0.3708]","[0.5314, 0.4829]","[0.5442, 0.6038]","[0.4074, 0.5355]","[0.3948, 0.3872]","[0.4251, 0.4777]","[0.4552, 0.5831]","[0.2906, 0.5604]","[0.2159, 0.4009]","[0.1651, 0.2934]","[0.1269, 0.1974]"
"[0.4838, 0.9355]","[0.6677, 0.8125]","[0.7695, 0.624]","[0.7798, 0.4331]","[0.7579, 0.2897]","[0.6343, 0.5131]","[0.6327, 0.3857]","[0.6269, 0.4733]","[0.6265, 0.5785]","[0.5237, 0.5185]","[0.522, 0.3701]","[0.5325, 0.4821]","[0.545, 0.603]","[0.4095, 0.5333]","[0.3951, 0.387]","[0.4261, 0.4776]","[0.4562, 0.5828]","[0.2919, 0.5587]","[0.2167, 0.3988]","[0.1663, 0.2919]","[0.1278, 0.1969]"
"[0.4823, 0.9409]","[0.6647, 0.8211]","[0.7675, 0.629]","[0.7815, 0.4354]","[0.7591, 0.2907]","[0.6357, 0.5127]","[0.6324, 0.3831]","[0.6255, 0.4709]","[0.6254, 0.5763]","[0.5244, 0.5176]","[0.522, 0.3688]","[0.5319, 0.482]","[0.5444, 0.6028]","[0.4099, 0.5329]","[0.395, 0.3866]","[0.4261, 0.478]","[0.4566, 0.583]","[0.2923, 0.5591]","[0.2168, 0.3981]","[0.1658, 0.2908]","[0.1271, 0.1951]"
"[0.4793, 0.9387]","[0.663, 0.8205]","[0.7642, 0.6285]","[0.7783, 0.4364]","[0.7575, 0.2909]","[0.6321, 0.5128]","[0.6325, 0.3824]","[0.6282, 0.4699]","[0.6273, 0.5745]","[0.5218, 0.517]","[0.5226, 0.3693]","[0.5338, 0.4816]","[0.5448, 0.6015]","[0.4081, 0.5317]","[0.3951, 0.3848]","[0.4276, 0.4761]","[0.4577, 0.5812]","[0.2916, 0.5573]","[0.2157, 0.3976]","[0.1652, 0.2901]","[0.1268, 0.1945]"
"[0.4801, 0.9411]","[0.6634, 0.8235]","[0.7679, 0.6283]","[0.7818, 0.4352]","[0.7593, 0.2894]","[0.6354, 0.5127]","[0.6345, 0.3816]","[0.6288, 0.4711]","[0.6284, 0.577]","[0.5243, 0.5178]","[0.5234, 0.3686]","[0.5336, 0.4801]","[0.5459, 0.6]","[0.4101, 0.5335]","[0.3949, 0.386]","[0.4276, 0.4736]","[0.4592, 0.5769]","[0.2932, 0.5599]","[0.2171, 0.3983]","[0.166, 0.2896]","[0.1274, 0.194]"
"[0.4802, 0.9364]","[0.664, 0.8197]","[0.7673, 0.6272]","[0.7823, 0.4351]","[0.757, 0.2923]","[0.6357, 0.5123]","[0.6331, 0.3807]","[0.6279, 0.4703]","[0.6282, 0.5752]","[0.5257, 0.5173]","[0.5235, 0.3665]","[0.5342, 0.4797]","[0.5464, 0.5995]","[0.4122, 0.5326]","[0.3975, 0.3844]","[0.4298, 0.4744]","[0.4603, 0.5789]","[0.296, 0.5581]","[0.2187, 0.3964]","[0.1681, 0.2871]","[0.13, 0.1905]"
"[0.4819, 0.9358]","[0.6657, 0.8155]","[0.7695, 0.6261]","[0.7827, 0.4345]","[0.757, 0.2907]","[0.6358, 0.5118]","[0.6341, 0.3791]","[0.6291, 0.4701]","[0.6291, 0.5762]","[0.5261, 0.5162]","[0.5249, 0.3634]","[0.5341, 0.478]","[0.5453, 0.5985]","[0.4126, 0.5304]","[0.3985, 0.3814]","[0.4294, 0.472]","[0.4591, 0.5765]","[0.2956, 0.5553]","[0.2186, 0.393]","[0.1685, 0.2844]","[0.1309, 0.1887]"
