[0.5487, 0.8017],[0.4242, 0.7953],[0.2912, 0.6954],[0.288, 0.5864],[0.4046, 0.5702],[0.3874, 0.431],[0.3463, 0.2247],[0.326, 0.0807],[0.3089, -0.0386],[0.505, 0.4281],[0.487, 0.3629],[0.4821, 0.5148],[0.4847, 0.6213],[0.6127, 0.4612],[0.6023, 0.4122],[0.5747, 0.5507],[0.5584, 0.644],[0.7129, 0.5179],[0.7021, 0.4603],[0.663, 0.5598],[0.6374, 0.6303]
[0.5643, 0.8587],[0.4243, 0.8223],[0.2936, 0.7118],[0.3009, 0.6082],[0.4066, 0.5897],[0.3918, 0.4478],[0.3542, 0.2468],[0.3392, 0.1252],[0.3317, 0.026],[0.515, 0.4522],[0.503, 0.384],[0.4902, 0.5355],[0.4862, 0.6465],[0.6236, 0.4869],[0.6171, 0.4474],[0.5849, 0.5804],[0.5668, 0.6684],[0.7235, 0.5423],[0.7194, 0.4964],[0.6787, 0.5885],[0.6574, 0.649]
[0.5496, 0.8939],[0.4082, 0.8479],[0.2814, 0.7371],[0.2944, 0.6354],[0.4118, 0.6224],[0.382, 0.4748],[0.3496, 0.2725],[0.3357, 0.1517],[0.3258, 0.0475],[0.5066, 0.4817],[0.491, 0.4169],[0.4718, 0.5669],[0.4611, 0.673],[0.6164, 0.5186],[0.6072, 0.4681],[0.5718, 0.6035],[0.5491, 0.6931],[0.7164, 0.5762],[0.7156, 0.515],[0.6722, 0.6041],[0.6447, 0.6653]
[0.5232, 0.8795],[0.386, 0.835],[0.2598, 0.7248],[0.2718, 0.6262],[0.3801, 0.6129],[0.3528, 0.4658],[0.3163, 0.2364],[0.3056, 0.0995],[0.3014, -0.016],[0.4795, 0.4773],[0.4643, 0.4081],[0.4532, 0.5706],[0.4508, 0.6804],[0.5924, 0.5155],[0.5812, 0.4632],[0.5496, 0.6087],[0.5282, 0.7002],[0.6952, 0.5719],[0.6923, 0.506],[0.6513, 0.6041],[0.6244, 0.6665]
[0.5055, 0.8711],[0.3639, 0.8203],[0.2338, 0.7058],[0.2435, 0.6027],[0.3538, 0.5833],[0.3241, 0.4455],[0.2838, 0.2265],[0.2715, 0.0988],[0.267, -0.0092],[0.451, 0.4539],[0.439, 0.3896],[0.4283, 0.5488],[0.4245, 0.6662],[0.5644, 0.4882],[0.5567, 0.4447],[0.5265, 0.5865],[0.5049, 0.6838],[0.6669, 0.5412],[0.6706, 0.4809],[0.6304, 0.5753],[0.6018, 0.6436]
[0.4966, 0.8647],[0.3531, 0.8079],[0.2212, 0.6886],[0.2284, 0.5828],[0.3443, 0.5704],[0.3136, 0.4322],[0.2731, 0.2157],[0.2586, 0.0897],[0.254, -0.015],[0.437, 0.445],[0.4127, 0.3645],[0.4054, 0.5262],[0.4117, 0.6462],[0.5488, 0.4817],[0.5319, 0.4199],[0.5056, 0.5662],[0.4943, 0.6675],[0.6539, 0.5365],[0.6479, 0.4624],[0.6083, 0.5557],[0.5863, 0.6265]
[0.4909, 0.862],[0.3465, 0.8016],[0.2184, 0.6825],[0.2242, 0.5767],[0.3386, 0.5606],[0.3118, 0.429],[0.2712, 0.2258],[0.2553, 0.1092],[0.2473, 0.0122],[0.4349, 0.4394],[0.4048, 0.3605],[0.3948, 0.5209],[0.4004, 0.64],[0.5461, 0.4751],[0.5231, 0.4202],[0.4936, 0.5653],[0.4821, 0.6648],[0.6525, 0.5287],[0.638, 0.4619],[0.5949, 0.5535],[0.5726, 0.6221]
[0.4908, 0.8578],[0.3469, 0.8023],[0.2175, 0.6867],[0.2221, 0.5802],[0.3384, 0.5622],[0.3114, 0.4293],[0.2739, 0.2252],[0.2594, 0.1094],[0.2534, 0.0124],[0.434, 0.439],[0.4015, 0.3615],[0.3936, 0.5258],[0.4014, 0.6445],[0.545, 0.4745],[0.5211, 0.4233],[0.4929, 0.5721],[0.4821, 0.6701],[0.6511, 0.5284],[0.6371, 0.4664],[0.5944, 0.5597],[0.5716, 0.6253]
[0.4957, 0.8657],[0.3518, 0.8102],[0.2233, 0.6974],[0.2236, 0.5921],[0.3361, 0.5702],[0.3161, 0.439],[0.2783, 0.2336],[0.2658, 0.1132],[0.2587, 0.0127],[0.4374, 0.4479],[0.4036, 0.3766],[0.3958, 0.5354],[0.4019, 0.651],[0.5485, 0.4828],[0.5212, 0.4302],[0.4922, 0.5749],[0.4801, 0.6727],[0.6548, 0.5367],[0.6383, 0.4785],[0.5947, 0.5702],[0.5713, 0.6356]
[0.5032, 0.8703],[0.3601, 0.8146],[0.2327, 0.7076],[0.2292, 0.6018],[0.3392, 0.5717],[0.3238, 0.4526],[0.2844, 0.2475],[0.2716, 0.129],[0.2646, 0.0287],[0.4445, 0.4595],[0.4171, 0.3863],[0.4097, 0.5458],[0.4129, 0.6622],[0.5544, 0.4913],[0.5308, 0.4388],[0.5027, 0.5841],[0.4891, 0.6825],[0.6586, 0.541],[0.6439, 0.4832],[0.6029, 0.5782],[0.5805, 0.6457]
[0.4984, 0.8908],[0.354, 0.84],[0.2238, 0.7286],[0.2258, 0.6209],[0.3429, 0.5984],[0.3212, 0.4686],[0.2822, 0.2625],[0.2633, 0.1415],[0.25, 0.0379],[0.4428, 0.4787],[0.4182, 0.4031],[0.4027, 0.5616],[0.4005, 0.6719],[0.5532, 0.515],[0.5337, 0.4525],[0.4991, 0.5985],[0.4817, 0.693],[0.6563, 0.5706],[0.6466, 0.5006],[0.601, 0.5959],[0.5749, 0.6614]
