[0.5953, 0.765],[0.4192, 0.727],[0.2726, 0.6242],[0.3127, 0.541],[0.4409, 0.5166],[0.3567, 0.2741],[0.2963, 0.035],[0.2693, 0.0],[0.2516, 0.0],[0.5217, 0.2564],[0.5447, 0.2135],[0.5394, 0.4183],[0.5171, 0.5554],[0.6643, 0.2878],[0.6774, 0.2838],[0.6459, 0.4678],[0.6117, 0.5843],[0.7918, 0.3473],[0.8075, 0.307],[0.7707, 0.4342],[0.7372, 0.5189]
[0.592, 0.768],[0.4205, 0.7307],[0.2693, 0.6249],[0.3075, 0.5414],[0.4474, 0.5092],[0.3587, 0.2838],[0.2904, 0.0402],[0.2608, 0.0],[0.2398, 0.0],[0.5204, 0.2686],[0.5355, 0.2058],[0.5394, 0.4154],[0.5263, 0.5606],[0.6597, 0.2971],[0.6741, 0.279],[0.6498, 0.4656],[0.6183, 0.5824],[0.7813, 0.3496],[0.8036, 0.2971],[0.7694, 0.432],[0.732, 0.5196]
[0.5986, 0.7617],[0.4271, 0.7299],[0.2759, 0.6338],[0.3015, 0.5506],[0.4422, 0.514],[0.3561, 0.2823],[0.2904, 0.0416],[0.2582, 0.0],[0.2391, 0.0],[0.5177, 0.2601],[0.5394, 0.2106],[0.5427, 0.4205],[0.5283, 0.5639],[0.6577, 0.2845],[0.6768, 0.2801],[0.6498, 0.469],[0.6157, 0.5828],[0.778, 0.3344],[0.8043, 0.3022],[0.7688, 0.442],[0.728, 0.5285]
[0.5973, 0.7639],[0.4264, 0.7303],[0.2733, 0.6353],[0.3015, 0.5503],[0.4402, 0.5159],[0.3521, 0.2778],[0.2831, 0.0383],[0.2503, 0.0],[0.2306, 0.0],[0.5125, 0.2512],[0.5407, 0.2128],[0.544, 0.4205],[0.5302, 0.5625],[0.6525, 0.2741],[0.6787, 0.2919],[0.6525, 0.4745],[0.6183, 0.5828],[0.7734, 0.3252],[0.8069, 0.3141],[0.7707, 0.4501],[0.728, 0.5303]
[0.5959, 0.7669],[0.4264, 0.7336],[0.2733, 0.6382],[0.3048, 0.5532],[0.4409, 0.5155],[0.3508, 0.2778],[0.2812, 0.0398],[0.2483, 0.0],[0.2279, 0.0],[0.5105, 0.252],[0.5421, 0.2161],[0.5434, 0.4209],[0.5243, 0.5584],[0.6505, 0.2749],[0.682, 0.2915],[0.6538, 0.4723],[0.6157, 0.5769],[0.7727, 0.3259],[0.8102, 0.3211],[0.7714, 0.4564],[0.7241, 0.5318]
[0.5966, 0.7665],[0.429, 0.7366],[0.2759, 0.6475],[0.3042, 0.5625],[0.4369, 0.5214],[0.3495, 0.2801],[0.2812, 0.0457],[0.2483, 0.0],[0.2273, 0.0],[0.5099, 0.2483],[0.5401, 0.2239],[0.5414, 0.4301],[0.5237, 0.5713],[0.6511, 0.2686],[0.6787, 0.3034],[0.6525, 0.4874],[0.617, 0.5965],[0.7734, 0.317],[0.8062, 0.3274],[0.7707, 0.4664],[0.7274, 0.5455]
[0.5986, 0.7721],[0.4271, 0.7373],[0.2799, 0.6349],[0.3186, 0.5518],[0.4547, 0.5174],[0.3732, 0.2745],[0.3061, 0.0331],[0.2753, 0.0],[0.2562, 0.0],[0.5329, 0.2557],[0.5598, 0.2213],[0.5559, 0.425],[0.5342, 0.5639],[0.6709, 0.2852],[0.6952, 0.2956],[0.6649, 0.4756],[0.6288, 0.5854],[0.7885, 0.3414],[0.8213, 0.32],[0.7852, 0.4527],[0.7458, 0.5347]
[0.6157, 0.7846],[0.4422, 0.7373],[0.3002, 0.6268],[0.3489, 0.5418],[0.4928, 0.5078],[0.4067, 0.276],[0.3521, 0.0302],[0.3265, 0.0],[0.3101, 0.0],[0.5605, 0.2679],[0.6019, 0.1973],[0.5887, 0.3895],[0.5598, 0.5129],[0.6919, 0.3008],[0.7339, 0.2775],[0.6945, 0.4457],[0.6485, 0.541],[0.8043, 0.3592],[0.8503, 0.3093],[0.8082, 0.4331],[0.7589, 0.5081]
[0.6235, 0.7987],[0.4507, 0.7351],[0.3265, 0.6164],[0.3837, 0.5362],[0.5145, 0.5033],[0.4395, 0.2693],[0.4034, 0.0224],[0.3922, 0.0],[0.3837, 0.0],[0.5913, 0.2782],[0.6387, 0.1984],[0.6196, 0.3884],[0.5828, 0.5155],[0.7208, 0.3215],[0.7661, 0.2926],[0.7201, 0.4616],[0.6656, 0.5628],[0.8312, 0.3873],[0.8825, 0.3285],[0.8351, 0.4483],[0.7793, 0.5251]
[0.6314, 0.8101],[0.4593, 0.7347],[0.3436, 0.6035],[0.4225, 0.5266],[0.5637, 0.5081],[0.4757, 0.273],[0.4441, 0.0195],[0.4395, 0.0],[0.4376, 0.0],[0.6255, 0.2934],[0.6761, 0.1995],[0.6525, 0.3895],[0.6124, 0.5266],[0.7497, 0.3448],[0.7977, 0.3093],[0.7497, 0.4778],[0.6945, 0.5869],[0.8522, 0.4168],[0.9074, 0.354],[0.8595, 0.4701],[0.8029, 0.5503]
[0.6433, 0.8164],[0.477, 0.7355],[0.3699, 0.5991],[0.4435, 0.5166],[0.5828, 0.4967],[0.5033, 0.2719],[0.4849, 0.0132],[0.4895, 0.0],[0.4967, 0.0],[0.6531, 0.2971],[0.7149, 0.2024],[0.6893, 0.3913],[0.6492, 0.5211],[0.7753, 0.3536],[0.8259, 0.3141],[0.7767, 0.4767],[0.7228, 0.5769],[0.8752, 0.4305],[0.9363, 0.3636],[0.889, 0.4708],[0.8325, 0.5429]
