"[0.4288, 0.7993]","[0.5245, 0.8069]","[0.6275, 0.729]","[0.6034, 0.6629]","[0.5045, 0.6237]","[0.5922, 0.4153]","[0.683, 0.2277]","[0.7647, 0.1043]","[0.8143, 0.0009]","[0.4565, 0.4182]","[0.4777, 0.2899]","[0.5186, 0.4608]","[0.5273, 0.5581]","[0.3338, 0.467]","[0.3539, 0.387]","[0.42, 0.537]","[0.4327, 0.6169]","[0.2216, 0.55]","[0.2558, 0.4807]","[0.3249, 0.5819]","[0.3443, 0.6381]"
"[0.3886, 0.8489]","[0.5317, 0.8254]","[0.6676, 0.7376]","[0.6474, 0.6618]","[0.5428, 0.6303]","[0.5873, 0.3999]","[0.6925, 0.2174]","[0.77, 0.0955]","[0.8179, -0.0191]","[0.4528, 0.4087]","[0.4711, 0.2838]","[0.5223, 0.4537]","[0.5367, 0.5597]","[0.33, 0.4598]","[0.3521, 0.3813]","[0.427, 0.5368]","[0.4465, 0.6218]","[0.2188, 0.5479]","[0.2577, 0.4882]","[0.3375, 0.5935]","[0.3655, 0.6501]"
"[0.3783, 0.8693]","[0.5353, 0.8292]","[0.666, 0.7408]","[0.6575, 0.6626]","[0.5547, 0.6223]","[0.5911, 0.4056]","[0.7016, 0.2148]","[0.7757, 0.088]","[0.8178, -0.0279]","[0.4561, 0.4116]","[0.4659, 0.2799]","[0.5129, 0.4361]","[0.5304, 0.5464]","[0.3309, 0.4633]","[0.3499, 0.3874]","[0.4223, 0.5339]","[0.4469, 0.6198]","[0.2198, 0.5506]","[0.2597, 0.4964]","[0.3376, 0.5966]","[0.3728, 0.6565]"
"[0.3743, 0.8756]","[0.5368, 0.8308]","[0.6686, 0.7428]","[0.6534, 0.6605]","[0.5491, 0.6197]","[0.5923, 0.4092]","[0.7038, 0.2104]","[0.7782, 0.081]","[0.8206, -0.0393]","[0.4549, 0.4129]","[0.4679, 0.2814]","[0.5113, 0.4332]","[0.5267, 0.5396]","[0.3298, 0.4624]","[0.3518, 0.3951]","[0.4204, 0.5373]","[0.4456, 0.6202]","[0.2195, 0.547]","[0.2595, 0.5035]","[0.3369, 0.6007]","[0.3777, 0.6586]"
"[0.3694, 0.8728]","[0.5356, 0.8285]","[0.6709, 0.7449]","[0.6585, 0.6637]","[0.5549, 0.6198]","[0.5955, 0.4113]","[0.7072, 0.2113]","[0.7808, 0.0819]","[0.8227, -0.0393]","[0.4585, 0.4136]","[0.4703, 0.2804]","[0.5121, 0.4345]","[0.5288, 0.5432]","[0.3325, 0.461]","[0.3536, 0.393]","[0.4184, 0.5392]","[0.4429, 0.6237]","[0.22, 0.5429]","[0.2592, 0.5014]","[0.3333, 0.6005]","[0.3726, 0.6575]"
"[0.3704, 0.879]","[0.5298, 0.8321]","[0.6576, 0.7472]","[0.6483, 0.6678]","[0.5525, 0.6135]","[0.5889, 0.4082]","[0.6943, 0.2088]","[0.762, 0.0798]","[0.8013, -0.0395]","[0.4526, 0.4147]","[0.4604, 0.2767]","[0.5051, 0.4278]","[0.5259, 0.5404]","[0.3273, 0.4651]","[0.3443, 0.3861]","[0.4119, 0.5329]","[0.44, 0.6233]","[0.2162, 0.5488]","[0.2521, 0.4955]","[0.3244, 0.5949]","[0.3628, 0.6562]"
"[0.3563, 0.8831]","[0.5193, 0.8327]","[0.644, 0.7356]","[0.6025, 0.6546]","[0.4977, 0.6084]","[0.5732, 0.4069]","[0.674, 0.1995]","[0.7407, 0.0645]","[0.7816, -0.058]","[0.4346, 0.4165]","[0.4386, 0.2701]","[0.4774, 0.4148]","[0.4962, 0.5253]","[0.311, 0.4684]","[0.3243, 0.3885]","[0.3885, 0.5319]","[0.4138, 0.6207]","[0.2012, 0.5518]","[0.2316, 0.485]","[0.3004, 0.5808]","[0.3342, 0.6425]"
"[0.345, 0.8801]","[0.5063, 0.8301]","[0.6267, 0.7257]","[0.5702, 0.6389]","[0.4531, 0.6018]","[0.5569, 0.3998]","[0.6507, 0.1828]","[0.7077, 0.0393]","[0.7393, -0.0863]","[0.4181, 0.4133]","[0.4138, 0.2765]","[0.4517, 0.4205]","[0.4736, 0.5263]","[0.2948, 0.4682]","[0.2981, 0.3855]","[0.3597, 0.5261]","[0.3854, 0.6119]","[0.1829, 0.5546]","[0.2015, 0.4887]","[0.2673, 0.5833]","[0.3015, 0.6427]"
"[0.3335, 0.883]","[0.4965, 0.8241]","[0.6128, 0.7159]","[0.5439, 0.6293]","[0.4225, 0.5981]","[0.5367, 0.4012]","[0.6154, 0.1905]","[0.6661, 0.0553]","[0.6934, -0.0611]","[0.401, 0.4171]","[0.3875, 0.273]","[0.4267, 0.4127]","[0.4514, 0.5244]","[0.2804, 0.4708]","[0.2737, 0.3873]","[0.3364, 0.5249]","[0.3659, 0.615]","[0.1701, 0.5535]","[0.1775, 0.4898]","[0.2409, 0.5785]","[0.2771, 0.6371]"
"[0.3351, 0.8734]","[0.4945, 0.8088]","[0.6022, 0.7004]","[0.5251, 0.6189]","[0.4029, 0.5972]","[0.5197, 0.3877]","[0.5902, 0.1762]","[0.6284, 0.0429]","[0.6464, -0.0692]","[0.384, 0.4098]","[0.3605, 0.27]","[0.403, 0.4048]","[0.4356, 0.5128]","[0.2655, 0.4672]","[0.2492, 0.3833]","[0.3173, 0.5134]","[0.3553, 0.601]","[0.1595, 0.5528]","[0.1544, 0.4823]","[0.22, 0.5674]","[0.2633, 0.6266]"
"[0.3271, 0.8762]","[0.4791, 0.8078]","[0.5835, 0.6947]","[0.5071, 0.6144]","[0.3834, 0.5949]","[0.5004, 0.3844]","[0.5613, 0.1708]","[0.5938, 0.0348]","[0.6072, -0.0768]","[0.3668, 0.4109]","[0.3424, 0.2653]","[0.3838, 0.4026]","[0.4156, 0.5115]","[0.2508, 0.47]","[0.2326, 0.3848]","[0.2975, 0.5182]","[0.3334, 0.6041]","[0.1478, 0.5547]","[0.1414, 0.4798]","[0.2039, 0.5679]","[0.2425, 0.6277]"
