"[0.5944, 0.794]","[0.4677, 0.8008]","[0.3203, 0.7258]","[0.284, 0.6277]","[0.379, 0.5941]","[0.3861, 0.4229]","[0.3171, 0.2328]","[0.2756, 0.0919]","[0.2455, -0.0226]","[0.52, 0.3952]","[0.4856, 0.3541]","[0.4857, 0.5216]","[0.49, 0.6335]","[0.6448, 0.4185]","[0.6069, 0.4247]","[0.5863, 0.573]","[0.5763, 0.6613]","[0.7586, 0.4738]","[0.7144, 0.4863]","[0.6816, 0.5951]","[0.6702, 0.6535]"
"[0.6174, 0.8268]","[0.4708, 0.8115]","[0.3204, 0.7222]","[0.2801, 0.6171]","[0.3922, 0.5888]","[0.3898, 0.4143]","[0.3224, 0.2256]","[0.282, 0.0969]","[0.2568, -0.0093]","[0.5269, 0.3848]","[0.4841, 0.3562]","[0.48, 0.5213]","[0.4853, 0.6278]","[0.6517, 0.4101]","[0.6119, 0.4271]","[0.5845, 0.5695]","[0.573, 0.647]","[0.763, 0.4695]","[0.7236, 0.491]","[0.686, 0.5959]","[0.6731, 0.6472]"
"[0.6206, 0.8318]","[0.4702, 0.8079]","[0.321, 0.7255]","[0.274, 0.6283]","[0.3884, 0.5843]","[0.3888, 0.4057]","[0.3199, 0.2082]","[0.2809, 0.0777]","[0.2582, -0.0294]","[0.5252, 0.3795]","[0.4828, 0.3629]","[0.4752, 0.5255]","[0.4773, 0.636]","[0.651, 0.4048]","[0.6093, 0.4331]","[0.5801, 0.5745]","[0.564, 0.6573]","[0.7625, 0.4625]","[0.7237, 0.4885]","[0.6816, 0.5936]","[0.6616, 0.6495]"
"[0.6242, 0.8374]","[0.4705, 0.8056]","[0.3213, 0.7269]","[0.2786, 0.633]","[0.3896, 0.5873]","[0.3894, 0.4092]","[0.3205, 0.2253]","[0.2801, 0.1059]","[0.251, 0.0052]","[0.5261, 0.38]","[0.4825, 0.367]","[0.4777, 0.5295]","[0.4785, 0.6443]","[0.6515, 0.4026]","[0.6071, 0.4374]","[0.5798, 0.5795]","[0.5632, 0.6679]","[0.7618, 0.4576]","[0.7238, 0.4903]","[0.6817, 0.5953]","[0.6599, 0.6549]"
"[0.6167, 0.8394]","[0.4639, 0.8117]","[0.3101, 0.7235]","[0.2727, 0.6226]","[0.3858, 0.5863]","[0.3821, 0.4116]","[0.3068, 0.2185]","[0.264, 0.0964]","[0.2353, -0.0066]","[0.5194, 0.386]","[0.477, 0.3719]","[0.4712, 0.5384]","[0.4736, 0.6519]","[0.6448, 0.4105]","[0.6039, 0.4338]","[0.576, 0.5823]","[0.5599, 0.6736]","[0.7544, 0.4668]","[0.7177, 0.4876]","[0.6745, 0.5949]","[0.6534, 0.6553]"
"[0.6166, 0.8433]","[0.4662, 0.813]","[0.3139, 0.7275]","[0.2797, 0.6277]","[0.3959, 0.5841]","[0.3842, 0.4168]","[0.305, 0.2205]","[0.2597, 0.1001]","[0.2276, -0.0009]","[0.5204, 0.3942]","[0.4791, 0.3661]","[0.4734, 0.5314]","[0.4763, 0.6455]","[0.6438, 0.4175]","[0.6021, 0.4288]","[0.5743, 0.5767]","[0.5598, 0.6675]","[0.7533, 0.4704]","[0.7167, 0.483]","[0.6747, 0.5897]","[0.6553, 0.6504]"
"[0.618, 0.8421]","[0.4692, 0.8055]","[0.3244, 0.7156]","[0.2991, 0.6187]","[0.4094, 0.5756]","[0.3942, 0.4124]","[0.3184, 0.2104]","[0.2801, 0.0864]","[0.2542, -0.017]","[0.5298, 0.3964]","[0.4891, 0.3573]","[0.4863, 0.5239]","[0.4938, 0.6361]","[0.6525, 0.4231]","[0.612, 0.4273]","[0.5858, 0.5749]","[0.5748, 0.6612]","[0.7632, 0.4779]","[0.7277, 0.486]","[0.6862, 0.5933]","[0.6682, 0.6508]"
"[0.6245, 0.8464]","[0.4748, 0.8027]","[0.3327, 0.71]","[0.3137, 0.6075]","[0.4281, 0.5671]","[0.4135, 0.4149]","[0.3458, 0.2108]","[0.311, 0.0891]","[0.287, -0.0126]","[0.5479, 0.4067]","[0.5195, 0.3535]","[0.51, 0.5175]","[0.5103, 0.637]","[0.6681, 0.4359]","[0.642, 0.4247]","[0.609, 0.5686]","[0.5916, 0.6619]","[0.7766, 0.4905]","[0.7551, 0.4804]","[0.7089, 0.5842]","[0.6842, 0.648]"
"[0.6282, 0.8432]","[0.4837, 0.8027]","[0.3423, 0.7085]","[0.3279, 0.6087]","[0.4386, 0.5653]","[0.4258, 0.4162]","[0.3718, 0.2118]","[0.3475, 0.0925]","[0.3338, -0.0077]","[0.5583, 0.4165]","[0.5396, 0.3385]","[0.5289, 0.5106]","[0.5307, 0.633]","[0.6771, 0.4497]","[0.6646, 0.4095]","[0.6296, 0.5647]","[0.6118, 0.6604]","[0.787, 0.5063]","[0.7777, 0.4665]","[0.7321, 0.5745]","[0.7056, 0.6387]"
"[0.6288, 0.8361]","[0.4842, 0.7967]","[0.3461, 0.7001]","[0.334, 0.602]","[0.4455, 0.5607]","[0.4347, 0.4098]","[0.3849, 0.2028]","[0.3681, 0.0853]","[0.3626, -0.0115]","[0.568, 0.4114]","[0.5545, 0.3405]","[0.5448, 0.5143]","[0.5448, 0.6323]","[0.6854, 0.4446]","[0.6747, 0.4128]","[0.6399, 0.5675]","[0.6198, 0.6568]","[0.7924, 0.4999]","[0.7866, 0.4631]","[0.7409, 0.572]","[0.7112, 0.6334]"
"[0.6302, 0.8332]","[0.4867, 0.7954]","[0.3539, 0.7022]","[0.3427, 0.6053]","[0.4564, 0.5579]","[0.4449, 0.4047]","[0.4045, 0.1937]","[0.3951, 0.0736]","[0.3954, -0.0245]","[0.58, 0.4074]","[0.5695, 0.3455]","[0.5576, 0.5196]","[0.5563, 0.6357]","[0.6977, 0.4426]","[0.6836, 0.4199]","[0.6481, 0.572]","[0.6305, 0.655]","[0.8046, 0.4992]","[0.7957, 0.4714]","[0.7502, 0.5771]","[0.7232, 0.6322]"
"[0.639, 0.8432]","[0.4923, 0.7912]","[0.3617, 0.6945]","[0.3538, 0.5918]","[0.4764, 0.5512]","[0.4607, 0.4071]","[0.4364, 0.2022]","[0.4338, 0.0822]","[0.4372, -0.0185]","[0.5932, 0.4073]","[0.5885, 0.3457]","[0.5773, 0.5133]","[0.5687, 0.6336]","[0.7092, 0.4396]","[0.7038, 0.4269]","[0.6684, 0.5749]","[0.6425, 0.6656]","[0.8133, 0.4955]","[0.8116, 0.4819]","[0.7666, 0.5872]","[0.7343, 0.6494]"
"[0.6391, 0.8437]","[0.4918, 0.7876]","[0.3649, 0.6815]","[0.3676, 0.5799]","[0.4823, 0.548]","[0.4704, 0.4013]","[0.4543, 0.187]","[0.461, 0.0617]","[0.4681, -0.0407]","[0.6001, 0.4115]","[0.6047, 0.3527]","[0.5914, 0.5103]","[0.5729, 0.6297]","[0.7152, 0.4473]","[0.7211, 0.4167]","[0.6838, 0.5581]","[0.6454, 0.6565]","[0.8168, 0.5026]","[0.8287, 0.4659]","[0.7867, 0.5647]","[0.7479, 0.6335]"
"[0.6429, 0.8452]","[0.4943, 0.7831]","[0.3653, 0.6651]","[0.3784, 0.5663]","[0.4969, 0.5482]","[0.4782, 0.388]","[0.4735, 0.1796]","[0.483, 0.0578]","[0.4922, -0.044]","[0.61, 0.4008]","[0.6171, 0.3461]","[0.5969, 0.5102]","[0.5759, 0.6315]","[0.7248, 0.4405]","[0.7307, 0.4189]","[0.6901, 0.5662]","[0.6531, 0.6639]","[0.8245, 0.5011]","[0.8359, 0.4755]","[0.7901, 0.579]","[0.7529, 0.6447]"
"[0.6414, 0.8365]","[0.4965, 0.7776]","[0.3753, 0.6645]","[0.3904, 0.5733]","[0.5096, 0.556]","[0.492, 0.3886]","[0.4954, 0.1664]","[0.515, 0.0398]","[0.5325, -0.0641]","[0.6226, 0.4044]","[0.6297, 0.3531]","[0.606, 0.5181]","[0.582, 0.6374]","[0.7354, 0.4453]","[0.7382, 0.4254]","[0.695, 0.5733]","[0.6558, 0.6692]","[0.8333, 0.5049]","[0.8426, 0.4794]","[0.7974, 0.5823]","[0.7588, 0.6463]"
"[0.6455, 0.8302]","[0.5036, 0.7738]","[0.3859, 0.6645]","[0.4, 0.5741]","[0.5211, 0.5501]","[0.5045, 0.3831]","[0.5208, 0.1642]","[0.5457, 0.0409]","[0.5684, -0.0645]","[0.6344, 0.4]","[0.6483, 0.3529]","[0.623, 0.5222]","[0.5976, 0.6408]","[0.7456, 0.4425]","[0.7547, 0.425]","[0.7101, 0.5766]","[0.6714, 0.6711]","[0.8414, 0.5038]","[0.8579, 0.4828]","[0.8122, 0.5907]","[0.7745, 0.655]"
"[0.6463, 0.8324]","[0.5054, 0.7745]","[0.3905, 0.6588]","[0.4107, 0.5674]","[0.5308, 0.546]","[0.5176, 0.3751]","[0.5431, 0.157]","[0.5725, 0.0341]","[0.5987, -0.07]","[0.6461, 0.3949]","[0.668, 0.3535]","[0.6389, 0.5221]","[0.6093, 0.6382]","[0.7556, 0.4395]","[0.7699, 0.4269]","[0.7238, 0.5758]","[0.6844, 0.6673]","[0.8485, 0.5025]","[0.8707, 0.4832]","[0.8242, 0.5905]","[0.7853, 0.6537]"
"[0.6554, 0.8388]","[0.5106, 0.7734]","[0.3967, 0.6525]","[0.4219, 0.5616]","[0.5434, 0.5429]","[0.523, 0.3787]","[0.5545, 0.1677]","[0.5886, 0.0492]","[0.6196, -0.0541]","[0.6534, 0.3959]","[0.679, 0.3536]","[0.6496, 0.5222]","[0.6206, 0.638]","[0.7641, 0.4399]","[0.7801, 0.4287]","[0.7328, 0.5755]","[0.6931, 0.6665]","[0.8576, 0.5033]","[0.8795, 0.4873]","[0.8308, 0.5897]","[0.7903, 0.6492]"
"[0.6577, 0.8364]","[0.5171, 0.769]","[0.4087, 0.6477]","[0.4359, 0.5576]","[0.5533, 0.5408]","[0.5397, 0.3743]","[0.5771, 0.1678]","[0.6165, 0.0509]","[0.6514, -0.0491]","[0.6656, 0.3955]","[0.6935, 0.3593]","[0.6632, 0.5217]","[0.6321, 0.6375]","[0.7731, 0.4417]","[0.79, 0.4343]","[0.743, 0.577]","[0.7008, 0.6706]","[0.8638, 0.506]","[0.8894, 0.4867]","[0.842, 0.5864]","[0.8004, 0.6492]"
