"[0.5258, 0.7321]","[0.4242, 0.7123]","[0.3375, 0.6483]","[0.3674, 0.5984]","[0.4554, 0.5875]","[0.4013, 0.4545]","[0.3586, 0.3278]","[0.3363, 0.2522]","[0.3205, 0.1786]","[0.4969, 0.4416]","[0.519, 0.3729]","[0.523, 0.4938]","[0.5133, 0.5669]","[0.5796, 0.4586]","[0.6034, 0.4343]","[0.5879, 0.5406]","[0.5667, 0.597]","[0.6509, 0.4932]","[0.6725, 0.461]","[0.6505, 0.5392]","[0.6245, 0.583]"
"[0.526, 0.7403]","[0.4207, 0.7125]","[0.3385, 0.6419]","[0.375, 0.5915]","[0.4655, 0.5803]","[0.4025, 0.4529]","[0.3613, 0.3234]","[0.3382, 0.2462]","[0.3241, 0.1746]","[0.4993, 0.4448]","[0.5237, 0.3657]","[0.523, 0.4824]","[0.5158, 0.5561]","[0.5819, 0.4647]","[0.6084, 0.4228]","[0.5855, 0.5283]","[0.5629, 0.5878]","[0.6539, 0.5021]","[0.674, 0.4675]","[0.6475, 0.5438]","[0.623, 0.5868]"
"[0.529, 0.7386]","[0.4235, 0.71]","[0.3421, 0.6428]","[0.3753, 0.5941]","[0.4603, 0.5789]","[0.407, 0.4517]","[0.3625, 0.321]","[0.3383, 0.2453]","[0.3241, 0.1753]","[0.5031, 0.4444]","[0.5271, 0.3685]","[0.5254, 0.4835]","[0.5166, 0.5538]","[0.5855, 0.4637]","[0.6124, 0.4258]","[0.5899, 0.534]","[0.5667, 0.5924]","[0.6571, 0.4997]","[0.6785, 0.4659]","[0.6529, 0.5453]","[0.6287, 0.5891]"
"[0.5337, 0.7403]","[0.4269, 0.7145]","[0.3435, 0.6464]","[0.3782, 0.5947]","[0.4652, 0.5784]","[0.4064, 0.4543]","[0.3624, 0.3236]","[0.3387, 0.2483]","[0.3249, 0.1778]","[0.504, 0.4453]","[0.5293, 0.3698]","[0.5291, 0.4869]","[0.5209, 0.5563]","[0.5869, 0.4641]","[0.614, 0.4271]","[0.593, 0.5344]","[0.5703, 0.59]","[0.6583, 0.5003]","[0.6802, 0.4654]","[0.656, 0.5443]","[0.6315, 0.587]"
"[0.5352, 0.7405]","[0.4284, 0.7146]","[0.3455, 0.6474]","[0.3778, 0.5968]","[0.4623, 0.5792]","[0.4091, 0.4554]","[0.3654, 0.3241]","[0.3412, 0.2482]","[0.3266, 0.1767]","[0.5064, 0.4459]","[0.531, 0.3695]","[0.5312, 0.4869]","[0.523, 0.5598]","[0.589, 0.4642]","[0.6149, 0.4264]","[0.5947, 0.5335]","[0.5719, 0.5915]","[0.6596, 0.4999]","[0.6813, 0.4649]","[0.6571, 0.5433]","[0.6318, 0.5868]"
"[0.5364, 0.7428]","[0.4312, 0.7144]","[0.3493, 0.645]","[0.3819, 0.5921]","[0.4686, 0.5754]","[0.412, 0.4559]","[0.3684, 0.3231]","[0.3453, 0.2464]","[0.331, 0.174]","[0.508, 0.4476]","[0.5311, 0.3704]","[0.5296, 0.4872]","[0.5214, 0.5587]","[0.59, 0.4664]","[0.6159, 0.4279]","[0.594, 0.5351]","[0.572, 0.5919]","[0.6615, 0.5026]","[0.683, 0.4663]","[0.6573, 0.5447]","[0.632, 0.587]"
"[0.5346, 0.7402]","[0.4328, 0.71]","[0.3516, 0.6406]","[0.3797, 0.5888]","[0.4653, 0.5726]","[0.4197, 0.4484]","[0.3808, 0.3131]","[0.3619, 0.2363]","[0.352, 0.1644]","[0.5134, 0.4454]","[0.5431, 0.3647]","[0.5365, 0.4813]","[0.5235, 0.5543]","[0.5933, 0.4667]","[0.6234, 0.4242]","[0.5978, 0.5304]","[0.5725, 0.5874]","[0.6628, 0.5043]","[0.688, 0.4622]","[0.6602, 0.5387]","[0.632, 0.5808]"
"[0.5319, 0.7459]","[0.4292, 0.7116]","[0.3523, 0.6385]","[0.3891, 0.5885]","[0.4747, 0.5737]","[0.4246, 0.4464]","[0.3916, 0.3088]","[0.377, 0.2295]","[0.3702, 0.1561]","[0.518, 0.4469]","[0.5476, 0.3662]","[0.5412, 0.4804]","[0.5295, 0.5539]","[0.5975, 0.4718]","[0.6282, 0.4249]","[0.6029, 0.5284]","[0.5789, 0.5862]","[0.6661, 0.5126]","[0.6939, 0.4642]","[0.6654, 0.5378]","[0.6373, 0.5806]"
"[0.5317, 0.7469]","[0.4338, 0.7074]","[0.3604, 0.6348]","[0.3951, 0.5872]","[0.475, 0.5714]","[0.4325, 0.4377]","[0.4074, 0.3011]","[0.3976, 0.2222]","[0.3946, 0.1497]","[0.5248, 0.4441]","[0.5612, 0.361]","[0.5485, 0.4708]","[0.5291, 0.545]","[0.6031, 0.4734]","[0.6407, 0.4291]","[0.6094, 0.5312]","[0.5782, 0.5894]","[0.6693, 0.5179]","[0.7036, 0.4716]","[0.6721, 0.5444]","[0.6397, 0.5863]"
"[0.5333, 0.7471]","[0.4386, 0.7025]","[0.3692, 0.6272]","[0.4093, 0.5783]","[0.4917, 0.5651]","[0.4446, 0.4341]","[0.4309, 0.2963]","[0.4305, 0.2159]","[0.4341, 0.1423]","[0.5351, 0.4447]","[0.5745, 0.3621]","[0.5607, 0.4673]","[0.5388, 0.5415]","[0.6114, 0.4768]","[0.649, 0.4331]","[0.6173, 0.5303]","[0.5836, 0.588]","[0.6761, 0.5239]","[0.7104, 0.4786]","[0.6777, 0.5473]","[0.642, 0.5896]"
"[0.5338, 0.7453]","[0.4415, 0.7005]","[0.3796, 0.6276]","[0.424, 0.5832]","[0.5032, 0.5684]","[0.4499, 0.4296]","[0.446, 0.2898]","[0.4541, 0.207]","[0.4633, 0.1308]","[0.5406, 0.4425]","[0.5859, 0.3632]","[0.5706, 0.4697]","[0.5436, 0.5408]","[0.6165, 0.4762]","[0.6559, 0.4402]","[0.6216, 0.539]","[0.5827, 0.5929]","[0.6804, 0.5244]","[0.7183, 0.4837]","[0.6842, 0.5537]","[0.6438, 0.5941]"
"[0.5351, 0.7416]","[0.4416, 0.6957]","[0.3816, 0.6195]","[0.4307, 0.5759]","[0.5139, 0.5645]","[0.4563, 0.4236]","[0.4569, 0.2822]","[0.4704, 0.1995]","[0.4839, 0.1246]","[0.5465, 0.4376]","[0.5936, 0.3667]","[0.5766, 0.4741]","[0.5486, 0.542]","[0.6217, 0.4713]","[0.6627, 0.4433]","[0.6267, 0.5434]","[0.5872, 0.5936]","[0.6853, 0.5193]","[0.7231, 0.4885]","[0.687, 0.56]","[0.6451, 0.5967]"
"[0.5311, 0.7354]","[0.4381, 0.6884]","[0.3797, 0.6122]","[0.4314, 0.5714]","[0.5205, 0.5664]","[0.4643, 0.4186]","[0.4739, 0.2755]","[0.4902, 0.1926]","[0.5071, 0.1158]","[0.5551, 0.4351]","[0.6071, 0.3672]","[0.5867, 0.4751]","[0.5571, 0.5365]","[0.6293, 0.4712]","[0.6758, 0.4506]","[0.636, 0.545]","[0.5929, 0.5843]","[0.6887, 0.5209]","[0.7318, 0.501]","[0.6947, 0.5676]","[0.651, 0.5956]"
"[0.5321, 0.7358]","[0.4411, 0.6864]","[0.3871, 0.6063]","[0.4408, 0.5663]","[0.5272, 0.5632]","[0.4688, 0.4123]","[0.4866, 0.271]","[0.51, 0.1873]","[0.5317, 0.1118]","[0.5587, 0.4334]","[0.6115, 0.3686]","[0.5904, 0.4769]","[0.5607, 0.5389]","[0.6321, 0.473]","[0.6773, 0.449]","[0.6373, 0.5451]","[0.5963, 0.5859]","[0.6913, 0.5264]","[0.7329, 0.4994]","[0.6954, 0.5676]","[0.6539, 0.598]"
"[0.531, 0.7357]","[0.4402, 0.6839]","[0.3892, 0.6046]","[0.4446, 0.5674]","[0.5298, 0.5629]","[0.4803, 0.4062]","[0.5012, 0.2658]","[0.5285, 0.1829]","[0.5532, 0.1081]","[0.5691, 0.43]","[0.6281, 0.3731]","[0.6028, 0.484]","[0.5663, 0.5451]","[0.6405, 0.4718]","[0.6905, 0.458]","[0.6463, 0.5528]","[0.5979, 0.5903]","[0.696, 0.5265]","[0.7431, 0.5098]","[0.7034, 0.5761]","[0.6558, 0.6026]"
"[0.5402, 0.7369]","[0.4499, 0.6827]","[0.4019, 0.6006]","[0.4577, 0.5634]","[0.5399, 0.5592]","[0.4913, 0.4043]","[0.5175, 0.2633]","[0.5481, 0.1793]","[0.5758, 0.104]","[0.5791, 0.4305]","[0.6398, 0.3672]","[0.6151, 0.474]","[0.5793, 0.5355]","[0.6497, 0.4749]","[0.6992, 0.453]","[0.6563, 0.5466]","[0.6094, 0.5864]","[0.7047, 0.5322]","[0.7495, 0.5089]","[0.7109, 0.5727]","[0.6654, 0.5998]"
"[0.5401, 0.7346]","[0.452, 0.6776]","[0.4043, 0.591]","[0.4634, 0.5529]","[0.5513, 0.5546]","[0.4981, 0.3999]","[0.5322, 0.2593]","[0.5685, 0.1776]","[0.6013, 0.1045]","[0.5857, 0.428]","[0.65, 0.3628]","[0.6253, 0.4679]","[0.5891, 0.5325]","[0.6555, 0.4731]","[0.7073, 0.449]","[0.6636, 0.5412]","[0.616, 0.5854]","[0.709, 0.5309]","[0.7556, 0.5035]","[0.7182, 0.5643]","[0.6734, 0.5941]"
"[0.5402, 0.7366]","[0.4519, 0.6787]","[0.4058, 0.591]","[0.4683, 0.5535]","[0.5586, 0.5562]","[0.5042, 0.3994]","[0.5455, 0.2565]","[0.5872, 0.1745]","[0.6245, 0.1013]","[0.5913, 0.4298]","[0.6574, 0.3653]","[0.6306, 0.4698]","[0.5936, 0.5312]","[0.6602, 0.4772]","[0.7144, 0.4524]","[0.6708, 0.5424]","[0.6239, 0.5823]","[0.713, 0.5371]","[0.7617, 0.5078]","[0.7238, 0.5669]","[0.678, 0.5945]"
