"[0.6598, 0.8687]","[0.4798, 0.7773]","[0.3933, 0.6528]","[0.3304, 0.5533]","[0.3349, 0.4688]","[0.6559, 0.4023]","[0.5916, 0.2146]","[0.4657, 0.1894]","[0.3704, 0.2242]","[0.7064, 0.4051]","[0.4376, 0.3716]","[0.4125, 0.5096]","[0.4812, 0.5557]","[0.7111, 0.4393]","[0.4304, 0.4336]","[0.4238, 0.5583]","[0.4934, 0.5961]","[0.6783, 0.4956]","[0.449, 0.4874]","[0.4415, 0.5859]","[0.5038, 0.6356]"
"[0.6943, 0.8971]","[0.4842, 0.7763]","[0.3876, 0.6433]","[0.3246, 0.5359]","[0.3398, 0.4579]","[0.6601, 0.3874]","[0.5755, 0.2022]","[0.4533, 0.1779]","[0.3639, 0.2233]","[0.7105, 0.3974]","[0.429, 0.3568]","[0.397, 0.5014]","[0.4682, 0.5607]","[0.7097, 0.4333]","[0.423, 0.4268]","[0.4143, 0.5586]","[0.4833, 0.5961]","[0.67, 0.489]","[0.4454, 0.4865]","[0.4437, 0.5833]","[0.5064, 0.6205]"
"[0.6938, 0.906]","[0.4827, 0.7725]","[0.3935, 0.6374]","[0.3269, 0.5302]","[0.3161, 0.4516]","[0.6574, 0.3847]","[0.5764, 0.1996]","[0.4541, 0.1738]","[0.3598, 0.2184]","[0.7074, 0.3916]","[0.4221, 0.3488]","[0.4032, 0.4953]","[0.4753, 0.5539]","[0.7086, 0.4256]","[0.4189, 0.4183]","[0.423, 0.5533]","[0.4915, 0.5885]","[0.6708, 0.4792]","[0.4448, 0.4742]","[0.4517, 0.5726]","[0.5146, 0.6062]"
"[0.6974, 0.905]","[0.4797, 0.7697]","[0.3931, 0.6332]","[0.3266, 0.5245]","[0.3147, 0.4472]","[0.6508, 0.3788]","[0.5725, 0.1989]","[0.4526, 0.1741]","[0.3575, 0.2157]","[0.703, 0.3838]","[0.4214, 0.3409]","[0.405, 0.4851]","[0.4743, 0.5454]","[0.7071, 0.4196]","[0.4166, 0.4122]","[0.4258, 0.5452]","[0.4937, 0.5817]","[0.67, 0.4767]","[0.4425, 0.4736]","[0.4561, 0.5674]","[0.5206, 0.5993]"
"[0.6962, 0.909]","[0.4759, 0.7745]","[0.3905, 0.6346]","[0.3257, 0.5224]","[0.3178, 0.443]","[0.6537, 0.3824]","[0.5721, 0.1982]","[0.4508, 0.174]","[0.3565, 0.2166]","[0.7056, 0.387]","[0.4253, 0.341]","[0.4091, 0.4866]","[0.4791, 0.5468]","[0.7087, 0.4226]","[0.4185, 0.4135]","[0.4269, 0.5481]","[0.4957, 0.585]","[0.6693, 0.4792]","[0.4415, 0.4733]","[0.4545, 0.5701]","[0.5202, 0.6039]"
"[0.6972, 0.9159]","[0.4808, 0.7781]","[0.3934, 0.6368]","[0.3278, 0.5259]","[0.3165, 0.4449]","[0.65, 0.3846]","[0.5724, 0.2015]","[0.4519, 0.1747]","[0.3583, 0.2177]","[0.7028, 0.3907]","[0.4243, 0.348]","[0.4056, 0.4937]","[0.4766, 0.551]","[0.7073, 0.427]","[0.4173, 0.4163]","[0.4237, 0.5514]","[0.4943, 0.5859]","[0.6711, 0.4845]","[0.4418, 0.4744]","[0.4533, 0.5706]","[0.5204, 0.6035]"
"[0.6995, 0.919]","[0.4789, 0.7821]","[0.3898, 0.6395]","[0.3247, 0.5245]","[0.3236, 0.443]","[0.6513, 0.3888]","[0.5732, 0.2039]","[0.4527, 0.1773]","[0.36, 0.2226]","[0.7045, 0.3943]","[0.4281, 0.3468]","[0.41, 0.4921]","[0.481, 0.5494]","[0.7102, 0.4287]","[0.4207, 0.4152]","[0.4268, 0.5503]","[0.497, 0.5852]","[0.6748, 0.485]","[0.4451, 0.4767]","[0.4555, 0.5742]","[0.5218, 0.6078]"
"[0.7019, 0.924]","[0.4812, 0.788]","[0.3924, 0.64]","[0.3289, 0.5248]","[0.3277, 0.447]","[0.6539, 0.3897]","[0.5745, 0.205]","[0.4545, 0.1788]","[0.3617, 0.2222]","[0.7075, 0.3961]","[0.4295, 0.3522]","[0.4121, 0.4972]","[0.4841, 0.5538]","[0.7126, 0.4341]","[0.4238, 0.4226]","[0.4282, 0.5566]","[0.4984, 0.5897]","[0.6761, 0.4942]","[0.4466, 0.4842]","[0.4569, 0.5812]","[0.5247, 0.6139]"
"[0.7066, 0.9262]","[0.4813, 0.7889]","[0.3924, 0.6433]","[0.3277, 0.5285]","[0.33, 0.4499]","[0.6518, 0.3904]","[0.5778, 0.2074]","[0.4573, 0.1806]","[0.3609, 0.2232]","[0.7074, 0.3957]","[0.4337, 0.351]","[0.4138, 0.4964]","[0.4811, 0.5576]","[0.7142, 0.4321]","[0.4264, 0.4181]","[0.4303, 0.5533]","[0.4975, 0.594]","[0.677, 0.4904]","[0.4498, 0.4769]","[0.4574, 0.5736]","[0.5207, 0.6115]"
"[0.7071, 0.9264]","[0.4837, 0.7872]","[0.3962, 0.6443]","[0.332, 0.5305]","[0.3297, 0.455]","[0.6595, 0.3935]","[0.576, 0.2075]","[0.4542, 0.1816]","[0.3602, 0.2276]","[0.7111, 0.3988]","[0.4327, 0.3529]","[0.4166, 0.4976]","[0.4886, 0.5539]","[0.7131, 0.4345]","[0.4237, 0.4201]","[0.4296, 0.5533]","[0.4995, 0.5891]","[0.672, 0.4904]","[0.4449, 0.4819]","[0.4554, 0.5773]","[0.5209, 0.6112]"
"[0.7078, 0.9321]","[0.4837, 0.794]","[0.3954, 0.6486]","[0.3301, 0.5337]","[0.3287, 0.4566]","[0.6535, 0.3968]","[0.5772, 0.2097]","[0.4562, 0.1828]","[0.3619, 0.2277]","[0.7083, 0.4016]","[0.4348, 0.355]","[0.4157, 0.4992]","[0.4852, 0.5586]","[0.7135, 0.4364]","[0.4256, 0.4232]","[0.4312, 0.5577]","[0.5007, 0.5957]","[0.6762, 0.4925]","[0.4496, 0.4848]","[0.4592, 0.5811]","[0.5245, 0.6156]"
"[0.7076, 0.9374]","[0.4843, 0.7981]","[0.3941, 0.6522]","[0.3265, 0.5371]","[0.3284, 0.4596]","[0.656, 0.4011]","[0.5782, 0.2127]","[0.4557, 0.1879]","[0.3599, 0.2328]","[0.7095, 0.4044]","[0.4341, 0.3562]","[0.4149, 0.5009]","[0.4827, 0.5648]","[0.7146, 0.4377]","[0.4242, 0.4274]","[0.4314, 0.5628]","[0.5003, 0.6057]","[0.6764, 0.4914]","[0.4477, 0.4851]","[0.4561, 0.5841]","[0.5198, 0.624]"
"[0.7147, 0.9393]","[0.4853, 0.7983]","[0.3944, 0.6533]","[0.3236, 0.5361]","[0.3314, 0.4593]","[0.654, 0.3992]","[0.5794, 0.2147]","[0.4566, 0.1876]","[0.3574, 0.2307]","[0.7091, 0.403]","[0.4328, 0.3544]","[0.4123, 0.4996]","[0.4769, 0.5646]","[0.715, 0.4376]","[0.4211, 0.4247]","[0.4278, 0.561]","[0.4941, 0.6056]","[0.6762, 0.4929]","[0.4437, 0.4873]","[0.453, 0.5857]","[0.5159, 0.6243]"
"[0.7126, 0.9378]","[0.4847, 0.7982]","[0.395, 0.6559]","[0.3268, 0.5425]","[0.3294, 0.4634]","[0.6506, 0.4017]","[0.5756, 0.2152]","[0.4509, 0.1869]","[0.3505, 0.2325]","[0.7062, 0.4049]","[0.4344, 0.3598]","[0.4168, 0.5061]","[0.4845, 0.5677]","[0.7128, 0.4368]","[0.4211, 0.4273]","[0.4295, 0.5635]","[0.4985, 0.6031]","[0.675, 0.4884]","[0.4416, 0.4881]","[0.4532, 0.5874]","[0.5199, 0.6209]"
"[0.7124, 0.9399]","[0.4846, 0.7968]","[0.3964, 0.6539]","[0.3287, 0.5407]","[0.3298, 0.4661]","[0.6547, 0.4037]","[0.5784, 0.2173]","[0.4544, 0.1897]","[0.3548, 0.2312]","[0.7094, 0.4086]","[0.4358, 0.3629]","[0.4202, 0.5084]","[0.4889, 0.5665]","[0.7147, 0.4433]","[0.424, 0.4326]","[0.4335, 0.567]","[0.5026, 0.6043]","[0.6753, 0.4986]","[0.444, 0.493]","[0.4568, 0.5907]","[0.5232, 0.6249]"
"[0.7155, 0.9443]","[0.4891, 0.8036]","[0.3989, 0.6572]","[0.3306, 0.5423]","[0.3335, 0.4687]","[0.6611, 0.4061]","[0.5798, 0.2177]","[0.4558, 0.1916]","[0.357, 0.232]","[0.7146, 0.4109]","[0.4375, 0.3647]","[0.4209, 0.5127]","[0.49, 0.5727]","[0.7174, 0.4458]","[0.4259, 0.4328]","[0.4344, 0.5701]","[0.5043, 0.6086]","[0.6767, 0.5015]","[0.4466, 0.4923]","[0.4591, 0.5921]","[0.5252, 0.6287]"
"[0.7151, 0.9458]","[0.4873, 0.8029]","[0.3987, 0.6568]","[0.3316, 0.5406]","[0.3378, 0.4694]","[0.6585, 0.4057]","[0.583, 0.2206]","[0.4601, 0.192]","[0.3607, 0.232]","[0.7135, 0.4099]","[0.441, 0.3632]","[0.4243, 0.5109]","[0.4933, 0.5716]","[0.7193, 0.4445]","[0.4292, 0.4301]","[0.437, 0.5673]","[0.5067, 0.6073]","[0.6798, 0.5002]","[0.4479, 0.4883]","[0.4584, 0.5883]","[0.5242, 0.6264]"
"[0.7142, 0.9435]","[0.4878, 0.8038]","[0.3984, 0.6589]","[0.3326, 0.5419]","[0.3395, 0.4713]","[0.6574, 0.407]","[0.5822, 0.22]","[0.4606, 0.1905]","[0.3626, 0.2328]","[0.7122, 0.4124]","[0.4387, 0.3681]","[0.4238, 0.5131]","[0.4933, 0.5735]","[0.718, 0.4472]","[0.4289, 0.4348]","[0.4376, 0.5678]","[0.5067, 0.6078]","[0.6792, 0.5026]","[0.4496, 0.4938]","[0.4608, 0.5903]","[0.5262, 0.6276]"
"[0.7123, 0.9438]","[0.4868, 0.8024]","[0.3965, 0.6576]","[0.3288, 0.5418]","[0.336, 0.4686]","[0.6581, 0.4066]","[0.5825, 0.2219]","[0.4612, 0.1909]","[0.3631, 0.2299]","[0.7126, 0.4126]","[0.4377, 0.3653]","[0.4213, 0.5114]","[0.4914, 0.5697]","[0.7183, 0.4485]","[0.4276, 0.4328]","[0.4338, 0.5677]","[0.5036, 0.6041]","[0.6813, 0.5062]","[0.4489, 0.494]","[0.4585, 0.592]","[0.525, 0.6274]"
"[0.7115, 0.9451]","[0.4882, 0.8074]","[0.3966, 0.6616]","[0.3289, 0.5448]","[0.3324, 0.4706]","[0.6567, 0.4087]","[0.5812, 0.2222]","[0.4599, 0.1907]","[0.3639, 0.2312]","[0.7102, 0.4155]","[0.4357, 0.3653]","[0.4192, 0.5121]","[0.4914, 0.5705]","[0.7158, 0.4513]","[0.4255, 0.4329]","[0.4325, 0.5688]","[0.5046, 0.6041]","[0.68, 0.5092]","[0.4481, 0.4961]","[0.4586, 0.5949]","[0.5273, 0.6288]"
"[0.711, 0.9467]","[0.4863, 0.8084]","[0.394, 0.6638]","[0.3256, 0.5479]","[0.331, 0.4707]","[0.6563, 0.4103]","[0.5809, 0.2221]","[0.4576, 0.1911]","[0.3592, 0.2324]","[0.7108, 0.4162]","[0.4363, 0.3673]","[0.4205, 0.5135]","[0.4915, 0.5715]","[0.717, 0.4509]","[0.4249, 0.4348]","[0.4334, 0.5705]","[0.5041, 0.6065]","[0.6809, 0.5076]","[0.4471, 0.4975]","[0.4599, 0.5959]","[0.5285, 0.6291]"
"[0.7162, 0.9504]","[0.4895, 0.8099]","[0.3953, 0.6661]","[0.3242, 0.55]","[0.332, 0.4697]","[0.6555, 0.4099]","[0.5809, 0.222]","[0.4564, 0.1914]","[0.357, 0.2329]","[0.7113, 0.4155]","[0.4348, 0.368]","[0.4143, 0.5156]","[0.4837, 0.5781]","[0.7183, 0.4507]","[0.4243, 0.435]","[0.4294, 0.5718]","[0.4994, 0.613]","[0.6818, 0.5076]","[0.447, 0.4965]","[0.4562, 0.5956]","[0.5232, 0.6333]"
"[0.7163, 0.946]","[0.489, 0.8091]","[0.3965, 0.6685]","[0.3269, 0.5557]","[0.3292, 0.4757]","[0.6568, 0.4103]","[0.5796, 0.2212]","[0.4544, 0.1915]","[0.3542, 0.2342]","[0.713, 0.4157]","[0.4352, 0.3701]","[0.4163, 0.5155]","[0.4847, 0.5757]","[0.7188, 0.4513]","[0.4256, 0.4389]","[0.4305, 0.5726]","[0.4978, 0.6132]","[0.6797, 0.507]","[0.4476, 0.4994]","[0.4554, 0.5972]","[0.5185, 0.6348]"
"[0.7121, 0.9468]","[0.4864, 0.8094]","[0.3956, 0.6662]","[0.3272, 0.5517]","[0.3318, 0.4717]","[0.6546, 0.4108]","[0.579, 0.2211]","[0.4548, 0.1922]","[0.3569, 0.2366]","[0.7112, 0.4165]","[0.4354, 0.3671]","[0.4158, 0.5112]","[0.4856, 0.5699]","[0.7177, 0.4521]","[0.4239, 0.4353]","[0.4274, 0.5702]","[0.4964, 0.6082]","[0.6801, 0.509]","[0.4447, 0.4991]","[0.4517, 0.5993]","[0.5174, 0.6358]"
"[0.717, 0.9522]","[0.4926, 0.8121]","[0.397, 0.669]","[0.3236, 0.5539]","[0.3269, 0.4744]","[0.6622, 0.4143]","[0.5763, 0.2215]","[0.4527, 0.1962]","[0.3567, 0.2391]","[0.7138, 0.4182]","[0.4328, 0.3689]","[0.4098, 0.5136]","[0.4779, 0.5749]","[0.7146, 0.453]","[0.4246, 0.4399]","[0.4248, 0.5747]","[0.4931, 0.6142]","[0.675, 0.5084]","[0.4502, 0.5032]","[0.4558, 0.6011]","[0.5206, 0.638]"
"[0.7142, 0.952]","[0.4886, 0.8122]","[0.3937, 0.669]","[0.3224, 0.5544]","[0.322, 0.4753]","[0.6567, 0.4153]","[0.575, 0.2243]","[0.4518, 0.1974]","[0.3536, 0.2407]","[0.7078, 0.4184]","[0.4284, 0.3745]","[0.4097, 0.5198]","[0.4791, 0.5797]","[0.7105, 0.4523]","[0.4209, 0.4442]","[0.4256, 0.5786]","[0.4949, 0.6163]","[0.673, 0.5075]","[0.4467, 0.5059]","[0.4568, 0.6039]","[0.5235, 0.6389]"
"[0.7182, 0.9522]","[0.4898, 0.813]","[0.3961, 0.669]","[0.3246, 0.5549]","[0.3214, 0.4763]","[0.6572, 0.4169]","[0.5754, 0.2244]","[0.4503, 0.1968]","[0.3521, 0.2399]","[0.7093, 0.4202]","[0.4291, 0.3714]","[0.4098, 0.5177]","[0.48, 0.5794]","[0.7118, 0.4554]","[0.4224, 0.4441]","[0.4264, 0.5787]","[0.496, 0.6164]","[0.6725, 0.5111]","[0.4465, 0.5078]","[0.4567, 0.6052]","[0.5233, 0.6393]"
"[0.7137, 0.9485]","[0.4873, 0.8105]","[0.3961, 0.666]","[0.3285, 0.5518]","[0.322, 0.4793]","[0.6581, 0.4176]","[0.5744, 0.2241]","[0.4504, 0.1967]","[0.3536, 0.2404]","[0.7107, 0.4224]","[0.4283, 0.3772]","[0.4126, 0.5214]","[0.4845, 0.5797]","[0.7126, 0.4584]","[0.4212, 0.4477]","[0.427, 0.5792]","[0.4974, 0.6145]","[0.6723, 0.5139]","[0.4454, 0.5072]","[0.4543, 0.6026]","[0.5196, 0.6368]"
"[0.7126, 0.9519]","[0.4932, 0.8192]","[0.3994, 0.6706]","[0.3307, 0.5531]","[0.3271, 0.4794]","[0.6642, 0.4206]","[0.5772, 0.2237]","[0.4523, 0.1986]","[0.3593, 0.243]","[0.7152, 0.4268]","[0.4319, 0.3793]","[0.4146, 0.5244]","[0.489, 0.5798]","[0.7151, 0.4631]","[0.4254, 0.4503]","[0.4292, 0.5841]","[0.5008, 0.6169]","[0.6758, 0.5193]","[0.4529, 0.5074]","[0.4591, 0.6042]","[0.5234, 0.6389]"
"[0.7143, 0.9554]","[0.4929, 0.8179]","[0.3981, 0.6669]","[0.3302, 0.5503]","[0.3292, 0.4803]","[0.6578, 0.4168]","[0.5784, 0.2252]","[0.4565, 0.1977]","[0.362, 0.2406]","[0.711, 0.4235]","[0.4311, 0.3801]","[0.4166, 0.5257]","[0.4906, 0.5826]","[0.7147, 0.4605]","[0.425, 0.4525]","[0.4342, 0.5872]","[0.5076, 0.6199]","[0.6798, 0.5182]","[0.454, 0.5094]","[0.4633, 0.6049]","[0.5294, 0.6371]"
"[0.7136, 0.9527]","[0.4888, 0.8156]","[0.3927, 0.6639]","[0.3252, 0.5433]","[0.332, 0.4779]","[0.6569, 0.4147]","[0.5766, 0.2265]","[0.4545, 0.1991]","[0.3588, 0.2419]","[0.7077, 0.4211]","[0.4295, 0.3776]","[0.4171, 0.5227]","[0.4912, 0.5783]","[0.7104, 0.4577]","[0.4223, 0.4468]","[0.4317, 0.5809]","[0.5043, 0.614]","[0.6743, 0.5155]","[0.4489, 0.5073]","[0.4591, 0.6034]","[0.526, 0.6366]"
"[0.7119, 0.9502]","[0.485, 0.8129]","[0.3907, 0.666]","[0.3209, 0.5478]","[0.3261, 0.477]","[0.6556, 0.4147]","[0.5781, 0.2263]","[0.4528, 0.1999]","[0.3559, 0.2427]","[0.7086, 0.4217]","[0.4288, 0.3722]","[0.4106, 0.5192]","[0.4822, 0.578]","[0.7127, 0.459]","[0.4215, 0.4432]","[0.4259, 0.5786]","[0.4955, 0.6164]","[0.6745, 0.5177]","[0.4471, 0.507]","[0.4539, 0.6036]","[0.5179, 0.64]"
"[0.7101, 0.9549]","[0.4795, 0.8097]","[0.3858, 0.665]","[0.3145, 0.5493]","[0.3192, 0.4732]","[0.6489, 0.4128]","[0.574, 0.2258]","[0.45, 0.199]","[0.3508, 0.2413]","[0.705, 0.417]","[0.4248, 0.3708]","[0.4054, 0.5225]","[0.4758, 0.5843]","[0.7117, 0.452]","[0.4168, 0.4433]","[0.4235, 0.5846]","[0.4946, 0.6226]","[0.6753, 0.5103]","[0.4419, 0.5086]","[0.4544, 0.6097]","[0.5238, 0.6427]"
"[0.7109, 0.9517]","[0.4813, 0.808]","[0.3871, 0.6645]","[0.3163, 0.5502]","[0.319, 0.4765]","[0.6525, 0.4134]","[0.5746, 0.2265]","[0.4497, 0.1989]","[0.3514, 0.2408]","[0.7062, 0.4206]","[0.4263, 0.3706]","[0.409, 0.5187]","[0.4809, 0.5759]","[0.7106, 0.4592]","[0.4172, 0.4444]","[0.4238, 0.5797]","[0.4947, 0.6142]","[0.6709, 0.5193]","[0.4391, 0.5094]","[0.4503, 0.605]","[0.518, 0.6371]"
"[0.7086, 0.9493]","[0.4808, 0.8084]","[0.3874, 0.6633]","[0.3184, 0.5473]","[0.3212, 0.4761]","[0.6477, 0.4121]","[0.5733, 0.2272]","[0.4496, 0.1984]","[0.3518, 0.2397]","[0.7032, 0.419]","[0.4267, 0.3693]","[0.4097, 0.518]","[0.4816, 0.5747]","[0.7103, 0.4578]","[0.4186, 0.4428]","[0.4247, 0.5786]","[0.4956, 0.6127]","[0.6733, 0.5191]","[0.441, 0.5093]","[0.4512, 0.6044]","[0.5187, 0.6359]"
"[0.7058, 0.9491]","[0.4811, 0.8086]","[0.3894, 0.6617]","[0.3213, 0.546]","[0.3222, 0.4751]","[0.6475, 0.4117]","[0.5716, 0.2257]","[0.4483, 0.1987]","[0.3518, 0.2414]","[0.7016, 0.418]","[0.4245, 0.3732]","[0.4081, 0.521]","[0.4798, 0.5788]","[0.7075, 0.4555]","[0.4173, 0.4441]","[0.4235, 0.5804]","[0.4939, 0.6159]","[0.6717, 0.5151]","[0.4414, 0.5053]","[0.449, 0.6027]","[0.514, 0.6378]"
"[0.7087, 0.9546]","[0.4876, 0.8173]","[0.3959, 0.6688]","[0.3244, 0.5544]","[0.319, 0.4828]","[0.6584, 0.4209]","[0.57, 0.2235]","[0.4457, 0.1992]","[0.3502, 0.2405]","[0.7079, 0.4255]","[0.4248, 0.3764]","[0.4122, 0.5229]","[0.4876, 0.5815]","[0.7066, 0.4609]","[0.4169, 0.444]","[0.4262, 0.5802]","[0.4999, 0.6146]","[0.6662, 0.5163]","[0.4409, 0.5061]","[0.4544, 0.6049]","[0.5239, 0.6382]"
"[0.7097, 0.9566]","[0.4855, 0.8167]","[0.3949, 0.6685]","[0.3243, 0.5532]","[0.3176, 0.4805]","[0.6576, 0.419]","[0.5701, 0.2245]","[0.4487, 0.1994]","[0.353, 0.2412]","[0.7085, 0.4223]","[0.4248, 0.3766]","[0.4132, 0.5219]","[0.4866, 0.5813]","[0.7086, 0.4573]","[0.4172, 0.4452]","[0.4276, 0.5809]","[0.4998, 0.6159]","[0.6684, 0.5118]","[0.4417, 0.5075]","[0.4561, 0.6066]","[0.5244, 0.639]"
"[0.7135, 0.9611]","[0.4889, 0.8177]","[0.3961, 0.6701]","[0.3225, 0.5568]","[0.3179, 0.4795]","[0.6548, 0.4167]","[0.5714, 0.2274]","[0.4504, 0.2006]","[0.3521, 0.24]","[0.7079, 0.4203]","[0.4246, 0.3769]","[0.4147, 0.5221]","[0.4895, 0.5803]","[0.7101, 0.4569]","[0.4169, 0.4454]","[0.4285, 0.5803]","[0.5029, 0.6137]","[0.6712, 0.5138]","[0.4414, 0.504]","[0.4554, 0.6021]","[0.5254, 0.6351]"
"[0.708, 0.9563]","[0.4841, 0.8206]","[0.3905, 0.6727]","[0.3209, 0.5564]","[0.3218, 0.4799]","[0.6495, 0.4183]","[0.5689, 0.2275]","[0.4454, 0.2019]","[0.3469, 0.2466]","[0.7038, 0.4224]","[0.4248, 0.3782]","[0.4122, 0.5231]","[0.4834, 0.5838]","[0.7097, 0.4573]","[0.4159, 0.4442]","[0.426, 0.58]","[0.4957, 0.6202]","[0.6731, 0.5132]","[0.4423, 0.5033]","[0.4512, 0.6035]","[0.515, 0.6427]"
"[0.7058, 0.9548]","[0.4805, 0.8186]","[0.3899, 0.6736]","[0.3218, 0.5593]","[0.3196, 0.4797]","[0.6515, 0.4223]","[0.5696, 0.2281]","[0.446, 0.2043]","[0.3503, 0.2514]","[0.7032, 0.4265]","[0.4256, 0.383]","[0.4108, 0.5284]","[0.4834, 0.5868]","[0.706, 0.4603]","[0.4173, 0.451]","[0.426, 0.5874]","[0.4969, 0.6241]","[0.6674, 0.5137]","[0.4408, 0.5099]","[0.4528, 0.611]","[0.52, 0.6454]"
